Waiting for operation to complete...
Transcript: Adam Mickiewicz Sonety Krymskie cisza morska na wysokości tarkankut już wstążkę pawilonu wiatr zaledwie muśnie ciche Migra piersiami rozjaśniona wodę jak marząca o szczęściu narzeczona młoda zbudzi się aby westchnąć i w nocy znowu uśnie żagle na kształt chorągwi gdy wojny skończoną drzemią na masztach nagich okręt lekkim ruchem kołysać się jak gdyby przykuty łańcuchem majtek wytknął podróży Nero śmiało się grono o Może pośród twoich wesołych żyjątek jest polip coś
Confidence: 0.9604358673095703
Word: Adam, start_time: 0.0, end_time: 0.8
Word: Mickiewicz, start_time: 0.8, end_time: 1.1
Word: Sonety, start_time: 1.1, end_time: 2.9
Word: Krymskie, start_time: 2.9, end_time: 3.5
Word: cisza, start_time: 3.5, end_time: 5.8
Word: morska, start_time: 5.8, end_time: 6.1
Word: na, start_time: 6.1, end_time: 6.8
Word: wysokości, start_time: 6.8, end_time: 7.5
Word: tarkankut, start_time: 7.5, end_time: 8.3
Word: już, start_time: 8.3, end_time: 12.4
Word: wstążkę, start_time: 12.4, end_time: 12.8
Word: pawilonu, start_time: 12.8, end_time: 13.6
Word: wiatr, start_time: 13.6, end_time: 13.9
Word: zaledwie, start_time: 13.9, end_time: 14.3
Word: muśnie, start_time: 14.3, end_time: 15.0
Word: ciche, start_time: 15.0, end_time: 16.5
Word: Migra, start_time: 16.5, end_time: 16.9
Word: piersiami, start_time: 16.9, end_time: 17.4
Word: rozjaśniona, start_time: 17.4, end_time: 18.3
Word: wodę, start_time: 18.3, end_time: 18.6
Word: jak, start_time: 18.6, end_time: 20.2
Word: marząca, start_time: 20.2, end_time: 20.8
Word: o, start_time: 20.8, end_time: 20.9
Word: szczęściu, start_time: 20.9, end_time: 21.5
Word: narzeczona, start_time: 21.5, end_time: 22.1
Word: młoda, start_time: 22.1, end_time: 22.5
Word: zbudzi, start_time: 22.5, end_time: 24.0
Word: się, start_time: 24.0, end_time: 24.1
Word: aby, start_time: 24.1, end_time: 25.7
Word: westchnąć, start_time: 25.7, end_time: 26.3
Word: i, start_time: 26.3, end_time: 26.6
Word: w, start_time: 26.6, end_time: 27.8
Word: nocy, start_time: 27.8, end_time: 28.1
Word: znowu, start_time: 28.1, end_time: 28.2
Word: uśnie, start_time: 28.2, end_time: 28.9
Word: żagle, start_time: 28.9, end_time: 31.1
Word: na, start_time: 31.1, end_time: 31.3
Word: kształt, start_time: 31.3, end_time: 31.7
Word: chorągwi, start_time: 31.7, end_time: 32.3
Word: gdy, start_time: 32.3, end_time: 32.6
Word: wojny, start_time: 32.6, end_time: 32.9
Word: skończoną, start_time: 32.9, end_time: 33.6
Word: drzemią, start_time: 33.6, end_time: 35.0
Word: na, start_time: 35.0, end_time: 35.2
Word: masztach, start_time: 35.2, end_time: 35.7
Word: nagich, start_time: 35.7, end_time: 36.3
Word: okręt, start_time: 36.3, end_time: 38.4
Word: lekkim, start_time: 38.4, end_time: 38.9
Word: ruchem, start_time: 38.9, end_time: 39.4
Word: kołysać, start_time: 39.4, end_time: 40.2
Word: się, start_time: 40.2, end_time: 40.2
Word: jak, start_time: 40.2, end_time: 41.8
