Waiting for operation to complete...
Transcript: Adam Mickiewicz Sonety Krymskie żegluga Szum większy gęściej morskie snują się straszydła majtek w biegu na drabinę gotujcie się dzieci w biegu rozciągnął się zawilców niewidzialny sieci jak pająk matujący na skinienie sidła wiatr wiatr dąsa się okręt zrywa się z wędzidła przewala się nurkuje w pienistej zamieci wznosi Targ zdeptał fale i skróć Niebios leci obłoki Czołem sieka wiatr Chwytam pod skrzydła i Mój duch masz to Lotem Bujać to dokumentu wzdyma się wyobraźnia jak warkocz tych żagli mimowolny krzyk łączę z Wesołym orszakiem
Confidence: 0.9659883379936218
Word: Adam, start_time: 0.0, end_time: 0.9
Word: Mickiewicz, start_time: 0.9, end_time: 1.1
Word: Sonety, start_time: 1.1, end_time: 2.9
Word: Krymskie, start_time: 2.9, end_time: 3.4
Word: żegluga, start_time: 3.4, end_time: 3.6
Word: Szum, start_time: 3.6, end_time: 9.7
Word: większy, start_time: 9.7, end_time: 9.9
Word: gęściej, start_time: 9.9, end_time: 10.3
Word: morskie, start_time: 10.3, end_time: 12.1
Word: snują, start_time: 12.1, end_time: 12.5
Word: się, start_time: 12.5, end_time: 12.9
Word: straszydła, start_time: 12.9, end_time: 13.1
Word: majtek, start_time: 13.1, end_time: 15.6
Word: w, start_time: 15.6, end_time: 15.6
Word: biegu, start_time: 15.6, end_time: 15.9
Word: na, start_time: 15.9, end_time: 16.1
Word: drabinę, start_time: 16.1, end_time: 16.5
Word: gotujcie, start_time: 16.5, end_time: 17.6
Word: się, start_time: 17.6, end_time: 17.9
Word: dzieci, start_time: 17.9, end_time: 18.3
Word: w, start_time: 18.3, end_time: 18.5
Word: biegu, start_time: 18.5, end_time: 20.2
Word: rozciągnął, start_time: 20.2, end_time: 21.7
Word: się, start_time: 21.7, end_time: 21.8
Word: zawilców, start_time: 21.8, end_time: 23.3
Word: niewidzialny, start_time: 23.3, end_time: 24.0
Word: sieci, start_time: 24.0, end_time: 24.5
Word: jak, start_time: 24.5, end_time: 25.1
Word: pająk, start_time: 25.1, end_time: 25.7
Word: matujący, start_time: 25.7, end_time: 26.6
Word: na, start_time: 26.6, end_time: 26.8
