Waiting for operation to complete...
Transcript: Anton Czechow Kameleon przez rynek idzie przodownik Policji oczumiełowa w Nowym płaszczu z zajączkiem w ręku zanim kroczy rudy posterunkowy niosąc sito po brzegi napełniane skonfiskowany z agrestem cicho naokoło na rynku ani żywej duszy rozwarte drzwi sklepów i szynką w spoglądają na świat Boże jak zgłodniałem paszczę nawet żebraków nie ma koło nich to ty będziesz kąsać przeklęty słyszy nagle oczumiełowa trzymaj się go teraz nie wolno Konstancin słychać skowycze Nie psa oczu Miechów ogląda się i widzisz że ze składu drzewa kupca pierogi na skacząc na trzech łapach i oglądając się pędzi pies za nim gonię człowiek w betonowej krochmalone koszuli i rozpiętej Kamizelce
Confidence: 0.9442469477653503
Word: Anton, start_time: 0.2, end_time: 0.9
Word: Czechow, start_time: 0.9, end_time: 1.2
Word: Kameleon, start_time: 1.2, end_time: 2.6
Word: przez, start_time: 2.6, end_time: 5.5
Word: rynek, start_time: 5.5, end_time: 5.7
Word: idzie, start_time: 5.7, end_time: 6.6
Word: przodownik, start_time: 6.6, end_time: 7.1
Word: Policji, start_time: 7.1, end_time: 7.7
Word: oczumiełowa, start_time: 7.7, end_time: 8.5
Word: w, start_time: 8.5, end_time: 8.7
Word: Nowym, start_time: 8.7, end_time: 9.6
Word: płaszczu, start_time: 9.6, end_time: 10.2
Word: z, start_time: 10.2, end_time: 10.3
Word: zajączkiem, start_time: 10.3, end_time: 11.5
Word: w, start_time: 11.5, end_time: 11.6
Word: ręku, start_time: 11.6, end_time: 11.9
Word: zanim, start_time: 11.9, end_time: 13.2
Word: kroczy, start_time: 13.2, end_time: 13.6
Word: rudy, start_time: 13.6, end_time: 13.9
Word: posterunkowy, start_time: 13.9, end_time: 14.5
Word: niosąc, start_time: 14.5, end_time: 15.2
Word: sito, start_time: 15.2, end_time: 15.6
Word: po, start_time: 15.6, end_time: 16.0
Word: brzegi, start_time: 16.0, end_time: 16.3
Word: napełniane, start_time: 16.3, end_time: 16.8
Word: skonfiskowany, start_time: 16.8, end_time: 17.7
Word: z, start_time: 17.7, end_time: 17.7
Word: agrestem, start_time: 17.7, end_time: 18.2
Word: cicho, start_time: 18.2, end_time: 19.2
Word: naokoło, start_time: 19.2, end_time: 19.7
Word: na, start_time: 19.7, end_time: 20.7
Word: rynku, start_time: 20.7, end_time: 21.0
Word: ani, start_time: 21.0, end_time: 21.5
Word: żywej, start_time: 21.5, end_time: 21.8
Word: duszy, start_time: 21.8, end_time: 22.0
Word: rozwarte, start_time: 22.0, end_time: 23.6
Word: drzwi, start_time: 23.6, end_time: 23.9
Word: sklepów, start_time: 23.9, end_time: 24.4
Word: i, start_time: 24.4, end_time: 24.5
Word: szynką, start_time: 24.5, end_time: 24.9
Word: w, start_time: 24.9, end_time: 24.9
Word: spoglądają, start_time: 24.9, end_time: 25.6
Word: na, start_time: 25.6, end_time: 25.7
Word: świat, start_time: 25.7, end_time: 26.0
Word: Boże, start_time: 26.0, end_time: 26.4
Word: jak, start_time: 26.4, end_time: 26.5
Word: zgłodniałem, start_time: 26.5, end_time: 27.1
Word: paszczę, start_time: 27.1, end_time: 27.5
Word: nawet, start_time: 27.5, end_time: 28.4
Word: żebraków, start_time: 28.4, end_time: 28.9
Word: nie, start_time: 28.9, end_time: 29.1
Word: ma, start_time: 29.1, end_time: 29.1
Word: koło, start_time: 29.1, end_time: 29.4
Word: nich, start_time: 29.4, end_time: 29.6
Word: to, start_time: 29.6, end_time: 30.9
Word: ty, start_time: 30.9, end_time: 31.1
Word: będziesz, start_time: 31.1, end_time: 31.6
Word: kąsać, start_time: 31.6, end_time: 32.3
Word: przeklęty, start_time: 32.3, end_time: 33.4
Word: słyszy, start_time: 33.4, end_time: 34.5
Word: nagle, start_time: 34.5, end_time: 34.8
Word: oczumiełowa, start_time: 34.8, end_time: 35.3
Word: trzymaj, start_time: 35.3, end_time: 36.3
Word: się, start_time: 36.3, end_time: 36.5
Word: go, start_time: 36.5, end_time: 36.6
Word: teraz, start_time: 36.6, end_time: 37.6
Word: nie, start_time: 37.6, end_time: 37.9
Word: wolno, start_time: 37.9, end_time: 38.1
Word: Konstancin, start_time: 38.1, end_time: 38.9
Word: słychać, start_time: 38.9, end_time: 40.9
Word: skowycze, start_time: 40.9, end_time: 41.3
Word: Nie, start_time: 41.3, end_time: 41.5
Word: psa, start_time: 41.5, end_time: 41.7
Word: oczu, start_time: 41.7, end_time: 42.7
Word: Miechów, start_time: 42.7, end_time: 43.0
Word: ogląda, start_time: 43.0, end_time: 43.5
Word: się, start_time: 43.5, end_time: 43.6
Word: i, start_time: 43.6, end_time: 43.8
Word: widzisz, start_time: 43.8, end_time: 44.8
Word: że, start_time: 44.8, end_time: 44.8
Word: ze, start_time: 44.8, end_time: 45.1
Word: składu, start_time: 45.1, end_time: 45.6
Word: drzewa, start_time: 45.6, end_time: 46.0
Word: kupca, start_time: 46.0, end_time: 46.4
Word: pierogi, start_time: 46.4, end_time: 46.8
Word: na, start_time: 46.8, end_time: 46.9
Word: skacząc, start_time: 46.9, end_time: 47.9
Word: na, start_time: 47.9, end_time: 47.9
Word: trzech, start_time: 47.9, end_time: 48.3
Word: łapach, start_time: 48.3, end_time: 48.4
Word: i, start_time: 48.4, end_time: 48.7
Word: oglądając, start_time: 48.7, end_time: 49.4
Word: się, start_time: 49.4, end_time: 49.5
Word: pędzi, start_time: 49.5, end_time: 49.8
Word: pies, start_time: 49.8, end_time: 50.1
Word: za, start_time: 50.1, end_time: 51.2
Word: nim, start_time: 51.2, end_time: 51.4
Word: gonię, start_time: 51.4, end_time: 51.6
Word: człowiek, start_time: 51.6, end_time: 52.0
Word: w, start_time: 52.0, end_time: 52.1
Word: betonowej, start_time: 52.1, end_time: 52.7
Word: krochmalone, start_time: 52.7, end_time: 53.3
Word: koszuli, start_time: 53.3, end_time: 53.7
Word: i, start_time: 53.7, end_time: 53.8
Word: rozpiętej, start_time: 53.8, end_time: 54.5
Word: Kamizelce, start_time: 54.5, end_time: 54.9
