Waiting for operation to complete...
Transcript: Anton Czechów w razurze poranek nie ma jeszcze 7:00 a razura Makara kuznicza Bestwina już jest otwarta gospodarz 23-letni młody człowiek nie umyty zatłuszczony ale ubrany pretensjonalnie sprząta swój zakład
Confidence: 0.8544707894325256
Word: Anton, start_time: 0.1, end_time: 0.9
Word: Czechów, start_time: 0.9, end_time: 1.3
Word: w, start_time: 1.3, end_time: 1.6
Word: razurze, start_time: 1.6, end_time: 3.1
Word: poranek, start_time: 3.1, end_time: 6.2
Word: nie, start_time: 6.2, end_time: 7.7
Word: ma, start_time: 7.7, end_time: 7.8
Word: jeszcze, start_time: 7.8, end_time: 7.9
Word: 7:00, start_time: 7.9, end_time: 8.5
Word: a, start_time: 8.5, end_time: 8.6
Word: razura, start_time: 8.6, end_time: 9.8
Word: Makara, start_time: 9.8, end_time: 10.3
Word: kuznicza, start_time: 10.3, end_time: 10.9
Word: Bestwina, start_time: 10.9, end_time: 11.5
Word: już, start_time: 11.5, end_time: 12.2
Word: jest, start_time: 12.2, end_time: 12.5
Word: otwarta, start_time: 12.5, end_time: 13.1
Word: gospodarz, start_time: 13.1, end_time: 14.8
Word: 23-letni, start_time: 14.8, end_time: 16.7
Word: młody, start_time: 16.7, end_time: 16.9
Word: człowiek, start_time: 16.9, end_time: 17.5
Word: nie, start_time: 17.5, end_time: 18.0
Word: umyty, start_time: 18.0, end_time: 18.5
Word: zatłuszczony, start_time: 18.5, end_time: 19.7
Word: ale, start_time: 19.7, end_time: 20.4
Word: ubrany, start_time: 20.4, end_time: 20.8
Word: pretensjonalnie, start_time: 20.8, end_time: 21.9
Word: sprząta, start_time: 21.9, end_time: 22.7
Word: swój, start_time: 22.7, end_time: 22.9
Word: zakład, start_time: 22.9, end_time: 23.2
Transcript:  nie ma właściwie co sprzątać a jednak zapłacił się przy pracy tam ścierką wytrze ówdzie paznokciem zysk robię albo gdzie pluskwę znajdzie i stront ją na podłogę razura maleńka Ciasna obskurna ściany z desek oklejone są tapetami przypominającymi wyblakłą koszule dorożkarstwo między parą zamglonych łzawiących okien cienkie skrzypiące drzwi nad nimi podzielenia od wilgoci dzwonek który sam przez się bez żadnej zewnętrznej przyczyny drgania i dźwięczy chorobliwie A jeśli ktoś spojrzę w lustro wiszące na jednej ze ścian to twarz jego odbije się w nim powykrzywiane na wszystkie strony w najohydniejszy sposób
Confidence: 0.9414430856704712
Word: nie, start_time: 24.3, end_time: 24.7
Word: ma, start_time: 24.7, end_time: 24.8
Word: właściwie, start_time: 24.8, end_time: 25.3
Word: co, start_time: 25.3, end_time: 25.4
Word: sprzątać, start_time: 25.4, end_time: 26.0
Word: a, start_time: 26.0, end_time: 26.1
Word: jednak, start_time: 26.1, end_time: 26.9
Word: zapłacił, start_time: 26.9, end_time: 27.3
Word: się, start_time: 27.3, end_time: 27.4
Word: przy, start_time: 27.4, end_time: 27.6
Word: pracy, start_time: 27.6, end_time: 28.0
Word: tam, start_time: 28.0, end_time: 29.0
Word: ścierką, start_time: 29.0, end_time: 29.5
Word: wytrze, start_time: 29.5, end_time: 29.9
Word: ówdzie, start_time: 29.9, end_time: 30.7
Word: paznokciem, start_time: 30.7, end_time: 31.6
Word: zysk, start_time: 31.6, end_time: 31.9
Word: robię, start_time: 31.9, end_time: 32.1
Word: albo, start_time: 32.1, end_time: 32.7
Word: gdzie, start_time: 32.7, end_time: 32.9
Word: pluskwę, start_time: 32.9, end_time: 33.4
Word: znajdzie, start_time: 33.4, end_time: 33.8
Word: i, start_time: 33.8, end_time: 33.9
Word: stront, start_time: 33.9, end_time: 34.7
Word: ją, start_time: 34.7, end_time: 34.9
Word: na, start_time: 34.9, end_time: 35.0
Word: podłogę, start_time: 35.0, end_time: 35.4
Word: razura, start_time: 35.4, end_time: 37.2
Word: maleńka, start_time: 37.2, end_time: 38.4
Word: Ciasna, start_time: 38.4, end_time: 39.4
Word: obskurna, start_time: 39.4, end_time: 40.6
Word: ściany, start_time: 40.6, end_time: 41.8
Word: z, start_time: 41.8, end_time: 41.9
Word: desek, start_time: 41.9, end_time: 42.0
Word: oklejone, start_time: 42.0, end_time: 42.9
Word: są, start_time: 42.9, end_time: 43.1
Word: tapetami, start_time: 43.1, end_time: 43.7
Word: przypominającymi, start_time: 43.7, end_time: 45.4
Word: wyblakłą, start_time: 45.4, end_time: 46.1
Word: koszule, start_time: 46.1, end_time: 46.6
Word: dorożkarstwo, start_time: 46.6, end_time: 47.2
Word: między, start_time: 47.2, end_time: 48.6
Word: parą, start_time: 48.6, end_time: 48.8
Word: zamglonych, start_time: 48.8, end_time: 49.4
Word: łzawiących, start_time: 49.4, end_time: 50.1
Word: okien, start_time: 50.1, end_time: 50.5
Word: cienkie, start_time: 50.5, end_time: 51.4
Word: skrzypiące, start_time: 51.4, end_time: 52.0
Word: drzwi, start_time: 52.0, end_time: 52.1
Word: nad, start_time: 52.1, end_time: 53.3
Word: nimi, start_time: 53.3, end_time: 53.6
Word: podzielenia, start_time: 53.6, end_time: 54.1
Word: od, start_time: 54.1, end_time: 54.3
Word: wilgoci, start_time: 54.3, end_time: 54.6
Word: dzwonek, start_time: 54.6, end_time: 55.3
Word: który, start_time: 55.3, end_time: 55.8
Word: sam, start_time: 55.8, end_time: 56.2
Word: przez, start_time: 56.2, end_time: 56.6
Word: się, start_time: 56.6, end_time: 56.8
Word: bez, start_time: 56.8, end_time: 57.5
Word: żadnej, start_time: 57.5, end_time: 57.9
Word: zewnętrznej, start_time: 57.9, end_time: 58.5
Word: przyczyny, start_time: 58.5, end_time: 59.0
Word: drgania, start_time: 59.0, end_time: 59.5
Word: i, start_time: 59.5, end_time: 59.6
Word: dźwięczy, start_time: 59.6, end_time: 60.5
Word: chorobliwie, start_time: 60.5, end_time: 61.0
Word: A, start_time: 61.0, end_time: 61.1
Word: jeśli, start_time: 61.1, end_time: 62.3
Word: ktoś, start_time: 62.3, end_time: 62.5
Word: spojrzę, start_time: 62.5, end_time: 62.9
Word: w, start_time: 62.9, end_time: 63.0
Word: lustro, start_time: 63.0, end_time: 63.1
Word: wiszące, start_time: 63.1, end_time: 63.9
Word: na, start_time: 63.9, end_time: 64.3
Word: jednej, start_time: 64.3, end_time: 64.6
Word: ze, start_time: 64.6, end_time: 64.7
Word: ścian, start_time: 64.7, end_time: 64.8
Word: to, start_time: 64.8, end_time: 65.8
Word: twarz, start_time: 65.8, end_time: 66.2
Word: jego, start_time: 66.2, end_time: 66.4
Word: odbije, start_time: 66.4, end_time: 66.9
Word: się, start_time: 66.9, end_time: 66.9
Word: w, start_time: 66.9, end_time: 67.2
Word: nim, start_time: 67.2, end_time: 67.3
Word: powykrzywiane, start_time: 67.3, end_time: 67.9
Word: na, start_time: 67.9, end_time: 68.4
Word: wszystkie, start_time: 68.4, end_time: 68.8
Word: strony, start_time: 68.8, end_time: 69.0
Word: w, start_time: 69.0, end_time: 69.4
Word: najohydniejszy, start_time: 69.4, end_time: 70.6
Word: sposób, start_time: 70.6, end_time: 71.1
Transcript:  przed tym lustrem strzygą Igor na stoliku tak samo nie umyty i zatłuszczony jak sam na karku znicz znajduje się wszystko grzebienie nożyce brzytwy Zakopiankę fiksatuar Zakopiankę pudru Zakopiankę mocno rozcieńczonej wody kolońskiej i cała razura nie warta jest więcej jak 15 kopiejek nad drzwiami rozlega się skrzeczenie chorego dzwonka i do lazury wchodzi Starszy mężczyzna w kożuchu i wojskowych butach głowa i szyja jego owinięte są w kobietą chustkę jest to airactive Nycz jagodów Ojciec chrzestny Makara kuznicza
Confidence: 0.9424881935119629
Word: przed, start_time: 71.9, end_time: 72.4
Word: tym, start_time: 72.4, end_time: 72.6
Word: lustrem, start_time: 72.6, end_time: 73.0
Word: strzygą, start_time: 73.0, end_time: 74.1
Word: Igor, start_time: 74.1, end_time: 74.9
Word: na, start_time: 74.9, end_time: 77.0
Word: stoliku, start_time: 77.0, end_time: 77.4
Word: tak, start_time: 77.4, end_time: 77.9
Word: samo, start_time: 77.9, end_time: 78.2
Word: nie, start_time: 78.2, end_time: 78.3
Word: umyty, start_time: 78.3, end_time: 78.8
Word: i, start_time: 78.8, end_time: 78.9
Word: zatłuszczony, start_time: 78.9, end_time: 79.8
Word: jak, start_time: 79.8, end_time: 80.2
Word: sam, start_time: 80.2, end_time: 80.4
Word: na, start_time: 80.4, end_time: 80.6
Word: karku, start_time: 80.6, end_time: 80.9
Word: znicz, start_time: 80.9, end_time: 81.2
Word: znajduje, start_time: 81.2, end_time: 82.2
Word: się, start_time: 82.2, end_time: 82.3
Word: wszystko, start_time: 82.3, end_time: 82.8
Word: grzebienie, start_time: 82.8, end_time: 84.0
Word: nożyce, start_time: 84.0, end_time: 84.9
Word: brzytwy, start_time: 84.9, end_time: 86.1
Word: Zakopiankę, start_time: 86.1, end_time: 87.2
Word: fiksatuar, start_time: 87.2, end_time: 88.0
Word: Zakopiankę, start_time: 88.0, end_time: 89.4
Word: pudru, start_time: 89.4, end_time: 89.9
Word: Zakopiankę, start_time: 89.9, end_time: 90.8
Word: mocno, start_time: 90.8, end_time: 91.4
Word: rozcieńczonej, start_time: 91.4, end_time: 92.0
Word: wody, start_time: 92.0, end_time: 92.3
Word: kolońskiej, start_time: 92.3, end_time: 92.9
Word: i, start_time: 92.9, end_time: 92.9
Word: cała, start_time: 92.9, end_time: 93.9
Word: razura, start_time: 93.9, end_time: 94.3
Word: nie, start_time: 94.3, end_time: 94.5
Word: warta, start_time: 94.5, end_time: 95.0
Word: jest, start_time: 95.0, end_time: 95.2
Word: więcej, start_time: 95.2, end_time: 95.6
Word: jak, start_time: 95.6, end_time: 95.8
Word: 15, start_time: 95.8, end_time: 96.4
Word: kopiejek, start_time: 96.4, end_time: 96.8
Word: nad, start_time: 96.8, end_time: 98.3
Word: drzwiami, start_time: 98.3, end_time: 98.6
Word: rozlega, start_time: 98.6, end_time: 99.7
Word: się, start_time: 99.7, end_time: 99.8
Word: skrzeczenie, start_time: 99.8, end_time: 100.3
Word: chorego, start_time: 100.3, end_time: 100.8
Word: dzwonka, start_time: 100.8, end_time: 101.2
Word: i, start_time: 101.2, end_time: 101.3
Word: do, start_time: 101.3, end_time: 101.5
Word: lazury, start_time: 101.5, end_time: 101.9
Word: wchodzi, start_time: 101.9, end_time: 102.2
Word: Starszy, start_time: 102.2, end_time: 102.7
Word: mężczyzna, start_time: 102.7, end_time: 102.8
Word: w, start_time: 102.8, end_time: 103.3
Word: kożuchu, start_time: 103.3, end_time: 103.8
Word: i, start_time: 103.8, end_time: 103.9
Word: wojskowych, start_time: 103.9, end_time: 104.9
Word: butach, start_time: 104.9, end_time: 105.3
Word: głowa, start_time: 105.3, end_time: 106.9
Word: i, start_time: 106.9, end_time: 107.0
Word: szyja, start_time: 107.0, end_time: 107.4
Word: jego, start_time: 107.4, end_time: 107.7
Word: owinięte, start_time: 107.7, end_time: 108.3
Word: są, start_time: 108.3, end_time: 108.4
Word: w, start_time: 108.4, end_time: 108.5
Word: kobietą, start_time: 108.5, end_time: 108.9
Word: chustkę, start_time: 108.9, end_time: 109.4
Word: jest, start_time: 109.4, end_time: 110.6
Word: to, start_time: 110.6, end_time: 110.8
Word: airactive, start_time: 110.8, end_time: 111.4
Word: Nycz, start_time: 111.4, end_time: 111.9
Word: jagodów, start_time: 111.9, end_time: 112.5
Word: Ojciec, start_time: 112.5, end_time: 113.9
Word: chrzestny, start_time: 113.9, end_time: 114.5
Word: Makara, start_time: 114.5, end_time: 114.8
Word: kuznicza, start_time: 114.8, end_time: 115.3
Transcript:  służył kiedyś za Stróża w konserwatorium teraz mieszka koło czerwonego stawów i zajmuje się ślusarka
Confidence: 0.9322311282157898
Word: służył, start_time: 116.1, end_time: 116.7
Word: kiedyś, start_time: 116.7, end_time: 116.8
Word: za, start_time: 116.8, end_time: 117.1
Word: Stróża, start_time: 117.1, end_time: 117.5
Word: w, start_time: 117.5, end_time: 117.7
Word: konserwatorium, start_time: 117.7, end_time: 118.2
Word: teraz, start_time: 118.2, end_time: 119.1
Word: mieszka, start_time: 119.1, end_time: 119.3
Word: koło, start_time: 119.3, end_time: 119.6
Word: czerwonego, start_time: 119.6, end_time: 120.0
Word: stawów, start_time: 120.0, end_time: 120.6
Word: i, start_time: 120.6, end_time: 120.7
Word: zajmuje, start_time: 120.7, end_time: 121.4
Word: się, start_time: 121.4, end_time: 121.5
Word: ślusarka, start_time: 121.5, end_time: 122.2
Transcript:  Dzień dobry ma karku mówi do Makara kuznicza zajętego sprzątaniem całują się jak odejmuje z głowy chustkę robi znak krzyża i siada
Confidence: 0.8655466437339783
Word: Dzień, start_time: 123.8, end_time: 124.5
Word: dobry, start_time: 124.5, end_time: 124.8
Word: ma, start_time: 124.8, end_time: 125.0
Word: karku, start_time: 125.0, end_time: 125.5
Word: mówi, start_time: 125.5, end_time: 126.8
Word: do, start_time: 126.8, end_time: 126.9
Word: Makara, start_time: 126.9, end_time: 127.4
Word: kuznicza, start_time: 127.4, end_time: 127.9
Word: zajętego, start_time: 127.9, end_time: 128.3
Word: sprzątaniem, start_time: 128.3, end_time: 128.9
Word: całują, start_time: 128.9, end_time: 129.8
Word: się, start_time: 129.8, end_time: 130.0
Word: jak, start_time: 130.0, end_time: 130.8
Word: odejmuje, start_time: 130.8, end_time: 131.4
Word: z, start_time: 131.4, end_time: 131.5
Word: głowy, start_time: 131.5, end_time: 131.7
Word: chustkę, start_time: 131.7, end_time: 132.1
Word: robi, start_time: 132.1, end_time: 132.7
Word: znak, start_time: 132.7, end_time: 132.9
Word: krzyża, start_time: 132.9, end_time: 133.4
Word: i, start_time: 133.4, end_time: 133.5
Word: siada, start_time: 133.5, end_time: 133.9
Transcript:  jakiż to kawał drogi mówi postępując od czerwonego stawu do kołyski bramy to nie żart jak się macie źle bracie miałem gorączkę co mówicie gorączkę gorączkę cały miesiąc leżałem Myślałem że umrę przyjąłem święte sakramenty teraz włosy wypadają doktor kazał się ostrzyc na nic powiada wyrosną mocne więc pomyślałem sobie pójdę do Makara zamiast do kogo innego to lepiej do krewniaka i lepiej zrobi i pieniędzy nie weźmie trochę prawda daleko ale co to znaczy jakby spacer Ja z przyjemnością proszę
Confidence: 0.9518223404884338
Word: jakiż, start_time: 135.1, end_time: 135.8
Word: to, start_time: 135.8, end_time: 136.0
Word: kawał, start_time: 136.0, end_time: 136.6
Word: drogi, start_time: 136.6, end_time: 136.8
Word: mówi, start_time: 136.8, end_time: 138.0
Word: postępując, start_time: 138.0, end_time: 138.7
Word: od, start_time: 138.7, end_time: 139.3
Word: czerwonego, start_time: 139.3, end_time: 139.8
Word: stawu, start_time: 139.8, end_time: 140.4
Word: do, start_time: 140.4, end_time: 140.9
Word: kołyski, start_time: 140.9, end_time: 141.6
Word: bramy, start_time: 141.6, end_time: 142.1
Word: to, start_time: 142.1, end_time: 142.5
Word: nie, start_time: 142.5, end_time: 142.7
Word: żart, start_time: 142.7, end_time: 143.1
Word: jak, start_time: 143.1, end_time: 144.2
Word: się, start_time: 144.2, end_time: 144.3
Word: macie, start_time: 144.3, end_time: 144.6
Word: źle, start_time: 144.6, end_time: 146.0
Word: bracie, start_time: 146.0, end_time: 146.5
Word: miałem, start_time: 146.5, end_time: 147.8
Word: gorączkę, start_time: 147.8, end_time: 148.3
Word: co, start_time: 148.3, end_time: 150.0
Word: mówicie, start_time: 150.0, end_time: 150.4
Word: gorączkę, start_time: 150.4, end_time: 151.1
Word: gorączkę, start_time: 151.1, end_time: 152.6
Word: cały, start_time: 152.6, end_time: 154.1
Word: miesiąc, start_time: 154.1, end_time: 154.4
Word: leżałem, start_time: 154.4, end_time: 155.1
Word: Myślałem, start_time: 155.1, end_time: 155.9
Word: że, start_time: 155.9, end_time: 156.0
Word: umrę, start_time: 156.0, end_time: 156.4
Word: przyjąłem, start_time: 156.4, end_time: 157.7
Word: święte, start_time: 157.7, end_time: 158.3
Word: sakramenty, start_time: 158.3, end_time: 158.5
Word: teraz, start_time: 158.5, end_time: 160.1
Word: włosy, start_time: 160.1, end_time: 160.5
Word: wypadają, start_time: 160.5, end_time: 161.2
Word: doktor, start_time: 161.2, end_time: 162.6
Word: kazał, start_time: 162.6, end_time: 163.1
Word: się, start_time: 163.1, end_time: 163.2
Word: ostrzyc, start_time: 163.2, end_time: 163.9
Word: na, start_time: 163.9, end_time: 164.6
Word: nic, start_time: 164.6, end_time: 164.9
Word: powiada, start_time: 164.9, end_time: 165.4
Word: wyrosną, start_time: 165.4, end_time: 166.3
Word: mocne, start_time: 166.3, end_time: 166.8
Word: więc, start_time: 166.8, end_time: 167.5
Word: pomyślałem, start_time: 167.5, end_time: 168.4
Word: sobie, start_time: 168.4, end_time: 168.5
Word: pójdę, start_time: 168.5, end_time: 169.2
Word: do, start_time: 169.2, end_time: 169.3
Word: Makara, start_time: 169.3, end_time: 169.8
Word: zamiast, start_time: 169.8, end_time: 170.6
Word: do, start_time: 170.6, end_time: 170.7
Word: kogo, start_time: 170.7, end_time: 171.0
Word: innego, start_time: 171.0, end_time: 171.1
Word: to, start_time: 171.1, end_time: 171.8
Word: lepiej, start_time: 171.8, end_time: 172.2
Word: do, start_time: 172.2, end_time: 172.4
Word: krewniaka, start_time: 172.4, end_time: 173.0
Word: i, start_time: 173.0, end_time: 173.1
Word: lepiej, start_time: 173.1, end_time: 174.2
Word: zrobi, start_time: 174.2, end_time: 174.6
Word: i, start_time: 174.6, end_time: 174.8
Word: pieniędzy, start_time: 174.8, end_time: 175.9
Word: nie, start_time: 175.9, end_time: 176.0
Word: weźmie, start_time: 176.0, end_time: 176.5
Word: trochę, start_time: 176.5, end_time: 177.6
Word: prawda, start_time: 177.6, end_time: 178.3
Word: daleko, start_time: 178.3, end_time: 179.2
Word: ale, start_time: 179.2, end_time: 179.5
Word: co, start_time: 179.5, end_time: 179.9
Word: to, start_time: 179.9, end_time: 180.1
Word: znaczy, start_time: 180.1, end_time: 180.2
Word: jakby, start_time: 180.2, end_time: 181.4
Word: spacer, start_time: 181.4, end_time: 182.0
Word: Ja, start_time: 182.0, end_time: 183.4
Word: z, start_time: 183.4, end_time: 183.6
Word: przyjemnością, start_time: 183.6, end_time: 183.9
Word: proszę, start_time: 183.9, end_time: 185.1
Transcript:  Makar kuzmiczuk Ukłonił się nogą i wskazał na krzesło Jagoda wsiada i przegląda się w lustrze jest zupełnie zadowolony z widoku w lustrze widać krzywą gębę z tępym szerokim nosem i oczami na czole maku znicz pokrywa ramiona swojego klienta białym prześcieradłem
Confidence: 0.9040144681930542
Word: Makar, start_time: 185.9, end_time: 186.5
Word: kuzmiczuk, start_time: 186.5, end_time: 187.0
Word: Ukłonił, start_time: 187.0, end_time: 187.6
Word: się, start_time: 187.6, end_time: 187.7
Word: nogą, start_time: 187.7, end_time: 188.1
Word: i, start_time: 188.1, end_time: 188.2
Word: wskazał, start_time: 188.2, end_time: 188.6
Word: na, start_time: 188.6, end_time: 188.7
Word: krzesło, start_time: 188.7, end_time: 189.1
Word: Jagoda, start_time: 189.1, end_time: 190.7
Word: wsiada, start_time: 190.7, end_time: 191.1
Word: i, start_time: 191.1, end_time: 191.2
Word: przegląda, start_time: 191.2, end_time: 192.2
Word: się, start_time: 192.2, end_time: 192.2
Word: w, start_time: 192.2, end_time: 192.4
Word: lustrze, start_time: 192.4, end_time: 192.4
Word: jest, start_time: 192.4, end_time: 193.6
Word: zupełnie, start_time: 193.6, end_time: 194.1
Word: zadowolony, start_time: 194.1, end_time: 194.7
Word: z, start_time: 194.7, end_time: 194.7
Word: widoku, start_time: 194.7, end_time: 195.1
Word: w, start_time: 195.1, end_time: 195.2
Word: lustrze, start_time: 195.2, end_time: 196.4
Word: widać, start_time: 196.4, end_time: 196.7
Word: krzywą, start_time: 196.7, end_time: 197.0
Word: gębę, start_time: 197.0, end_time: 197.5
Word: z, start_time: 197.5, end_time: 197.6
Word: tępym, start_time: 197.6, end_time: 198.1
Word: szerokim, start_time: 198.1, end_time: 198.6
