Waiting for operation to complete...
Transcript: Artur Oppman okropna przygoda Zosi co się zapałkami bawiła wypadek stał się straszny okropna rzecz się stała mama Zosi 6-letniej raz do miasta wyjść musiała więc do Zosi mówi małej Bądź grzeczną moja córka z kotkami we wsi ładnie i nie biegaj na podwórko zaszła mama na ulicy przeminęło pół godzinki a już nasza pani Zofia jakieś kwaśne robi minki doprawdy Nudzi mi się tak wciąż bawić się z kotkami od poszukam też stoliczku pudełeczka z zapałkami jaki śliczny ich płomyczek i czerwone te Iskierki
Confidence: 0.9481837749481201
Word: Artur, start_time: 0.0, end_time: 1.6
Word: Oppman, start_time: 1.6, end_time: 1.8
Word: okropna, start_time: 1.8, end_time: 3.9
Word: przygoda, start_time: 3.9, end_time: 4.4
Word: Zosi, start_time: 4.4, end_time: 4.9
Word: co, start_time: 4.9, end_time: 5.3
Word: się, start_time: 5.3, end_time: 5.4
Word: zapałkami, start_time: 5.4, end_time: 6.1
Word: bawiła, start_time: 6.1, end_time: 6.6
Word: wypadek, start_time: 6.6, end_time: 10.0
Word: stał, start_time: 10.0, end_time: 10.3
Word: się, start_time: 10.3, end_time: 10.5
Word: straszny, start_time: 10.5, end_time: 11.3
Word: okropna, start_time: 11.3, end_time: 13.1
Word: rzecz, start_time: 13.1, end_time: 13.4
Word: się, start_time: 13.4, end_time: 13.6
Word: stała, start_time: 13.6, end_time: 13.7
Word: mama, start_time: 13.7, end_time: 15.3
Word: Zosi, start_time: 15.3, end_time: 15.7
Word: 6-letniej, start_time: 15.7, end_time: 16.5
Word: raz, start_time: 16.5, end_time: 16.7
Word: do, start_time: 16.7, end_time: 17.1
Word: miasta, start_time: 17.1, end_time: 17.2
Word: wyjść, start_time: 17.2, end_time: 17.8
Word: musiała, start_time: 17.8, end_time: 18.3
Word: więc, start_time: 18.3, end_time: 19.1
Word: do, start_time: 19.1, end_time: 19.2
Word: Zosi, start_time: 19.2, end_time: 19.6
Word: mówi, start_time: 19.6, end_time: 19.8
Word: małej, start_time: 19.8, end_time: 20.3
Word: Bądź, start_time: 20.3, end_time: 21.7
