Waiting for operation to complete...
Transcript: Oj maluśki maluśki maluśki rękawiczka abolicji jaką jakoby kawałecek smycka
Confidence: 0.8199421763420105
Word: Oj, start_time: 2.2, end_time: 23.8
Word: maluśki, start_time: 23.8, end_time: 25.2
Word: maluśki, start_time: 25.2, end_time: 25.4
Word: maluśki, start_time: 25.4, end_time: 26.1
Word: rękawiczka, start_time: 26.1, end_time: 30.9
Word: abolicji, start_time: 30.9, end_time: 33.9
Word: jaką, start_time: 33.9, end_time: 34.4
Word: jakoby, start_time: 34.4, end_time: 35.6
Word: kawałecek, start_time: 35.6, end_time: 38.6
Word: smycka, start_time: 38.6, end_time: 38.8
Transcript: spierdalajcie ma małe małe świecie Jutro idziemy czy nie lepiej by co do domu siedzieć było w niebie przed twój tatuś kochany kochany nie wydano ciebie Śpiewam dla Ciebie mamo wspierać małe małe
Confidence: 0.8677025437355042
Word: spierdalajcie, start_time: 41.7, end_time: 44.4
Word: ma, start_time: 44.4, end_time: 45.0
Word: małe, start_time: 45.0, end_time: 47.2
Word: małe, start_time: 47.2, end_time: 50.2
Word: świecie, start_time: 50.2, end_time: 54.4
Word: Jutro, start_time: 54.4, end_time: 54.7
Word: idziemy, start_time: 54.7, end_time: 55.5
Word: czy, start_time: 55.5, end_time: 64.3
Word: nie, start_time: 64.3, end_time: 64.4
Word: lepiej, start_time: 64.4, end_time: 65.1
Word: by, start_time: 65.1, end_time: 65.4
Word: co, start_time: 65.4, end_time: 65.7
Word: do, start_time: 65.7, end_time: 66.2
Word: domu, start_time: 66.2, end_time: 67.1
Word: siedzieć, start_time: 67.1, end_time: 69.4
Word: było, start_time: 69.4, end_time: 69.8
Word: w, start_time: 69.8, end_time: 70.0
Word: niebie, start_time: 70.0, end_time: 70.5
Word: przed, start_time: 70.5, end_time: 72.5
Word: twój, start_time: 72.5, end_time: 72.9
Word: tatuś, start_time: 72.9, end_time: 73.6
Word: kochany, start_time: 73.6, end_time: 74.4
Word: kochany, start_time: 74.4, end_time: 75.5
Word: nie, start_time: 75.5, end_time: 77.0
Word: wydano, start_time: 77.0, end_time: 78.9
Word: ciebie, start_time: 78.9, end_time: 80.3
Word: Śpiewam, start_time: 80.3, end_time: 82.6
Word: dla, start_time: 82.6, end_time: 83.8
Word: Ciebie, start_time: 83.8, end_time: 84.1
Word: mamo, start_time: 84.1, end_time: 87.6
Word: wspierać, start_time: 87.6, end_time: 93.0
Word: małe, start_time: 93.0, end_time: 94.8
Word: małe, start_time: 94.8, end_time: 99.9
Transcript: dom w Czarnecka Wygoda wygoda a co wydawcy będzie taki wyraz do końca do końca a potem będzie świat Elmo Świat dla ciebie mamo mamo na przysięgę które służyły przez inne anioły które sezon 1 zadanie 1 strona szkoły w Świebodzicach
Confidence: 0.933182954788208
Word: dom, start_time: 101.7, end_time: 103.1
Word: w, start_time: 103.1, end_time: 103.2
Word: Czarnecka, start_time: 103.2, end_time: 104.5
Word: Wygoda, start_time: 104.5, end_time: 105.3
Word: wygoda, start_time: 105.3, end_time: 106.2
Word: a, start_time: 106.2, end_time: 107.1
Word: co, start_time: 107.1, end_time: 108.6
Word: wydawcy, start_time: 108.6, end_time: 109.9
Word: będzie, start_time: 109.9, end_time: 110.7
Word: taki, start_time: 110.7, end_time: 112.4
Word: wyraz, start_time: 112.4, end_time: 113.4
Word: do, start_time: 113.4, end_time: 113.6
Word: końca, start_time: 113.6, end_time: 114.2
Word: do, start_time: 114.2, end_time: 114.5
Word: końca, start_time: 114.5, end_time: 114.7
Word: a, start_time: 114.7, end_time: 117.2
Word: potem, start_time: 117.2, end_time: 119.0
Word: będzie, start_time: 119.0, end_time: 119.9
Word: świat, start_time: 119.9, end_time: 122.1
Word: Elmo, start_time: 122.1, end_time: 126.8
Word: Świat, start_time: 126.8, end_time: 127.8
Word: dla, start_time: 127.8, end_time: 131.5
Word: ciebie, start_time: 131.5, end_time: 133.0
Word: mamo, start_time: 133.0, end_time: 135.9
Word: mamo, start_time: 135.9, end_time: 138.4
Word: na, start_time: 138.4, end_time: 140.2
Word: przysięgę, start_time: 140.2, end_time: 140.8
Word: które, start_time: 140.8, end_time: 143.1
Word: służyły, start_time: 143.1, end_time: 144.0
Word: przez, start_time: 144.0, end_time: 146.1
Word: inne, start_time: 146.1, end_time: 146.8
Word: anioły, start_time: 146.8, end_time: 147.7
Word: które, start_time: 147.7, end_time: 150.1
Word: sezon, start_time: 150.1, end_time: 151.6
Word: 1, start_time: 151.6, end_time: 152.4
Word: zadanie, start_time: 152.4, end_time: 152.9
Word: 1, start_time: 152.9, end_time: 154.3
Word: strona, start_time: 154.3, end_time: 155.6
Word: szkoły, start_time: 155.6, end_time: 158.5
Word: w, start_time: 158.5, end_time: 159.2
Word: Świebodzicach, start_time: 159.2, end_time: 161.0
Transcript: Śpiewajcie i grajcie małe małe małe Śpiewajcie i grajcie mu
Confidence: 0.8621914982795715
Word: Śpiewajcie, start_time: 161.7, end_time: 170.7
Word: i, start_time: 170.7, end_time: 171.2
Word: grajcie, start_time: 171.2, end_time: 171.4
Word: małe, start_time: 171.4, end_time: 174.5
Word: małe, start_time: 174.5, end_time: 180.6
Word: małe, start_time: 180.6, end_time: 181.5
Word: Śpiewajcie, start_time: 181.5, end_time: 189.6
Word: i, start_time: 189.6, end_time: 190.1
Word: grajcie, start_time: 190.1, end_time: 190.2
Word: mu, start_time: 190.2, end_time: 191.3
Transcript: mamo mamo
Confidence: 0.3546581268310547
Word: mamo, start_time: 192.9, end_time: 193.7
Word: mamo, start_time: 193.7, end_time: 198.4
