Waiting for operation to complete...
Transcript: W żłobie leży któż pobieży kolędować małemu Jezusowi Chrystusowi dziś nam narodzonemu pastuszkowie przybywajcie licznie przegrywającego Panu naszemu pastuszkowie przybywajcie nie mówisz nie przerywajcie jako Panu naszemu prezesa miseczkami za wami po śpieszymy i dlatego maleńkiego i wszyscy zobaczymy
Confidence: 0.911521315574646
Word: W, start_time: 0.0, end_time: 0.0
Word: żłobie, start_time: 0.0, end_time: 7.4
Word: leży, start_time: 7.4, end_time: 8.0
Word: któż, start_time: 8.0, end_time: 9.1
Word: pobieży, start_time: 9.1, end_time: 9.4
Word: kolędować, start_time: 9.4, end_time: 10.5
Word: małemu, start_time: 10.5, end_time: 12.2
Word: Jezusowi, start_time: 12.2, end_time: 14.6
Word: Chrystusowi, start_time: 14.6, end_time: 15.6
Word: dziś, start_time: 15.6, end_time: 17.0
Word: nam, start_time: 17.0, end_time: 17.7
Word: narodzonemu, start_time: 17.7, end_time: 17.7
Word: pastuszkowie, start_time: 17.7, end_time: 21.9
Word: przybywajcie, start_time: 21.9, end_time: 23.3
Word: licznie, start_time: 23.3, end_time: 25.3
Word: przegrywającego, start_time: 25.3, end_time: 27.6
Word: Panu, start_time: 27.6, end_time: 28.5
Word: naszemu, start_time: 28.5, end_time: 29.4
Word: pastuszkowie, start_time: 29.4, end_time: 32.2
Word: przybywajcie, start_time: 32.2, end_time: 33.5
Word: nie, start_time: 33.5, end_time: 34.1
Word: mówisz, start_time: 34.1, end_time: 35.5
Word: nie, start_time: 35.5, end_time: 35.6
Word: przerywajcie, start_time: 35.6, end_time: 36.9
Word: jako, start_time: 36.9, end_time: 37.9
Word: Panu, start_time: 37.9, end_time: 38.7
Word: naszemu, start_time: 38.7, end_time: 39.6
Word: prezesa, start_time: 39.6, end_time: 47.3
Word: miseczkami, start_time: 47.3, end_time: 49.4
Word: za, start_time: 49.4, end_time: 49.9
Word: wami, start_time: 49.9, end_time: 50.5
Word: po, start_time: 50.5, end_time: 51.0
Word: śpieszymy, start_time: 51.0, end_time: 52.1
Word: i, start_time: 52.1, end_time: 52.6
Word: dlatego, start_time: 52.6, end_time: 53.6
Word: maleńkiego, start_time: 53.6, end_time: 55.9
Word: i, start_time: 55.9, end_time: 56.1
Word: wszyscy, start_time: 56.1, end_time: 57.0
Word: zobaczymy, start_time: 57.0, end_time: 58.7
Transcript: jak ubogo narodzony płacze w stajni położony jest mi ciężko cieszymy Jakuba narodzony płacze w stajni położony więc będzie się cieszył naprzód Edi Przebudzenie świadomości że posłany na migdale bliskości gotowy przywitajmy z aniołami Zaśpiewajmy chwała na wysokości jego tedy przywitanie z jonami Zaśpiewajmy Chwała na wysokości
Confidence: 0.8696527481079102
Word: jak, start_time: 59.9, end_time: 60.7
Word: ubogo, start_time: 60.7, end_time: 61.3
Word: narodzony, start_time: 61.3, end_time: 61.5
Word: płacze, start_time: 61.5, end_time: 64.0
Word: w, start_time: 64.0, end_time: 64.1
Word: stajni, start_time: 64.1, end_time: 64.1
Word: położony, start_time: 64.1, end_time: 65.0
Word: jest, start_time: 65.0, end_time: 66.6
Word: mi, start_time: 66.6, end_time: 66.8
Word: ciężko, start_time: 66.8, end_time: 67.3
Word: cieszymy, start_time: 67.3, end_time: 68.8
Word: Jakuba, start_time: 68.8, end_time: 71.5
Word: narodzony, start_time: 71.5, end_time: 73.1
Word: płacze, start_time: 73.1, end_time: 74.3
Word: w, start_time: 74.3, end_time: 74.4
Word: stajni, start_time: 74.4, end_time: 74.5
Word: położony, start_time: 74.5, end_time: 75.3
Word: więc, start_time: 75.3, end_time: 76.9
Word: będzie, start_time: 76.9, end_time: 77.3
Word: się, start_time: 77.3, end_time: 77.9
Word: cieszył, start_time: 77.9, end_time: 79.1
Word: naprzód, start_time: 79.1, end_time: 83.0
Word: Edi, start_time: 83.0, end_time: 83.8
Word: Przebudzenie, start_time: 83.8, end_time: 86.4
Word: świadomości, start_time: 86.4, end_time: 86.6
Word: że, start_time: 86.6, end_time: 89.0
Word: posłany, start_time: 89.0, end_time: 90.7
Word: na, start_time: 90.7, end_time: 91.1
Word: migdale, start_time: 91.1, end_time: 92.2
Word: bliskości, start_time: 92.2, end_time: 95.1
Word: gotowy, start_time: 95.1, end_time: 97.7
Word: przywitajmy, start_time: 97.7, end_time: 99.0
Word: z, start_time: 99.0, end_time: 99.5
Word: aniołami, start_time: 99.5, end_time: 100.7
Word: Zaśpiewajmy, start_time: 100.7, end_time: 102.4
Word: chwała, start_time: 102.4, end_time: 103.4
Word: na, start_time: 103.4, end_time: 103.6
Word: wysokości, start_time: 103.6, end_time: 105.5
Word: jego, start_time: 105.5, end_time: 107.2
Word: tedy, start_time: 107.2, end_time: 107.9
Word: przywitanie, start_time: 107.9, end_time: 109.3
Word: z, start_time: 109.3, end_time: 109.7
Word: jonami, start_time: 109.7, end_time: 111.1
Word: Zaśpiewajmy, start_time: 111.1, end_time: 112.5
Word: Chwała, start_time: 112.5, end_time: 113.5
Word: na, start_time: 113.5, end_time: 113.8
Word: wysokości, start_time: 113.8, end_time: 115.7
Transcript: wysokości chwała na wysokości
Confidence: 0.9785358309745789
Word: wysokości, start_time: 119.9, end_time: 128.2
Word: chwała, start_time: 128.2, end_time: 136.5
Word: na, start_time: 136.5, end_time: 136.8
Word: wysokości, start_time: 136.8, end_time: 137.1
