Waiting for operation to complete...
Transcript: Bolesław Leśmian lalka
Confidence: 0.9736003875732422
Word: Bolesław, start_time: 0.0, end_time: 0.7000000000000001
Word: Leśmian, start_time: 0.7000000000000001, end_time: 0.7000000000000001
Word: lalka, start_time: 0.7000000000000001, end_time: 2.5
Transcript:  Jan lalka w kolczykach w Splicie zaświadczyć ty suknia Jawą atłasu ze snem się kojarzy lubię fajnych oczu i zapach kleisty farby rumieńcem śmierci młodą temat twarzy lubię leżeć gdy pokój słonecznie je czynnie na strojnego dywana narożnej purpurze gdzie irys obok sarny kwitnie bez roślin nie a z wieczności pluszowej unoszą się kurzy
Confidence: 0.7684367299079895
Word: Jan, start_time: 4.4, end_time: 5.3
Word: lalka, start_time: 5.3, end_time: 6.0
Word: w, start_time: 6.0, end_time: 6.1
Word: kolczykach, start_time: 6.1, end_time: 7.4
Word: w, start_time: 7.4, end_time: 7.6
Word: Splicie, start_time: 7.6, end_time: 8.0
Word: zaświadczyć, start_time: 8.0, end_time: 9.0
Word: ty, start_time: 9.0, end_time: 9.3
Word: suknia, start_time: 9.3, end_time: 10.8
Word: Jawą, start_time: 10.8, end_time: 11.1
Word: atłasu, start_time: 11.1, end_time: 11.7
Word: ze, start_time: 11.7, end_time: 11.8
Word: snem, start_time: 11.8, end_time: 12.1
Word: się, start_time: 12.1, end_time: 12.2
Word: kojarzy, start_time: 12.2, end_time: 12.7
Word: lubię, start_time: 12.7, end_time: 13.8
Word: fajnych, start_time: 13.8, end_time: 14.2
Word: oczu, start_time: 14.2, end_time: 14.9
Word: i, start_time: 14.9, end_time: 15.0
Word: zapach, start_time: 15.0, end_time: 15.6
Word: kleisty, start_time: 15.6, end_time: 16.2
Word: farby, start_time: 16.2, end_time: 17.4
Word: rumieńcem, start_time: 17.4, end_time: 18.3
Word: śmierci, start_time: 18.3, end_time: 18.9
Word: młodą, start_time: 18.9, end_time: 19.2
Word: temat, start_time: 19.2, end_time: 19.8
Word: twarzy, start_time: 19.8, end_time: 20.4
Word: lubię, start_time: 20.4, end_time: 22.9
Word: leżeć, start_time: 22.9, end_time: 23.1
Word: gdy, start_time: 23.1, end_time: 23.5
Word: pokój, start_time: 23.5, end_time: 23.9
Word: słonecznie, start_time: 23.9, end_time: 24.5
Word: je, start_time: 24.5, end_time: 24.6
Word: czynnie, start_time: 24.6, end_time: 25.1
Word: na, start_time: 25.1, end_time: 26.3
Word: strojnego, start_time: 26.3, end_time: 26.8
Word: dywana, start_time: 26.8, end_time: 27.3
Word: narożnej, start_time: 27.3, end_time: 27.8
Word: purpurze, start_time: 27.8, end_time: 28.3
Word: gdzie, start_time: 28.3, end_time: 29.7
Word: irys, start_time: 29.7, end_time: 30.1
Word: obok, start_time: 30.1, end_time: 30.5
Word: sarny, start_time: 30.5, end_time: 30.8
Word: kwitnie, start_time: 30.8, end_time: 31.6
Word: bez, start_time: 31.6, end_time: 31.7
Word: roślin, start_time: 31.7, end_time: 32.4
Word: nie, start_time: 32.4, end_time: 32.5
Word: a, start_time: 32.5, end_time: 32.7
Word: z, start_time: 32.7, end_time: 33.5
Word: wieczności, start_time: 33.5, end_time: 34.1
Word: pluszowej, start_time: 34.1, end_time: 34.6
Word: unoszą, start_time: 34.6, end_time: 35.2
Word: się, start_time: 35.2, end_time: 35.3
Word: kurzy, start_time: 35.3, end_time: 35.8
Transcript:  dziewczynce co się moim bawi nie istnieniem wdzięczna jestem gdy w dłonie mój niebyt porywa i mówi za mnie wszystko różowa natchnieniem i udaje że wierzy w to iż Jestem żywa
Confidence: 0.9351281523704529
Word: dziewczynce, start_time: 38.5, end_time: 39.4
Word: co, start_time: 39.4, end_time: 39.7
Word: się, start_time: 39.7, end_time: 39.9
Word: moim, start_time: 39.9, end_time: 40.2
Word: bawi, start_time: 40.2, end_time: 40.6
Word: nie, start_time: 40.6, end_time: 40.8
Word: istnieniem, start_time: 40.8, end_time: 41.5
Word: wdzięczna, start_time: 41.5, end_time: 42.3
Word: jestem, start_time: 42.3, end_time: 42.5
Word: gdy, start_time: 42.5, end_time: 43.0
Word: w, start_time: 43.0, end_time: 43.1
Word: dłonie, start_time: 43.1, end_time: 43.7
Word: mój, start_time: 43.7, end_time: 43.9
Word: niebyt, start_time: 43.9, end_time: 44.3
