Waiting for operation to complete...
Transcript: Bolesław Leśmian Urszula Kochanowska Gdy po śmierci w niebiosów Przybyłam pustkowie Bóg długo patrzył na mnie i głaskał po głowie Zbliż się do mnie Urszula pooglądasz jak żywa zrobię dla ciebie chcę żebyś była szczęśliwa Zrób tak Boże szepnęłam pewnie w twoich krasie wszystko było tak samo jak tam w Czarnolesie i uciekłam zamknięta i otrzymuj noszę by zbadać czy się gniewasz go o to proszę uśmiechnął się i skinął iwnet z bożej łaski powstał dom kubek w kubek jak masz czarno laski i sprzęty i donice rozkwitły źle tak podobne aż o czym straszne od wesela i rzekł Oto są sprzęty A oto donice tylko patrzeć jak przyjdą stęsknieni rodzice i jak gwiazdy do snu poukładam w niebie nieraz do drzwi zapuka by odwiedzić cię
Confidence: 0.8437384366989136
Word: Bolesław, start_time: 0.0, end_time: 1.0
Word: Leśmian, start_time: 1.0, end_time: 1.0
Word: Urszula, start_time: 1.0, end_time: 2.0
Word: Kochanowska, start_time: 2.0, end_time: 2.3
Word: Gdy, start_time: 2.3, end_time: 5.3
Word: po, start_time: 5.3, end_time: 5.4
Word: śmierci, start_time: 5.4, end_time: 5.5
Word: w, start_time: 5.5, end_time: 5.9
Word: niebiosów, start_time: 5.9, end_time: 5.9
Word: Przybyłam, start_time: 5.9, end_time: 6.7
Word: pustkowie, start_time: 6.7, end_time: 6.9
Word: Bóg, start_time: 6.9, end_time: 8.3
Word: długo, start_time: 8.3, end_time: 8.4
Word: patrzył, start_time: 8.4, end_time: 8.7
Word: na, start_time: 8.7, end_time: 9.2
Word: mnie, start_time: 9.2, end_time: 9.3
Word: i, start_time: 9.3, end_time: 9.5
Word: głaskał, start_time: 9.5, end_time: 9.8
Word: po, start_time: 9.8, end_time: 10.2
Word: głowie, start_time: 10.2, end_time: 10.2
Word: Zbliż, start_time: 10.2, end_time: 12.5
Word: się, start_time: 12.5, end_time: 12.6
Word: do, start_time: 12.6, end_time: 12.7
Word: mnie, start_time: 12.7, end_time: 12.9
Word: Urszula, start_time: 12.9, end_time: 13.2
Word: pooglądasz, start_time: 13.2, end_time: 14.7
Word: jak, start_time: 14.7, end_time: 14.8
Word: żywa, start_time: 14.8, end_time: 15.2
Word: zrobię, start_time: 15.2, end_time: 17.0
Word: dla, start_time: 17.0, end_time: 17.1
Word: ciebie, start_time: 17.1, end_time: 17.2
Word: chcę, start_time: 17.2, end_time: 17.6
Word: żebyś, start_time: 17.6, end_time: 17.8
Word: była, start_time: 17.8, end_time: 18.2
Word: szczęśliwa, start_time: 18.2, end_time: 18.2
Word: Zrób, start_time: 18.2, end_time: 20.0
Word: tak, start_time: 20.0, end_time: 20.1
Word: Boże, start_time: 20.1, end_time: 20.4
Word: szepnęłam, start_time: 20.4, end_time: 20.9
Word: pewnie, start_time: 20.9, end_time: 22.1
Word: w, start_time: 22.1, end_time: 22.1
Word: twoich, start_time: 22.1, end_time: 22.5
Word: krasie, start_time: 22.5, end_time: 22.9
Word: wszystko, start_time: 22.9, end_time: 23.6
Word: było, start_time: 23.6, end_time: 23.7
Word: tak, start_time: 23.7, end_time: 23.9
Word: samo, start_time: 23.9, end_time: 24.1
Word: jak, start_time: 24.1, end_time: 24.2
Word: tam, start_time: 24.2, end_time: 24.6
Word: w, start_time: 24.6, end_time: 24.7
Word: Czarnolesie, start_time: 24.7, end_time: 25.9
Word: i, start_time: 25.9, end_time: 26.0
Word: uciekłam, start_time: 26.0, end_time: 27.6
Word: zamknięta, start_time: 27.6, end_time: 28.1
Word: i, start_time: 28.1, end_time: 28.2
Word: otrzymuj, start_time: 28.2, end_time: 28.7
Word: noszę, start_time: 28.7, end_time: 28.9
Word: by, start_time: 28.9, end_time: 29.5
Word: zbadać, start_time: 29.5, end_time: 29.7
Word: czy, start_time: 29.7, end_time: 30.0
Word: się, start_time: 30.0, end_time: 30.1
Word: gniewasz, start_time: 30.1, end_time: 30.4
Word: go, start_time: 30.4, end_time: 30.7
Word: o, start_time: 30.7, end_time: 30.8
Word: to, start_time: 30.8, end_time: 30.9
Word: proszę, start_time: 30.9, end_time: 31.3
Word: uśmiechnął, start_time: 31.3, end_time: 32.7
Word: się, start_time: 32.7, end_time: 32.8
Word: i, start_time: 32.8, end_time: 33.0
Word: skinął, start_time: 33.0, end_time: 33.7
Word: iwnet, start_time: 33.7, end_time: 34.7
