Waiting for operation to complete...
Transcript: Bolesław Leśmian Niewiara
Confidence: 0.974598228931427
Word: Bolesław, start_time: 0.1, end_time: 0.9
Word: Leśmian, start_time: 0.9, end_time: 0.9
Word: Niewiara, start_time: 0.9, end_time: 2.7
Transcript:  już nic nie widzę Zasypiam już w ciszy i ogrodzie
Confidence: 0.920876145362854
Word: już, start_time: 4.5, end_time: 5.0
Word: nic, start_time: 5.0, end_time: 5.2
Word: nie, start_time: 5.2, end_time: 5.3
Word: widzę, start_time: 5.3, end_time: 5.7
Word: Zasypiam, start_time: 5.7, end_time: 6.9
Word: już, start_time: 6.9, end_time: 7.1
Word: w, start_time: 7.1, end_time: 7.3
Word: ciszy, start_time: 7.3, end_time: 8.7
Word: i, start_time: 8.7, end_time: 8.8
Word: ogrodzie, start_time: 8.8, end_time: 9.4
Transcript:  znika mi słońce w zamach wzgórz Bóg znika w Brzozie
Confidence: 0.8188034892082214
Word: znika, start_time: 10.8, end_time: 11.5
Word: mi, start_time: 11.5, end_time: 11.6
Word: słońce, start_time: 11.6, end_time: 12.0
Word: w, start_time: 12.0, end_time: 12.1
Word: zamach, start_time: 12.1, end_time: 12.6
Word: wzgórz, start_time: 12.6, end_time: 13.1
Word: Bóg, start_time: 13.1, end_time: 14.6
Word: znika, start_time: 14.6, end_time: 15.2
Word: w, start_time: 15.2, end_time: 15.4
Word: Brzozie, start_time: 15.4, end_time: 16.4
Transcript:  ginie mi z oczu umowny kwiat chwiejnej Dolinie A gdzie się podziewa ten cały świat gdy z oczu ginie czy Korzystając z tego że zmarł rzęsy na mgnienie znużony deszczem i łzami czarownice swiadczenie
Confidence: 0.9332368969917297
Word: ginie, start_time: 17.6, end_time: 18.2
Word: mi, start_time: 18.2, end_time: 18.3
Word: z, start_time: 18.3, end_time: 18.4
Word: oczu, start_time: 18.4, end_time: 18.7
Word: umowny, start_time: 18.7, end_time: 19.7
Word: kwiat, start_time: 19.7, end_time: 20.0
Word: chwiejnej, start_time: 20.0, end_time: 21.5
Word: Dolinie, start_time: 21.5, end_time: 22.0
Word: A, start_time: 22.0, end_time: 22.1
Word: gdzie, start_time: 22.1, end_time: 23.4
Word: się, start_time: 23.4, end_time: 23.5
Word: podziewa, start_time: 23.5, end_time: 24.0
Word: ten, start_time: 24.0, end_time: 24.1
Word: cały, start_time: 24.1, end_time: 24.5
Word: świat, start_time: 24.5, end_time: 24.8
Word: gdy, start_time: 24.8, end_time: 25.8
Word: z, start_time: 25.8, end_time: 25.9
Word: oczu, start_time: 25.9, end_time: 26.1
Word: ginie, start_time: 26.1, end_time: 26.5
Word: czy, start_time: 26.5, end_time: 27.7
Word: Korzystając, start_time: 27.7, end_time: 28.4
Word: z, start_time: 28.4, end_time: 28.5
Word: tego, start_time: 28.5, end_time: 28.8
Word: że, start_time: 28.8, end_time: 29.0
Word: zmarł, start_time: 29.0, end_time: 29.7
Word: rzęsy, start_time: 29.7, end_time: 31.0
Word: na, start_time: 31.0, end_time: 31.1
Word: mgnienie, start_time: 31.1, end_time: 31.3
Word: znużony, start_time: 31.3, end_time: 32.8
Word: deszczem, start_time: 32.8, end_time: 33.3
Word: i, start_time: 33.3, end_time: 33.5
Word: łzami, start_time: 33.5, end_time: 33.9
Word: czarownice, start_time: 33.9, end_time: 35.5
Word: swiadczenie, start_time: 35.5, end_time: 36.5
Transcript:  czy wypoczywa od barw isbud popchnął bramą wznosząc boleśnie w wieczności wschód twarz nie tę samą
Confidence: 0.8376138210296631
Word: czy, start_time: 37.1, end_time: 38.0
Word: wypoczywa, start_time: 38.0, end_time: 38.4
Word: od, start_time: 38.4, end_time: 38.7
Word: barw, start_time: 38.7, end_time: 39.2
Word: isbud, start_time: 39.2, end_time: 39.8
Word: popchnął, start_time: 39.8, end_time: 41.2
Word: bramą, start_time: 41.2, end_time: 41.6
Word: wznosząc, start_time: 41.6, end_time: 43.1
Word: boleśnie, start_time: 43.1, end_time: 43.8
Word: w, start_time: 43.8, end_time: 43.8
Word: wieczności, start_time: 43.8, end_time: 44.6
Word: wschód, start_time: 44.6, end_time: 45.1
Word: twarz, start_time: 45.1, end_time: 46.0
Word: nie, start_time: 46.0, end_time: 46.2
Word: tę, start_time: 46.2, end_time: 46.4
Word: samą, start_time: 46.4, end_time: 46.7
Transcript:  Nie nie przy tobie jak dawniej trwa śmiertelnym bujny jest to gdzie zgroza nie wiara twa i sen twój czujny
Confidence: 0.8551028966903687
Word: Nie, start_time: 47.7, end_time: 48.2
Word: nie, start_time: 48.2, end_time: 48.5
Word: przy, start_time: 48.5, end_time: 49.5
Word: tobie, start_time: 49.5, end_time: 49.6
Word: jak, start_time: 49.6, end_time: 50.0
Word: dawniej, start_time: 50.0, end_time: 50.6
Word: trwa, start_time: 50.6, end_time: 51.0
Word: śmiertelnym, start_time: 51.0, end_time: 52.5
Word: bujny, start_time: 52.5, end_time: 53.0
Word: jest, start_time: 53.0, end_time: 54.6
Word: to, start_time: 54.6, end_time: 54.7
Word: gdzie, start_time: 54.7, end_time: 54.9
Word: zgroza, start_time: 54.9, end_time: 55.5
Word: nie, start_time: 55.5, end_time: 55.7
Word: wiara, start_time: 55.7, end_time: 56.0
Word: twa, start_time: 56.0, end_time: 56.1
Word: i, start_time: 56.1, end_time: 56.4
Word: sen, start_time: 56.4, end_time: 57.6
Word: twój, start_time: 57.6, end_time: 58.0
Word: czujny, start_time: 58.0, end_time: 58.6
