Waiting for operation to complete...
Transcript: Bruno Jasieński but w butonierce internet to zielone są ręce moje zielone są oczy moje zielone są rzęsy moje jak peperment
Confidence: 0.9114140272140503
Word: Bruno, start_time: 0.0, end_time: 0.6000000000000001
Word: Jasieński, start_time: 0.6000000000000001, end_time: 1.3
Word: but, start_time: 1.3, end_time: 2.3
Word: w, start_time: 2.3, end_time: 2.5
Word: butonierce, start_time: 2.5, end_time: 2.8
Word: internet, start_time: 2.8, end_time: 4.7
Word: to, start_time: 4.7, end_time: 5.0
Word: zielone, start_time: 5.0, end_time: 7.3
Word: są, start_time: 7.3, end_time: 7.4
Word: ręce, start_time: 7.4, end_time: 7.9
Word: moje, start_time: 7.9, end_time: 8.2
Word: zielone, start_time: 8.2, end_time: 9.2
Word: są, start_time: 9.2, end_time: 9.5
Word: oczy, start_time: 9.5, end_time: 10.0
Word: moje, start_time: 10.0, end_time: 10.4
Word: zielone, start_time: 10.4, end_time: 11.8
Word: są, start_time: 11.8, end_time: 12.1
Word: rzęsy, start_time: 12.1, end_time: 12.5
Word: moje, start_time: 12.5, end_time: 13.0
Word: jak, start_time: 13.0, end_time: 13.8
Word: peperment, start_time: 13.8, end_time: 14.5
Transcript:  biała nudę usiadła kłódki na czarnym dywanie i podaje mi fajkę na bitą antypiryna z ściany wizawi łysy wyuzdany zegar Uśmiecha się do mnie z wyrazem najsmaczniejszych propozycji
Confidence: 0.8543826341629028
Word: biała, start_time: 15.9, end_time: 16.4
Word: nudę, start_time: 16.4, end_time: 16.8
Word: usiadła, start_time: 16.8, end_time: 17.2
Word: kłódki, start_time: 17.2, end_time: 17.8
Word: na, start_time: 17.8, end_time: 17.9
Word: czarnym, start_time: 17.9, end_time: 18.3
Word: dywanie, start_time: 18.3, end_time: 18.9
Word: i, start_time: 18.9, end_time: 19.0
Word: podaje, start_time: 19.0, end_time: 19.9
Word: mi, start_time: 19.9, end_time: 20.0
Word: fajkę, start_time: 20.0, end_time: 20.5
Word: na, start_time: 20.5, end_time: 20.9
Word: bitą, start_time: 20.9, end_time: 21.2
Word: antypiryna, start_time: 21.2, end_time: 21.8
Word: z, start_time: 21.8, end_time: 22.2
Word: ściany, start_time: 22.2, end_time: 23.7
Word: wizawi, start_time: 23.7, end_time: 24.1
Word: łysy, start_time: 24.1, end_time: 25.0
Word: wyuzdany, start_time: 25.0, end_time: 25.9
Word: zegar, start_time: 25.9, end_time: 26.4
Word: Uśmiecha, start_time: 26.4, end_time: 27.2
Word: się, start_time: 27.2, end_time: 27.4
Word: do, start_time: 27.4, end_time: 27.5
Word: mnie, start_time: 27.5, end_time: 27.6
Word: z, start_time: 27.6, end_time: 27.9
Word: wyrazem, start_time: 27.9, end_time: 28.3
Word: najsmaczniejszych, start_time: 28.3, end_time: 29.5
Word: propozycji, start_time: 29.5, end_time: 30.2
