Waiting for operation to complete...
Transcript: Bruno Jasieński but w butonierce jak introdukcja całując owrzodzone palce City lityczny i kochanki dobrze jest słuchać ostrego śpiewających tramwajów kiedy muzyka w sąsiednim w szpitalu wariatów Dreaming a w kinie na wizawi onestep jest czerwone walce pod niebem Water Sky wzielonej gazowa alcaraz 30000 umiera mijamy
Confidence: 0.9228248596191406
Word: Bruno, start_time: 0.0, end_time: 0.4
Word: Jasieński, start_time: 0.4, end_time: 1.0
Word: but, start_time: 1.0, end_time: 1.8
Word: w, start_time: 1.8, end_time: 2.1
Word: butonierce, start_time: 2.1, end_time: 2.3
Word: jak, start_time: 2.3, end_time: 3.8
Word: introdukcja, start_time: 3.8, end_time: 4.6
Word: całując, start_time: 4.6, end_time: 6.3
Word: owrzodzone, start_time: 6.3, end_time: 6.8
Word: palce, start_time: 6.8, end_time: 7.4
Word: City, start_time: 7.4, end_time: 7.7
Word: lityczny, start_time: 7.7, end_time: 8.2
Word: i, start_time: 8.2, end_time: 8.2
Word: kochanki, start_time: 8.2, end_time: 8.9
Word: dobrze, start_time: 8.9, end_time: 9.8
Word: jest, start_time: 9.8, end_time: 10.0
Word: słuchać, start_time: 10.0, end_time: 10.3
Word: ostrego, start_time: 10.3, end_time: 11.0
Word: śpiewających, start_time: 11.0, end_time: 11.9
Word: tramwajów, start_time: 11.9, end_time: 12.6
Word: kiedy, start_time: 12.6, end_time: 13.3
Word: muzyka, start_time: 13.3, end_time: 13.6
Word: w, start_time: 13.6, end_time: 13.9
Word: sąsiednim, start_time: 13.9, end_time: 14.6
Word: w, start_time: 14.6, end_time: 14.6
Word: szpitalu, start_time: 14.6, end_time: 15.0
Word: wariatów, start_time: 15.0, end_time: 15.2
Word: Dreaming, start_time: 15.2, end_time: 16.2
Word: a, start_time: 16.2, end_time: 16.4
Word: w, start_time: 16.4, end_time: 16.8
Word: kinie, start_time: 16.8, end_time: 17.2
Word: na, start_time: 17.2, end_time: 17.3
Word: wizawi, start_time: 17.3, end_time: 18.1
Word: onestep, start_time: 18.1, end_time: 19.1
Word: jest, start_time: 19.1, end_time: 19.3
Word: czerwone, start_time: 19.3, end_time: 19.8
Word: walce, start_time: 19.8, end_time: 20.3
Word: pod, start_time: 20.3, end_time: 20.9
Word: niebem, start_time: 20.9, end_time: 21.1
Word: Water, start_time: 21.1, end_time: 21.6
Word: Sky, start_time: 21.6, end_time: 22.0
Word: wzielonej, start_time: 22.0, end_time: 23.0
Word: gazowa, start_time: 23.0, end_time: 23.4
Word: alcaraz, start_time: 23.4, end_time: 24.4
Word: 30000, start_time: 24.4, end_time: 25.7
Word: umiera, start_time: 25.7, end_time: 26.4
Word: mijamy, start_time: 26.4, end_time: 27.5
