Waiting for operation to complete...
Transcript: Bruno Jasieński but w butonierce trupy z kawiorem dedykacja pani Jance gruzińskiej
Confidence: 0.9182650446891785
Word: Bruno, start_time: 0.0, end_time: 0.5
Word: Jasieński, start_time: 0.5, end_time: 1.1
Word: but, start_time: 1.1, end_time: 2.0
Word: w, start_time: 2.0, end_time: 2.3
Word: butonierce, start_time: 2.3, end_time: 2.5
Word: trupy, start_time: 2.5, end_time: 4.6
Word: z, start_time: 4.6, end_time: 4.7
Word: kawiorem, start_time: 4.7, end_time: 4.7
Word: dedykacja, start_time: 4.7, end_time: 7.0
Word: pani, start_time: 7.0, end_time: 7.6
Word: Jance, start_time: 7.6, end_time: 8.0
Word: gruzińskiej, start_time: 8.0, end_time: 8.8
Transcript:  pani Palce są chłodne i pachną jak opium taki mały pół trupki anemiczny i blond marzą o kimś co by ich w pocałunkach utopił jak w odyńce błękitnej papierosa p1 dotkniętą serwety coś bezgłośnie opadnie białe Astry flakonach umierają przez sen pani milczy tak cicho melodyjnie i ładnie jak w najlepszych preludia chromatyczny verlaine może smutek zielony z twarzą negras zombes.io wachlarzu dziś panią otuloną wpół zmrok
Confidence: 0.9433898329734802
Word: pani, start_time: 9.8, end_time: 10.3
Word: Palce, start_time: 10.3, end_time: 10.6
Word: są, start_time: 10.6, end_time: 10.7
Word: chłodne, start_time: 10.7, end_time: 11.3
Word: i, start_time: 11.3, end_time: 11.4
Word: pachną, start_time: 11.4, end_time: 12.0
Word: jak, start_time: 12.0, end_time: 12.1
Word: opium, start_time: 12.1, end_time: 12.7
Word: taki, start_time: 12.7, end_time: 13.6
Word: mały, start_time: 13.6, end_time: 13.9
Word: pół, start_time: 13.9, end_time: 14.1
Word: trupki, start_time: 14.1, end_time: 14.5
Word: anemiczny, start_time: 14.5, end_time: 15.6
Word: i, start_time: 15.6, end_time: 15.7
Word: blond, start_time: 15.7, end_time: 16.1
Word: marzą, start_time: 16.1, end_time: 17.3
Word: o, start_time: 17.3, end_time: 17.5
Word: kimś, start_time: 17.5, end_time: 17.9
Word: co, start_time: 17.9, end_time: 18.5
Word: by, start_time: 18.5, end_time: 18.7
Word: ich, start_time: 18.7, end_time: 18.8
Word: w, start_time: 18.8, end_time: 18.9
Word: pocałunkach, start_time: 18.9, end_time: 19.5
Word: utopił, start_time: 19.5, end_time: 20.2
Word: jak, start_time: 20.2, end_time: 20.5
Word: w, start_time: 20.5, end_time: 20.6
Word: odyńce, start_time: 20.6, end_time: 21.1
Word: błękitnej, start_time: 21.1, end_time: 21.7
Word: papierosa, start_time: 21.7, end_time: 22.2
Word: p1, start_time: 22.2, end_time: 22.4
Word: dotkniętą, start_time: 22.4, end_time: 25.1
Word: serwety, start_time: 25.1, end_time: 25.6
Word: coś, start_time: 25.6, end_time: 25.7
Word: bezgłośnie, start_time: 25.7, end_time: 26.3
