Waiting for operation to complete...
Transcript: Cyprian Kamil Norwid Bema pamięci żałobny rapsod Czemu cieniu odjeżdżasz ręce złamawszy na pancerz przy pochodniach co z krajami grają około dwóch kolan miecz Wawrzynem zielony gromnic spłacaniem dziś Poland Wiesię Sokół i koń twój podrywać stopy jak tancerz wieją wieją proporce i zawierają na siebie jak namioty ruchomy wojsk gotujących po niebie trąby długie Weł Kaniów aż się za naszą i znaki pochłaniają się z góry opuszczonymi skrzydłami jak włóczniami przebite smoki jaszczury i ptaki jako wiele pomysłów które się do ścigał włóczniami idą Panny żałobne 1 podnosząc ramiona
Confidence: 0.846516489982605
Word: Cyprian, start_time: 0.0, end_time: 0.6000000000000001
Word: Kamil, start_time: 0.6000000000000001, end_time: 0.7000000000000001
Word: Norwid, start_time: 0.7000000000000001, end_time: 1.1
Word: Bema, start_time: 1.1, end_time: 2.8
Word: pamięci, start_time: 2.8, end_time: 3.1
Word: żałobny, start_time: 3.1, end_time: 4.4
Word: rapsod, start_time: 4.4, end_time: 4.5
Word: Czemu, start_time: 4.5, end_time: 7.3
Word: cieniu, start_time: 7.3, end_time: 7.7
Word: odjeżdżasz, start_time: 7.7, end_time: 7.8
Word: ręce, start_time: 7.8, end_time: 9.0
Word: złamawszy, start_time: 9.0, end_time: 9.6
Word: na, start_time: 9.6, end_time: 10.1
Word: pancerz, start_time: 10.1, end_time: 10.5
Word: przy, start_time: 10.5, end_time: 11.9
Word: pochodniach, start_time: 11.9, end_time: 12.3
Word: co, start_time: 12.3, end_time: 13.1
Word: z, start_time: 13.1, end_time: 13.2
Word: krajami, start_time: 13.2, end_time: 13.6
Word: grają, start_time: 13.6, end_time: 14.1
Word: około, start_time: 14.1, end_time: 14.4
Word: dwóch, start_time: 14.4, end_time: 15.0
Word: kolan, start_time: 15.0, end_time: 15.5
Word: miecz, start_time: 15.5, end_time: 16.7
Word: Wawrzynem, start_time: 16.7, end_time: 17.5
Word: zielony, start_time: 17.5, end_time: 18.2
Word: gromnic, start_time: 18.2, end_time: 19.3
Word: spłacaniem, start_time: 19.3, end_time: 20.3
Word: dziś, start_time: 20.3, end_time: 20.6
Word: Poland, start_time: 20.6, end_time: 21.2
