Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści człowiek i zwierciadła
Confidence: 0.9750288724899292
Word: Ignacy, start_time: 0.0, end_time: 1.1
Word: Krasicki, start_time: 1.1, end_time: 1.5
Word: bajki, start_time: 1.5, end_time: 1.8
Word: i, start_time: 1.8, end_time: 3.1
Word: przypowieści, start_time: 3.1, end_time: 3.3
Word: człowiek, start_time: 3.3, end_time: 5.7
Word: i, start_time: 5.7, end_time: 5.9
Word: zwierciadła, start_time: 5.9, end_time: 7.5
Transcript:  w zwierciadło co powiększa w spojrzał człowiek mały ucieszył się niezmiernie że tak okazały mniemał już być olbrzymem gdy się więc nas Ruszył ktoś zwierciadło Co zmniejsza przedniego położył stłukł obydwie i odtąd zwierciadło mnie wierzył poznał prawdę na koniec gdy się 50 mierzył
Confidence: 0.9224414825439453
Word: w, start_time: 10.1, end_time: 10.1
Word: zwierciadło, start_time: 10.1, end_time: 11.4
Word: co, start_time: 11.4, end_time: 12.0
Word: powiększa, start_time: 12.0, end_time: 12.3
Word: w, start_time: 12.3, end_time: 12.9
Word: spojrzał, start_time: 12.9, end_time: 14.7
Word: człowiek, start_time: 14.7, end_time: 15.5
Word: mały, start_time: 15.5, end_time: 15.9
Word: ucieszył, start_time: 15.9, end_time: 17.6
Word: się, start_time: 17.6, end_time: 17.6
Word: niezmiernie, start_time: 17.6, end_time: 18.6
Word: że, start_time: 18.6, end_time: 18.8
Word: tak, start_time: 18.8, end_time: 19.1
Word: okazały, start_time: 19.1, end_time: 20.1
Word: mniemał, start_time: 20.1, end_time: 21.5
Word: już, start_time: 21.5, end_time: 21.8
Word: być, start_time: 21.8, end_time: 22.1
Word: olbrzymem, start_time: 22.1, end_time: 23.1
Word: gdy, start_time: 23.1, end_time: 23.8
Word: się, start_time: 23.8, end_time: 23.9
Word: więc, start_time: 23.9, end_time: 24.2
Word: nas, start_time: 24.2, end_time: 24.4
Word: Ruszył, start_time: 24.4, end_time: 24.9
Word: ktoś, start_time: 24.9, end_time: 25.2
Word: zwierciadło, start_time: 25.2, end_time: 26.4
Word: Co, start_time: 26.4, end_time: 26.6
Word: zmniejsza, start_time: 26.6, end_time: 27.3
Word: przedniego, start_time: 27.3, end_time: 28.3
Word: położył, start_time: 28.3, end_time: 28.9
Word: stłukł, start_time: 28.9, end_time: 30.4
Word: obydwie, start_time: 30.4, end_time: 31.2
Word: i, start_time: 31.2, end_time: 31.3
Word: odtąd, start_time: 31.3, end_time: 32.2
Word: zwierciadło, start_time: 32.2, end_time: 33.1
Word: mnie, start_time: 33.1, end_time: 33.3
Word: wierzył, start_time: 33.3, end_time: 33.8
Word: poznał, start_time: 33.8, end_time: 34.9
Word: prawdę, start_time: 34.9, end_time: 35.1
Word: na, start_time: 35.1, end_time: 35.4
Word: koniec, start_time: 35.4, end_time: 35.9
Word: gdy, start_time: 35.9, end_time: 36.7
Word: się, start_time: 36.7, end_time: 36.8
Word: 50, start_time: 36.8, end_time: 38.0
Word: mierzył, start_time: 38.0, end_time: 38.8
