Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.30000000000000004, end_time: 1.2
Word: Krasicki, start_time: 1.2, end_time: 1.6
Word: bajki, start_time: 1.6, end_time: 1.9
Word: i, start_time: 1.9, end_time: 3.5
Word: przypowieści, start_time: 3.5, end_time: 3.9
Transcript:  dąb i małe drzewka
Confidence: 0.9761309027671814
Word: dąb, start_time: 6.0, end_time: 6.7
Word: i, start_time: 6.7, end_time: 6.8
Word: małe, start_time: 6.8, end_time: 8.0
Word: drzewka, start_time: 8.0, end_time: 8.5
Transcript:  od wieków trwało na puszczy dom1 wyniosły w cieniu jego gałęzi małe drzewka rosły parze w swojej postaci był nader wspaniały że go do róść nie mogły wszystkie się gniewał przyszedł czas i na Demba pełnić srogie losy słysząc że mu fatalne zadawano ciosy cieszyły się niewdzięczne wtem upadł dąb stary połamał małe drzewka swoimi konary
Confidence: 0.937779426574707
Word: od, start_time: 10.8, end_time: 11.2
Word: wieków, start_time: 11.2, end_time: 11.4
Word: trwało, start_time: 11.4, end_time: 11.9
Word: na, start_time: 11.9, end_time: 12.2
Word: puszczy, start_time: 12.2, end_time: 12.7
Word: dom1, start_time: 12.7, end_time: 14.0
Word: wyniosły, start_time: 14.0, end_time: 14.7
Word: w, start_time: 14.7, end_time: 14.8
Word: cieniu, start_time: 14.8, end_time: 15.7
Word: jego, start_time: 15.7, end_time: 16.0
Word: gałęzi, start_time: 16.0, end_time: 16.9
Word: małe, start_time: 16.9, end_time: 18.3
Word: drzewka, start_time: 18.3, end_time: 19.0
Word: rosły, start_time: 19.0, end_time: 19.5
Word: parze, start_time: 19.5, end_time: 20.4
Word: w, start_time: 20.4, end_time: 20.6
Word: swojej, start_time: 20.6, end_time: 21.1
Word: postaci, start_time: 21.1, end_time: 21.6
Word: był, start_time: 21.6, end_time: 21.9
Word: nader, start_time: 21.9, end_time: 22.3
Word: wspaniały, start_time: 22.3, end_time: 23.1
Word: że, start_time: 23.1, end_time: 23.7
Word: go, start_time: 23.7, end_time: 23.9
Word: do, start_time: 23.9, end_time: 24.0
Word: róść, start_time: 24.0, end_time: 24.4
Word: nie, start_time: 24.4, end_time: 24.6
Word: mogły, start_time: 24.6, end_time: 25.0
Word: wszystkie, start_time: 25.0, end_time: 26.4
Word: się, start_time: 26.4, end_time: 26.6
Word: gniewał, start_time: 26.6, end_time: 27.6
Word: przyszedł, start_time: 27.6, end_time: 29.1
Word: czas, start_time: 29.1, end_time: 29.4
Word: i, start_time: 29.4, end_time: 29.7
Word: na, start_time: 29.7, end_time: 30.1
Word: Demba, start_time: 30.1, end_time: 30.6
Word: pełnić, start_time: 30.6, end_time: 31.7
Word: srogie, start_time: 31.7, end_time: 32.4
Word: losy, start_time: 32.4, end_time: 32.8
Word: słysząc, start_time: 32.8, end_time: 34.2
Word: że, start_time: 34.2, end_time: 34.4
Word: mu, start_time: 34.4, end_time: 34.5
Word: fatalne, start_time: 34.5, end_time: 35.2
Word: zadawano, start_time: 35.2, end_time: 36.0
Word: ciosy, start_time: 36.0, end_time: 36.5
Word: cieszyły, start_time: 36.5, end_time: 37.7
Word: się, start_time: 37.7, end_time: 37.8
Word: niewdzięczne, start_time: 37.8, end_time: 39.4
Word: wtem, start_time: 39.4, end_time: 40.6
Word: upadł, start_time: 40.6, end_time: 41.3
Word: dąb, start_time: 41.3, end_time: 41.7
Word: stary, start_time: 41.7, end_time: 42.2
Word: połamał, start_time: 42.2, end_time: 43.9
Word: małe, start_time: 43.9, end_time: 44.2
Word: drzewka, start_time: 44.2, end_time: 44.7
Word: swoimi, start_time: 44.7, end_time: 45.7
Word: konary, start_time: 45.7, end_time: 46.2
