Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.0, end_time: 1.3
Word: Krasicki, start_time: 1.3, end_time: 1.7000000000000002
Word: bajki, start_time: 1.7000000000000002, end_time: 2.0
Word: i, start_time: 2.0, end_time: 3.3
Word: przypowieści, start_time: 3.3, end_time: 3.5
Transcript:  daremna praca
Confidence: 0.9603190422058105
Word: daremna, start_time: 5.8, end_time: 6.8
Word: praca, start_time: 6.8, end_time: 7.2
Transcript:  nie chcąc się Jędrzej uczyć zmazał Abecadło widząc się szpetny potłukł w kawałki zwierciadło słysząc się złym chciał stłumić wieść przemysłu swymi nie mógł się zrobić głuchym a drugich niemymi
Confidence: 0.9116447567939758
Word: nie, start_time: 9.2, end_time: 9.9
Word: chcąc, start_time: 9.9, end_time: 10.3
Word: się, start_time: 10.3, end_time: 10.4
Word: Jędrzej, start_time: 10.4, end_time: 10.8
Word: uczyć, start_time: 10.8, end_time: 11.5
Word: zmazał, start_time: 11.5, end_time: 12.8
Word: Abecadło, start_time: 12.8, end_time: 13.6
Word: widząc, start_time: 13.6, end_time: 14.9
Word: się, start_time: 14.9, end_time: 15.0
Word: szpetny, start_time: 15.0, end_time: 15.9
Word: potłukł, start_time: 15.9, end_time: 16.9
Word: w, start_time: 16.9, end_time: 17.0
Word: kawałki, start_time: 17.0, end_time: 17.8
Word: zwierciadło, start_time: 17.8, end_time: 18.7
Word: słysząc, start_time: 18.7, end_time: 20.0
Word: się, start_time: 20.0, end_time: 20.2
Word: złym, start_time: 20.2, end_time: 20.7
Word: chciał, start_time: 20.7, end_time: 21.1
Word: stłumić, start_time: 21.1, end_time: 21.8
Word: wieść, start_time: 21.8, end_time: 22.5
Word: przemysłu, start_time: 22.5, end_time: 23.2
Word: swymi, start_time: 23.2, end_time: 23.7
Word: nie, start_time: 23.7, end_time: 24.5
Word: mógł, start_time: 24.5, end_time: 24.9
Word: się, start_time: 24.9, end_time: 25.0
Word: zrobić, start_time: 25.0, end_time: 25.6
Word: głuchym, start_time: 25.6, end_time: 26.1
Word: a, start_time: 26.1, end_time: 26.3
Word: drugich, start_time: 26.3, end_time: 27.3
Word: niemymi, start_time: 27.3, end_time: 28.2
