Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści doktor
Confidence: 0.9225070476531982
Word: Ignacy, start_time: 0.0, end_time: 1.4
Word: Krasicki, start_time: 1.4, end_time: 1.8
Word: bajki, start_time: 1.8, end_time: 2.1
Word: i, start_time: 2.1, end_time: 3.6
Word: przypowieści, start_time: 3.6, end_time: 4.0
Word: doktor, start_time: 4.0, end_time: 7.2
Transcript:  doktor widząc iż musiał lekarstwo udało chciał go często powtarzać cóż się z chorym stało za drugim trzecim razem Bardzo go osłabił za czwartym jeszcze bardziej a za piątym zabił
Confidence: 0.9114049077033997
Word: doktor, start_time: 9.4, end_time: 10.4
Word: widząc, start_time: 10.4, end_time: 11.2
Word: iż, start_time: 11.2, end_time: 11.4
Word: musiał, start_time: 11.4, end_time: 11.8
Word: lekarstwo, start_time: 11.8, end_time: 12.7
Word: udało, start_time: 12.7, end_time: 13.3
Word: chciał, start_time: 13.3, end_time: 14.2
Word: go, start_time: 14.2, end_time: 14.3
Word: często, start_time: 14.3, end_time: 14.7
Word: powtarzać, start_time: 14.7, end_time: 15.3
Word: cóż, start_time: 15.3, end_time: 16.4
Word: się, start_time: 16.4, end_time: 16.6
Word: z, start_time: 16.6, end_time: 16.7
Word: chorym, start_time: 16.7, end_time: 17.1
Word: stało, start_time: 17.1, end_time: 17.5
Word: za, start_time: 17.5, end_time: 18.5
Word: drugim, start_time: 18.5, end_time: 19.0
Word: trzecim, start_time: 19.0, end_time: 19.4
Word: razem, start_time: 19.4, end_time: 19.8
Word: Bardzo, start_time: 19.8, end_time: 20.5
Word: go, start_time: 20.5, end_time: 20.7
Word: osłabił, start_time: 20.7, end_time: 21.4
Word: za, start_time: 21.4, end_time: 21.8
Word: czwartym, start_time: 21.8, end_time: 22.4
Word: jeszcze, start_time: 22.4, end_time: 23.5
Word: bardziej, start_time: 23.5, end_time: 23.9
Word: a, start_time: 23.9, end_time: 24.0
Word: za, start_time: 24.0, end_time: 24.5
Word: piątym, start_time: 24.5, end_time: 24.9
Word: zabił, start_time: 24.9, end_time: 26.1
