Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści dziecię i ojciec
Confidence: 0.9104019999504089
Word: Ignacy, start_time: 0.0, end_time: 0.7000000000000001
Word: Krasicki, start_time: 0.7000000000000001, end_time: 1.1
Word: bajki, start_time: 1.1, end_time: 1.5
Word: i, start_time: 1.5, end_time: 2.8
Word: przypowieści, start_time: 2.8, end_time: 3.0
Word: dziecię, start_time: 3.0, end_time: 5.6
Word: i, start_time: 5.6, end_time: 5.8
Word: ojciec, start_time: 5.8, end_time: 6.2
Transcript:  był ojciec rózgą dziecię że się nie uczyło gdy odszedł dzieci wrócę ze złości spaliło wkrótce znowu Jaś krnąbrny na plagi zarobił ojciec rózgi nie znalazł i kijem go bił
Confidence: 0.9415238499641418
Word: był, start_time: 8.4, end_time: 9.7
Word: ojciec, start_time: 9.7, end_time: 10.1
Word: rózgą, start_time: 10.1, end_time: 11.1
Word: dziecię, start_time: 11.1, end_time: 11.5
Word: że, start_time: 11.5, end_time: 12.2
Word: się, start_time: 12.2, end_time: 12.3
Word: nie, start_time: 12.3, end_time: 12.5
Word: uczyło, start_time: 12.5, end_time: 12.9
Word: gdy, start_time: 12.9, end_time: 13.9
Word: odszedł, start_time: 13.9, end_time: 14.4
Word: dzieci, start_time: 14.4, end_time: 14.8
Word: wrócę, start_time: 14.8, end_time: 15.4
Word: ze, start_time: 15.4, end_time: 15.6
Word: złości, start_time: 15.6, end_time: 16.1
Word: spaliło, start_time: 16.1, end_time: 16.6
Word: wkrótce, start_time: 16.6, end_time: 17.7
Word: znowu, start_time: 17.7, end_time: 18.6
Word: Jaś, start_time: 18.6, end_time: 18.9
Word: krnąbrny, start_time: 18.9, end_time: 20.0
Word: na, start_time: 20.0, end_time: 20.1
Word: plagi, start_time: 20.1, end_time: 20.5
Word: zarobił, start_time: 20.5, end_time: 21.0
Word: ojciec, start_time: 21.0, end_time: 21.8
Word: rózgi, start_time: 21.8, end_time: 22.2
Word: nie, start_time: 22.2, end_time: 22.3
Word: znalazł, start_time: 22.3, end_time: 22.8
Word: i, start_time: 22.8, end_time: 22.9
Word: kijem, start_time: 22.9, end_time: 24.3
Word: go, start_time: 24.3, end_time: 24.5
Word: bił, start_time: 24.5, end_time: 25.0
