Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści groch przy drodze
Confidence: 0.9783903360366821
Word: Ignacy, start_time: 0.0, end_time: 0.8
Word: Krasicki, start_time: 0.8, end_time: 1.2
Word: bajki, start_time: 1.2, end_time: 1.5
Word: i, start_time: 1.5, end_time: 2.9
Word: przypowieści, start_time: 2.9, end_time: 3.7
Word: groch, start_time: 3.7, end_time: 6.8
Word: przy, start_time: 6.8, end_time: 7.0
Word: drodze, start_time: 7.0, end_time: 7.1
Transcript:  oszukany gospodarz Turbo się srodze zjedli mu przechodzący groch zeszły przy drodze chcąc wetować i pewnym cieszyć się profitem drugiego roku wszystek groch posiał zarzutem przyszło zbierać gdy mniemał mieć korzyść obfitą znalazł i groch zjedzony i stłoczone żyto niech się miarę trzymają i starzy i młodzi i ostrożność zbyteczna częstokroć zaszkodzi
Confidence: 0.9541730880737305
Word: oszukany, start_time: 10.0, end_time: 10.9
Word: gospodarz, start_time: 10.9, end_time: 11.6
Word: Turbo, start_time: 11.6, end_time: 12.8
Word: się, start_time: 12.8, end_time: 13.3
Word: srodze, start_time: 13.3, end_time: 13.7
Word: zjedli, start_time: 13.7, end_time: 15.2
Word: mu, start_time: 15.2, end_time: 15.4
Word: przechodzący, start_time: 15.4, end_time: 16.4
Word: groch, start_time: 16.4, end_time: 16.8
Word: zeszły, start_time: 16.8, end_time: 17.8
Word: przy, start_time: 17.8, end_time: 18.0
Word: drodze, start_time: 18.0, end_time: 18.3
Word: chcąc, start_time: 18.3, end_time: 19.9
Word: wetować, start_time: 19.9, end_time: 20.6
Word: i, start_time: 20.6, end_time: 20.7
Word: pewnym, start_time: 20.7, end_time: 21.7
Word: cieszyć, start_time: 21.7, end_time: 22.1
Word: się, start_time: 22.1, end_time: 22.3
Word: profitem, start_time: 22.3, end_time: 23.2
Word: drugiego, start_time: 23.2, end_time: 24.3
Word: roku, start_time: 24.3, end_time: 24.5
Word: wszystek, start_time: 24.5, end_time: 25.1
Word: groch, start_time: 25.1, end_time: 25.8
Word: posiał, start_time: 25.8, end_time: 26.2
Word: zarzutem, start_time: 26.2, end_time: 26.7
Word: przyszło, start_time: 26.7, end_time: 28.4
Word: zbierać, start_time: 28.4, end_time: 28.9
Word: gdy, start_time: 28.9, end_time: 29.5
Word: mniemał, start_time: 29.5, end_time: 30.0
Word: mieć, start_time: 30.0, end_time: 30.9
Word: korzyść, start_time: 30.9, end_time: 31.6
Word: obfitą, start_time: 31.6, end_time: 32.2
Word: znalazł, start_time: 32.2, end_time: 33.6
Word: i, start_time: 33.6, end_time: 33.7
Word: groch, start_time: 33.7, end_time: 34.2
Word: zjedzony, start_time: 34.2, end_time: 35.0
Word: i, start_time: 35.0, end_time: 35.1
Word: stłoczone, start_time: 35.1, end_time: 36.3
Word: żyto, start_time: 36.3, end_time: 36.7
Word: niech, start_time: 36.7, end_time: 38.9
Word: się, start_time: 38.9, end_time: 39.1
Word: miarę, start_time: 39.1, end_time: 39.7
Word: trzymają, start_time: 39.7, end_time: 40.2
Word: i, start_time: 40.2, end_time: 40.6
Word: starzy, start_time: 40.6, end_time: 41.6
Word: i, start_time: 41.6, end_time: 41.9
Word: młodzi, start_time: 41.9, end_time: 42.9
Word: i, start_time: 42.9, end_time: 43.1
Word: ostrożność, start_time: 43.1, end_time: 44.9
Word: zbyteczna, start_time: 44.9, end_time: 45.8
Word: częstokroć, start_time: 45.8, end_time: 47.2
Word: zaszkodzi, start_time: 47.2, end_time: 48.0
