Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.0, end_time: 0.8
Word: Krasicki, start_time: 0.8, end_time: 1.4
Word: bajki, start_time: 1.4, end_time: 1.8
Word: i, start_time: 1.8, end_time: 3.7
Word: przypowieści, start_time: 3.7, end_time: 3.8
Transcript:  księgi w pewnej bibliotece gdzie była Nie pomnę prowadziły się księgi a że niezbyt skromne y się do woli różnymi języki wchodzi Bibliotekarz pyta się kroniki dlaczego takie wrzaski dlatego się Swarzędz że się mnie śmiał położyć obok z kalendarzem wszystko się to porządnie rzekł jej posadził on zmyśla to co będzie ty zmyślasz co było
Confidence: 0.8965036273002625
Word: księgi, start_time: 5.8, end_time: 6.6
Word: w, start_time: 6.6, end_time: 6.7
Word: pewnej, start_time: 6.7, end_time: 9.3
Word: bibliotece, start_time: 9.3, end_time: 9.5
Word: gdzie, start_time: 9.5, end_time: 11.5
Word: była, start_time: 11.5, end_time: 11.8
Word: Nie, start_time: 11.8, end_time: 12.7
Word: pomnę, start_time: 12.7, end_time: 13.2
Word: prowadziły, start_time: 13.2, end_time: 15.1
Word: się, start_time: 15.1, end_time: 15.3
Word: księgi, start_time: 15.3, end_time: 16.4
Word: a, start_time: 16.4, end_time: 16.6
Word: że, start_time: 16.6, end_time: 17.4
Word: niezbyt, start_time: 17.4, end_time: 18.2
Word: skromne, start_time: 18.2, end_time: 19.1
Word: y, start_time: 19.1, end_time: 19.9
Word: się, start_time: 19.9, end_time: 20.4
Word: do, start_time: 20.4, end_time: 20.5
Word: woli, start_time: 20.5, end_time: 20.9
Word: różnymi, start_time: 20.9, end_time: 21.8
Word: języki, start_time: 21.8, end_time: 22.6
Word: wchodzi, start_time: 22.6, end_time: 24.1
Word: Bibliotekarz, start_time: 24.1, end_time: 25.0
Word: pyta, start_time: 25.0, end_time: 25.8
Word: się, start_time: 25.8, end_time: 26.1
Word: kroniki, start_time: 26.1, end_time: 27.0
Word: dlaczego, start_time: 27.0, end_time: 28.1
Word: takie, start_time: 28.1, end_time: 28.4
Word: wrzaski, start_time: 28.4, end_time: 28.9
Word: dlatego, start_time: 28.9, end_time: 30.7
Word: się, start_time: 30.7, end_time: 30.9
Word: Swarzędz, start_time: 30.9, end_time: 31.6
Word: że, start_time: 31.6, end_time: 32.4
Word: się, start_time: 32.4, end_time: 32.5
Word: mnie, start_time: 32.5, end_time: 32.7
Word: śmiał, start_time: 32.7, end_time: 33.5
Word: położyć, start_time: 33.5, end_time: 34.3
Word: obok, start_time: 34.3, end_time: 35.2
Word: z, start_time: 35.2, end_time: 35.6
Word: kalendarzem, start_time: 35.6, end_time: 36.4
Word: wszystko, start_time: 36.4, end_time: 38.4
Word: się, start_time: 38.4, end_time: 38.5
Word: to, start_time: 38.5, end_time: 38.7
Word: porządnie, start_time: 38.7, end_time: 39.3
Word: rzekł, start_time: 39.3, end_time: 40.2
Word: jej, start_time: 40.2, end_time: 40.5
Word: posadził, start_time: 40.5, end_time: 41.5
Word: on, start_time: 41.5, end_time: 42.3
Word: zmyśla, start_time: 42.3, end_time: 42.8
Word: to, start_time: 42.8, end_time: 43.3
Word: co, start_time: 43.3, end_time: 43.8
Word: będzie, start_time: 43.8, end_time: 44.3
Word: ty, start_time: 44.3, end_time: 45.6
Word: zmyślasz, start_time: 45.6, end_time: 45.9
Word: co, start_time: 45.9, end_time: 46.7
Word: było, start_time: 46.7, end_time: 47.0
