Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści Mądry i głupi nie nowina że głupi mądrego przegadał kontent więc iż uczony nic nie odpowiadał tym bardziej jeszcze krzyczeć przeraźliwie począł na koniec zmodowany gdy sobie odpoczął rzekł mądry żeby nie był w odpowiedzi dłużny wiesz dlaczego dzwoń głośny bo wewnątrz jest próżny
Confidence: 0.9383717775344849
Word: Ignacy, start_time: 0.0, end_time: 1.2
Word: Krasicki, start_time: 1.2, end_time: 1.7000000000000002
Word: bajki, start_time: 1.7000000000000002, end_time: 2.0
Word: i, start_time: 2.0, end_time: 3.3
Word: przypowieści, start_time: 3.3, end_time: 3.5
Word: Mądry, start_time: 3.5, end_time: 7.0
Word: i, start_time: 7.0, end_time: 7.0
Word: głupi, start_time: 7.0, end_time: 7.3
Word: nie, start_time: 7.3, end_time: 7.7
Word: nowina, start_time: 7.7, end_time: 10.1
Word: że, start_time: 10.1, end_time: 10.5
Word: głupi, start_time: 10.5, end_time: 11.3
Word: mądrego, start_time: 11.3, end_time: 12.2
Word: przegadał, start_time: 12.2, end_time: 12.4
Word: kontent, start_time: 12.4, end_time: 14.1
Word: więc, start_time: 14.1, end_time: 14.5
Word: iż, start_time: 14.5, end_time: 15.4
Word: uczony, start_time: 15.4, end_time: 15.9
Word: nic, start_time: 15.9, end_time: 16.7
Word: nie, start_time: 16.7, end_time: 17.0
Word: odpowiadał, start_time: 17.0, end_time: 17.8
Word: tym, start_time: 17.8, end_time: 18.3
Word: bardziej, start_time: 18.3, end_time: 18.8
Word: jeszcze, start_time: 18.8, end_time: 19.0
Word: krzyczeć, start_time: 19.0, end_time: 19.5
Word: przeraźliwie, start_time: 19.5, end_time: 20.4
Word: począł, start_time: 20.4, end_time: 20.9
Word: na, start_time: 20.9, end_time: 21.7
Word: koniec, start_time: 21.7, end_time: 22.1
Word: zmodowany, start_time: 22.1, end_time: 23.8
Word: gdy, start_time: 23.8, end_time: 24.7
Word: sobie, start_time: 24.7, end_time: 24.9
Word: odpoczął, start_time: 24.9, end_time: 25.5
Word: rzekł, start_time: 25.5, end_time: 26.6
Word: mądry, start_time: 26.6, end_time: 27.1
Word: żeby, start_time: 27.1, end_time: 27.8
Word: nie, start_time: 27.8, end_time: 28.2
Word: był, start_time: 28.2, end_time: 28.4
Word: w, start_time: 28.4, end_time: 28.5
Word: odpowiedzi, start_time: 28.5, end_time: 29.2
Word: dłużny, start_time: 29.2, end_time: 29.8
Word: wiesz, start_time: 29.8, end_time: 31.1
Word: dlaczego, start_time: 31.1, end_time: 31.4
Word: dzwoń, start_time: 31.4, end_time: 31.8
Word: głośny, start_time: 31.8, end_time: 32.4
Word: bo, start_time: 32.4, end_time: 33.1
Word: wewnątrz, start_time: 33.1, end_time: 34.3
Word: jest, start_time: 34.3, end_time: 35.6
Word: próżny, start_time: 35.6, end_time: 35.8
