Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści Dory
Confidence: 0.9338085651397705
Word: Ignacy, start_time: 0.0, end_time: 1.1
Word: Krasicki, start_time: 1.1, end_time: 1.6
Word: bajki, start_time: 1.6, end_time: 2.0
Word: i, start_time: 2.0, end_time: 3.7
Word: przypowieści, start_time: 3.7, end_time: 3.9
Word: Dory, start_time: 3.9, end_time: 7.1
Transcript:  póki trwała chapanka między karczowniki był finał Spencer Olą króle i wyniki skończyła się chapanka zaczęto gry inną aż Ewa Pancer Ola 6:00 tylko w inną tym smutniejszy był koniec i mniejsze początki biła króle Bił ją potem i dziewiątki
Confidence: 0.8834574818611145
Word: póki, start_time: 9.3, end_time: 10.0
Word: trwała, start_time: 10.0, end_time: 10.5
Word: chapanka, start_time: 10.5, end_time: 11.2
Word: między, start_time: 11.2, end_time: 12.4
Word: karczowniki, start_time: 12.4, end_time: 13.2
Word: był, start_time: 13.2, end_time: 14.3
Word: finał, start_time: 14.3, end_time: 15.0
Word: Spencer, start_time: 15.0, end_time: 15.8
Word: Olą, start_time: 15.8, end_time: 16.0
Word: króle, start_time: 16.0, end_time: 16.9
Word: i, start_time: 16.9, end_time: 17.1
Word: wyniki, start_time: 17.1, end_time: 18.2
Word: skończyła, start_time: 18.2, end_time: 19.7
Word: się, start_time: 19.7, end_time: 19.9
Word: chapanka, start_time: 19.9, end_time: 20.4
Word: zaczęto, start_time: 20.4, end_time: 21.7
Word: gry, start_time: 21.7, end_time: 22.0
Word: inną, start_time: 22.0, end_time: 22.8
Word: aż, start_time: 22.8, end_time: 23.8
Word: Ewa, start_time: 23.8, end_time: 24.2
Word: Pancer, start_time: 24.2, end_time: 24.7
Word: Ola, start_time: 24.7, end_time: 25.0
Word: 6:00, start_time: 25.0, end_time: 25.9
Word: tylko, start_time: 25.9, end_time: 26.7
Word: w, start_time: 26.7, end_time: 26.9
Word: inną, start_time: 26.9, end_time: 27.4
Word: tym, start_time: 27.4, end_time: 28.6
Word: smutniejszy, start_time: 28.6, end_time: 29.4
Word: był, start_time: 29.4, end_time: 29.7
Word: koniec, start_time: 29.7, end_time: 30.2
Word: i, start_time: 30.2, end_time: 30.5
Word: mniejsze, start_time: 30.5, end_time: 31.6
Word: początki, start_time: 31.6, end_time: 32.3
Word: biła, start_time: 32.3, end_time: 33.8
Word: króle, start_time: 33.8, end_time: 34.3
Word: Bił, start_time: 34.3, end_time: 35.4
Word: ją, start_time: 35.4, end_time: 35.6
Word: potem, start_time: 35.6, end_time: 36.1
Word: i, start_time: 36.1, end_time: 36.4
Word: dziewiątki, start_time: 36.4, end_time: 38.0
