Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści część pierwsza Mysz i kot mysz dlatego że niegdyś całą książkę zjadła rozumiała iż wszystkie rozumy posiadła rzekła więc towarzyszką nędzy waszą skrócę spuśćcie się tylko na mnie jako dana wrócę posłano więc po kota kot zawżdy gotowy nie uchybił minuty staną do rozmowy zaczęłam mysz egzorta kot jej pilnie słuchał wzdychał płakał ta widzę też się udobruchał jeszcze bardziej wpadała w kaznodziejski zapał wysunęła się z dziury a w tym ją kot złapał
Confidence: 0.9185896515846252
Word: Ignacy, start_time: 0.0, end_time: 1.0
Word: Krasicki, start_time: 1.0, end_time: 1.5
Word: bajki, start_time: 1.5, end_time: 1.8
Word: i, start_time: 1.8, end_time: 2.9
Word: przypowieści, start_time: 2.9, end_time: 3.1
Word: część, start_time: 3.1, end_time: 4.1
Word: pierwsza, start_time: 4.1, end_time: 4.6
Word: Mysz, start_time: 4.6, end_time: 6.4
Word: i, start_time: 6.4, end_time: 6.7
Word: kot, start_time: 6.7, end_time: 7.1
Word: mysz, start_time: 7.1, end_time: 10.6
Word: dlatego, start_time: 10.6, end_time: 11.6
Word: że, start_time: 11.6, end_time: 11.8
Word: niegdyś, start_time: 11.8, end_time: 12.0
Word: całą, start_time: 12.0, end_time: 12.5
Word: książkę, start_time: 12.5, end_time: 12.7
Word: zjadła, start_time: 12.7, end_time: 13.5
Word: rozumiała, start_time: 13.5, end_time: 14.8
Word: iż, start_time: 14.8, end_time: 15.0
Word: wszystkie, start_time: 15.0, end_time: 15.5
Word: rozumy, start_time: 15.5, end_time: 15.7
Word: posiadła, start_time: 15.7, end_time: 16.4
Word: rzekła, start_time: 16.4, end_time: 17.8
Word: więc, start_time: 17.8, end_time: 18.1
Word: towarzyszką, start_time: 18.1, end_time: 18.7
Word: nędzy, start_time: 18.7, end_time: 20.3
Word: waszą, start_time: 20.3, end_time: 20.6
Word: skrócę, start_time: 20.6, end_time: 21.2
Word: spuśćcie, start_time: 21.2, end_time: 22.3
Word: się, start_time: 22.3, end_time: 22.6
Word: tylko, start_time: 22.6, end_time: 22.9
Word: na, start_time: 22.9, end_time: 23.1
Word: mnie, start_time: 23.1, end_time: 23.3
Word: jako, start_time: 23.3, end_time: 24.4
Word: dana, start_time: 24.4, end_time: 24.7
Word: wrócę, start_time: 24.7, end_time: 25.0
Word: posłano, start_time: 25.0, end_time: 27.2
Word: więc, start_time: 27.2, end_time: 27.4
Word: po, start_time: 27.4, end_time: 27.6
Word: kota, start_time: 27.6, end_time: 27.9
Word: kot, start_time: 27.9, end_time: 29.2
Word: zawżdy, start_time: 29.2, end_time: 29.8
Word: gotowy, start_time: 29.8, end_time: 30.3
Word: nie, start_time: 30.3, end_time: 30.4
Word: uchybił, start_time: 30.4, end_time: 30.8
Word: minuty, start_time: 30.8, end_time: 31.3
Word: staną, start_time: 31.3, end_time: 31.6
Word: do, start_time: 31.6, end_time: 31.8
Word: rozmowy, start_time: 31.8, end_time: 32.2
Word: zaczęłam, start_time: 32.2, end_time: 34.0
Word: mysz, start_time: 34.0, end_time: 34.2
Word: egzorta, start_time: 34.2, end_time: 34.9
Word: kot, start_time: 34.9, end_time: 36.1
Word: jej, start_time: 36.1, end_time: 36.3
Word: pilnie, start_time: 36.3, end_time: 36.3
Word: słuchał, start_time: 36.3, end_time: 37.2
Word: wzdychał, start_time: 37.2, end_time: 38.5
Word: płakał, start_time: 38.5, end_time: 39.3
Word: ta, start_time: 39.3, end_time: 40.2
Word: widzę, start_time: 40.2, end_time: 40.4
Word: też, start_time: 40.4, end_time: 40.7
Word: się, start_time: 40.7, end_time: 40.8
Word: udobruchał, start_time: 40.8, end_time: 41.6
Word: jeszcze, start_time: 41.6, end_time: 42.2
Word: bardziej, start_time: 42.2, end_time: 42.6
Word: wpadała, start_time: 42.6, end_time: 43.0
Word: w, start_time: 43.0, end_time: 43.1
Word: kaznodziejski, start_time: 43.1, end_time: 43.7
Word: zapał, start_time: 43.7, end_time: 44.2
Word: wysunęła, start_time: 44.2, end_time: 44.8
Word: się, start_time: 44.8, end_time: 44.9
Word: z, start_time: 44.9, end_time: 45.0
Word: dziury, start_time: 45.0, end_time: 45.3
Word: a, start_time: 45.3, end_time: 45.4
Word: w, start_time: 45.4, end_time: 46.2
Word: tym, start_time: 46.2, end_time: 46.4
Word: ją, start_time: 46.4, end_time: 46.5
Word: kot, start_time: 46.5, end_time: 46.8
Word: złapał, start_time: 46.8, end_time: 47.3
