Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści nocni Stróże małe złego początki wzrastają z uporu zawżdy ludzi omamia Włochy punkt honoru miasto jedno w stawnej zostawało trwodze Jędrzej Piotr nocni Stróże zawsze mi się srodze więc rozruch w domach w karczmach na każdej ulicy Piotra wójt utrzymywał jędrzeja ławnicy za mężami szły żony za starszymi dzieci przeniósł się wreszcie rozruch od mieszczan do Kmiecin wojna zatem i oto przez lat kilkanaście Piotr krzyczał Gasić ogień Jędrzej ogień gaśnie
Confidence: 0.9363678097724915
Word: Ignacy, start_time: 0.0, end_time: 1.0
Word: Krasicki, start_time: 1.0, end_time: 1.4
Word: bajki, start_time: 1.4, end_time: 1.8
Word: i, start_time: 1.8, end_time: 3.0
Word: przypowieści, start_time: 3.0, end_time: 3.2
Word: nocni, start_time: 3.2, end_time: 5.9
Word: Stróże, start_time: 5.9, end_time: 6.4
Word: małe, start_time: 6.4, end_time: 8.9
Word: złego, start_time: 8.9, end_time: 9.8
Word: początki, start_time: 9.8, end_time: 10.1
Word: wzrastają, start_time: 10.1, end_time: 11.6
Word: z, start_time: 11.6, end_time: 11.9
Word: uporu, start_time: 11.9, end_time: 12.7
Word: zawżdy, start_time: 12.7, end_time: 14.1
Word: ludzi, start_time: 14.1, end_time: 14.7
Word: omamia, start_time: 14.7, end_time: 15.3
Word: Włochy, start_time: 15.3, end_time: 16.0
Word: punkt, start_time: 16.0, end_time: 16.5
Word: honoru, start_time: 16.5, end_time: 17.1
Word: miasto, start_time: 17.1, end_time: 18.3
Word: jedno, start_time: 18.3, end_time: 18.8
Word: w, start_time: 18.8, end_time: 19.1
Word: stawnej, start_time: 19.1, end_time: 19.7
Word: zostawało, start_time: 19.7, end_time: 20.3
Word: trwodze, start_time: 20.3, end_time: 20.8
Word: Jędrzej, start_time: 20.8, end_time: 22.2
Word: Piotr, start_time: 22.2, end_time: 22.9
Word: nocni, start_time: 22.9, end_time: 23.7
Word: Stróże, start_time: 23.7, end_time: 24.2
Word: zawsze, start_time: 24.2, end_time: 25.4
Word: mi, start_time: 25.4, end_time: 25.6
Word: się, start_time: 25.6, end_time: 25.7
Word: srodze, start_time: 25.7, end_time: 26.2
Word: więc, start_time: 26.2, end_time: 27.5
Word: rozruch, start_time: 27.5, end_time: 28.3
Word: w, start_time: 28.3, end_time: 28.4
Word: domach, start_time: 28.4, end_time: 28.9
Word: w, start_time: 28.9, end_time: 29.0
Word: karczmach, start_time: 29.0, end_time: 29.7
Word: na, start_time: 29.7, end_time: 30.4
Word: każdej, start_time: 30.4, end_time: 30.9
Word: ulicy, start_time: 30.9, end_time: 31.0
Word: Piotra, start_time: 31.0, end_time: 32.6
Word: wójt, start_time: 32.6, end_time: 33.2
Word: utrzymywał, start_time: 33.2, end_time: 34.2
Word: jędrzeja, start_time: 34.2, end_time: 35.3
Word: ławnicy, start_time: 35.3, end_time: 36.3
Word: za, start_time: 36.3, end_time: 37.4
Word: mężami, start_time: 37.4, end_time: 37.9
Word: szły, start_time: 37.9, end_time: 38.3
Word: żony, start_time: 38.3, end_time: 38.7
Word: za, start_time: 38.7, end_time: 39.4
Word: starszymi, start_time: 39.4, end_time: 40.1
Word: dzieci, start_time: 40.1, end_time: 40.8
Word: przeniósł, start_time: 40.8, end_time: 42.0
Word: się, start_time: 42.0, end_time: 42.2
Word: wreszcie, start_time: 42.2, end_time: 42.6
Word: rozruch, start_time: 42.6, end_time: 43.3
Word: od, start_time: 43.3, end_time: 43.9
Word: mieszczan, start_time: 43.9, end_time: 44.5
Word: do, start_time: 44.5, end_time: 44.7
Word: Kmiecin, start_time: 44.7, end_time: 45.4
Word: wojna, start_time: 45.4, end_time: 46.7
Word: zatem, start_time: 46.7, end_time: 47.1
Word: i, start_time: 47.1, end_time: 47.2
Word: oto, start_time: 47.2, end_time: 47.6
Word: przez, start_time: 47.6, end_time: 47.9
Word: lat, start_time: 47.9, end_time: 48.2
Word: kilkanaście, start_time: 48.2, end_time: 48.6
Word: Piotr, start_time: 48.6, end_time: 50.0
Word: krzyczał, start_time: 50.0, end_time: 50.5
Word: Gasić, start_time: 50.5, end_time: 51.3
Word: ogień, start_time: 51.3, end_time: 51.6
Word: Jędrzej, start_time: 51.6, end_time: 52.8
Word: ogień, start_time: 52.8, end_time: 53.9
Word: gaśnie, start_time: 53.9, end_time: 54.3
