Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści osioł i Wół osioł podczas upału Szukając ochłody spostrzegł iż pasterz bydła prowadził dowody zbudował się z takowej dobroci człowieka a gdy przyczyn postępku tego nie docieka rzekł mu w cudze przykład Niechaj cię nauczy siebie on nie nas kocha żeby zarżnął tuczy
Confidence: 0.9398608207702637
Word: Ignacy, start_time: 0.0, end_time: 1.3
Word: Krasicki, start_time: 1.3, end_time: 1.7000000000000002
Word: bajki, start_time: 1.7000000000000002, end_time: 2.1
Word: i, start_time: 2.1, end_time: 3.3
Word: przypowieści, start_time: 3.3, end_time: 3.5
Word: osioł, start_time: 3.5, end_time: 5.9
Word: i, start_time: 5.9, end_time: 6.0
Word: Wół, start_time: 6.0, end_time: 6.6
Word: osioł, start_time: 6.6, end_time: 9.5
Word: podczas, start_time: 9.5, end_time: 10.4
Word: upału, start_time: 10.4, end_time: 11.0
Word: Szukając, start_time: 11.0, end_time: 11.5
Word: ochłody, start_time: 11.5, end_time: 12.0
Word: spostrzegł, start_time: 12.0, end_time: 13.2
Word: iż, start_time: 13.2, end_time: 13.5
Word: pasterz, start_time: 13.5, end_time: 14.4
Word: bydła, start_time: 14.4, end_time: 15.4
Word: prowadził, start_time: 15.4, end_time: 16.2
Word: dowody, start_time: 16.2, end_time: 16.7
Word: zbudował, start_time: 16.7, end_time: 18.6
Word: się, start_time: 18.6, end_time: 18.9
Word: z, start_time: 18.9, end_time: 19.3
Word: takowej, start_time: 19.3, end_time: 19.7
Word: dobroci, start_time: 19.7, end_time: 21.0
Word: człowieka, start_time: 21.0, end_time: 21.6
Word: a, start_time: 21.6, end_time: 21.8
Word: gdy, start_time: 21.8, end_time: 22.4
Word: przyczyn, start_time: 22.4, end_time: 23.0
Word: postępku, start_time: 23.0, end_time: 23.7
Word: tego, start_time: 23.7, end_time: 24.0
Word: nie, start_time: 24.0, end_time: 24.2
Word: docieka, start_time: 24.2, end_time: 24.7
Word: rzekł, start_time: 24.7, end_time: 25.4
Word: mu, start_time: 25.4, end_time: 25.5
Word: w, start_time: 25.5, end_time: 25.9
Word: cudze, start_time: 25.9, end_time: 27.1
Word: przykład, start_time: 27.1, end_time: 27.9
Word: Niechaj, start_time: 27.9, end_time: 28.3
Word: cię, start_time: 28.3, end_time: 28.5
Word: nauczy, start_time: 28.5, end_time: 29.1
Word: siebie, start_time: 29.1, end_time: 30.5
Word: on, start_time: 30.5, end_time: 30.9
Word: nie, start_time: 30.9, end_time: 31.6
Word: nas, start_time: 31.6, end_time: 32.1
Word: kocha, start_time: 32.1, end_time: 32.9
Word: żeby, start_time: 32.9, end_time: 34.1
Word: zarżnął, start_time: 34.1, end_time: 34.7
Word: tuczy, start_time: 34.7, end_time: 36.1
