Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.0, end_time: 1.0
Word: Krasicki, start_time: 1.0, end_time: 1.9
Word: bajki, start_time: 1.9, end_time: 2.3
Word: i, start_time: 2.3, end_time: 3.6
Word: przypowieści, start_time: 3.6, end_time: 3.8
Transcript:  prawda satyryk i panegirysta
Confidence: 0.9662986993789673
Word: prawda, start_time: 6.0, end_time: 6.6
Word: satyryk, start_time: 6.6, end_time: 7.7
Word: i, start_time: 7.7, end_time: 7.8
Word: panegirysta, start_time: 7.8, end_time: 9.5
Transcript:  rzadko kłamca swojego Rzemiosła korzysta zeszli prawdę satyryk i panegirysta chcieli od niej nagrody za podjętą pracy jakieś cię zasłużyli rzekła tak zapłacę w tym radośnie od prawdy wzięli w podarunku każdy pełne naczynie przy prawnego trunku Jaki był skosztował wszy poznali po szkodzie Pierwszy znalazł truciznę w żółci drugi w miodzie
Confidence: 0.9291199445724487
Word: rzadko, start_time: 12.5, end_time: 13.2
Word: kłamca, start_time: 13.2, end_time: 13.7
Word: swojego, start_time: 13.7, end_time: 14.8
Word: Rzemiosła, start_time: 14.8, end_time: 15.4
Word: korzysta, start_time: 15.4, end_time: 16.0
Word: zeszli, start_time: 16.0, end_time: 17.5
Word: prawdę, start_time: 17.5, end_time: 18.3
Word: satyryk, start_time: 18.3, end_time: 19.1
Word: i, start_time: 19.1, end_time: 19.3
Word: panegirysta, start_time: 19.3, end_time: 20.8
Word: chcieli, start_time: 20.8, end_time: 22.4
Word: od, start_time: 22.4, end_time: 22.7
Word: niej, start_time: 22.7, end_time: 22.9
Word: nagrody, start_time: 22.9, end_time: 23.9
Word: za, start_time: 23.9, end_time: 24.1
Word: podjętą, start_time: 24.1, end_time: 24.7
Word: pracy, start_time: 24.7, end_time: 25.2
Word: jakieś, start_time: 25.2, end_time: 27.0
Word: cię, start_time: 27.0, end_time: 27.3
Word: zasłużyli, start_time: 27.3, end_time: 28.5
Word: rzekła, start_time: 28.5, end_time: 29.2
Word: tak, start_time: 29.2, end_time: 29.9
Word: zapłacę, start_time: 29.9, end_time: 30.8
Word: w, start_time: 30.8, end_time: 30.9
Word: tym, start_time: 30.9, end_time: 32.3
Word: radośnie, start_time: 32.3, end_time: 33.2
Word: od, start_time: 33.2, end_time: 33.4
Word: prawdy, start_time: 33.4, end_time: 33.8
Word: wzięli, start_time: 33.8, end_time: 34.7
Word: w, start_time: 34.7, end_time: 34.8
Word: podarunku, start_time: 34.8, end_time: 35.4
Word: każdy, start_time: 35.4, end_time: 35.9
Word: pełne, start_time: 35.9, end_time: 36.3
Word: naczynie, start_time: 36.3, end_time: 36.8
Word: przy, start_time: 36.8, end_time: 37.3
Word: prawnego, start_time: 37.3, end_time: 37.8
Word: trunku, start_time: 37.8, end_time: 38.5
Word: Jaki, start_time: 38.5, end_time: 39.6
Word: był, start_time: 39.6, end_time: 39.8
Word: skosztował, start_time: 39.8, end_time: 40.8
Word: wszy, start_time: 40.8, end_time: 41.1
Word: poznali, start_time: 41.1, end_time: 41.9
Word: po, start_time: 41.9, end_time: 42.1
Word: szkodzie, start_time: 42.1, end_time: 42.4
Word: Pierwszy, start_time: 42.4, end_time: 44.0
Word: znalazł, start_time: 44.0, end_time: 44.7
Word: truciznę, start_time: 44.7, end_time: 45.5
Word: w, start_time: 45.5, end_time: 45.7
Word: żółci, start_time: 45.7, end_time: 46.4
Word: drugi, start_time: 46.4, end_time: 47.5
Word: w, start_time: 47.5, end_time: 47.7
Word: miodzie, start_time: 47.7, end_time: 48.9
