Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.0, end_time: 1.0
Word: Krasicki, start_time: 1.0, end_time: 1.5
Word: bajki, start_time: 1.5, end_time: 1.9
Word: i, start_time: 1.9, end_time: 2.9
Word: przypowieści, start_time: 2.9, end_time: 3.1
Transcript:  pszczoły i mrówki
Confidence: 0.9785358309745789
Word: pszczoły, start_time: 5.0, end_time: 5.8
Word: i, start_time: 5.8, end_time: 5.8
Word: mrówki, start_time: 5.8, end_time: 6.0
Transcript:  w sąsiedztwie bliskim były 2 Rzeczpospolita pszczoły w ulach w mrowisku Mrówki pracowite
Confidence: 0.8940963745117188
Word: w, start_time: 8.4, end_time: 8.5
Word: sąsiedztwie, start_time: 8.5, end_time: 9.5
Word: bliskim, start_time: 9.5, end_time: 10.5
Word: były, start_time: 10.5, end_time: 11.5
Word: 2, start_time: 11.5, end_time: 11.8
Word: Rzeczpospolita, start_time: 11.8, end_time: 13.4
Word: pszczoły, start_time: 13.4, end_time: 15.2
Word: w, start_time: 15.2, end_time: 15.3
Word: ulach, start_time: 15.3, end_time: 15.7
Word: w, start_time: 15.7, end_time: 16.0
Word: mrowisku, start_time: 16.0, end_time: 17.1
Word: Mrówki, start_time: 17.1, end_time: 17.5
Word: pracowite, start_time: 17.5, end_time: 18.5
Transcript:  a że przyjaźń Sąsiedzka dumy nie umniejsza często Były dysputy która z nich żołnierza przyszły czasy jesienne aż na pszczoły Strachy poderżnął skrzętny Bartnik wykształcone gmachy Po wypędzeniu mieszkańców w uprzątnąć spiżarnie poznały wtenczas pszczoły że zbierały marnie a mrówki widząc smutne ich zbiorów ostatki rzekły lepsze jest wierność niszczy zbyt niedostatki
Confidence: 0.921040415763855
Word: a, start_time: 20.3, end_time: 20.4
Word: że, start_time: 20.4, end_time: 20.8
Word: przyjaźń, start_time: 20.8, end_time: 21.4
Word: Sąsiedzka, start_time: 21.4, end_time: 22.3
Word: dumy, start_time: 22.3, end_time: 23.5
Word: nie, start_time: 23.5, end_time: 23.8
Word: umniejsza, start_time: 23.8, end_time: 24.6
Word: często, start_time: 24.6, end_time: 25.5
Word: Były, start_time: 25.5, end_time: 25.7
Word: dysputy, start_time: 25.7, end_time: 26.4
Word: która, start_time: 26.4, end_time: 27.2
Word: z, start_time: 27.2, end_time: 27.3
Word: nich, start_time: 27.3, end_time: 27.7
Word: żołnierza, start_time: 27.7, end_time: 29.1
Word: przyszły, start_time: 29.1, end_time: 31.2
Word: czasy, start_time: 31.2, end_time: 31.8
Word: jesienne, start_time: 31.8, end_time: 32.4
Word: aż, start_time: 32.4, end_time: 33.5
Word: na, start_time: 33.5, end_time: 33.8
Word: pszczoły, start_time: 33.8, end_time: 34.3
Word: Strachy, start_time: 34.3, end_time: 34.9
Word: poderżnął, start_time: 34.9, end_time: 36.1
Word: skrzętny, start_time: 36.1, end_time: 36.9
Word: Bartnik, start_time: 36.9, end_time: 37.5
Word: wykształcone, start_time: 37.5, end_time: 38.3
Word: gmachy, start_time: 38.3, end_time: 38.8
Word: Po, start_time: 38.8, end_time: 39.3
Word: wypędzeniu, start_time: 39.3, end_time: 39.6
Word: mieszkańców, start_time: 39.6, end_time: 40.6
Word: w, start_time: 40.6, end_time: 40.8
Word: uprzątnąć, start_time: 40.8, end_time: 42.1
Word: spiżarnie, start_time: 42.1, end_time: 42.9
Word: poznały, start_time: 42.9, end_time: 44.8
Word: wtenczas, start_time: 44.8, end_time: 45.3
Word: pszczoły, start_time: 45.3, end_time: 46.1
Word: że, start_time: 46.1, end_time: 46.9
Word: zbierały, start_time: 46.9, end_time: 47.5
Word: marnie, start_time: 47.5, end_time: 48.7
Word: a, start_time: 48.7, end_time: 48.9
Word: mrówki, start_time: 48.9, end_time: 51.1
Word: widząc, start_time: 51.1, end_time: 52.3
Word: smutne, start_time: 52.3, end_time: 53.0
Word: ich, start_time: 53.0, end_time: 53.3
Word: zbiorów, start_time: 53.3, end_time: 53.9
Word: ostatki, start_time: 53.9, end_time: 54.5
Word: rzekły, start_time: 54.5, end_time: 55.3
Word: lepsze, start_time: 55.3, end_time: 56.4
Word: jest, start_time: 56.4, end_time: 56.7
Word: wierność, start_time: 56.7, end_time: 57.4
Word: niszczy, start_time: 57.4, end_time: 58.8
Word: zbyt, start_time: 58.8, end_time: 59.2
Word: niedostatki, start_time: 59.2, end_time: 60.1
