Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści Ptaszki w klatce
Confidence: 0.9785357713699341
Word: Ignacy, start_time: 0.0, end_time: 1.1
Word: Krasicki, start_time: 1.1, end_time: 1.6
Word: bajki, start_time: 1.6, end_time: 1.9
Word: i, start_time: 1.9, end_time: 3.6
Word: przypowieści, start_time: 3.6, end_time: 4.0
Word: Ptaszki, start_time: 4.0, end_time: 6.7
Word: w, start_time: 6.7, end_time: 6.9
Word: klatce, start_time: 6.9, end_time: 7.1
Transcript:  Czegóż płaczesz staremu mówił czyżyk młody masz teraz lepsze w klatce niż w polu wygody
Confidence: 0.9785357117652893
Word: Czegóż, start_time: 8.8, end_time: 9.9
Word: płaczesz, start_time: 9.9, end_time: 10.1
Word: staremu, start_time: 10.1, end_time: 11.4
Word: mówił, start_time: 11.4, end_time: 12.1
Word: czyżyk, start_time: 12.1, end_time: 12.2
Word: młody, start_time: 12.2, end_time: 12.7
Word: masz, start_time: 12.7, end_time: 13.8
Word: teraz, start_time: 13.8, end_time: 14.1
Word: lepsze, start_time: 14.1, end_time: 14.4
Word: w, start_time: 14.4, end_time: 14.8
Word: klatce, start_time: 14.8, end_time: 15.4
Word: niż, start_time: 15.4, end_time: 16.3
Word: w, start_time: 16.3, end_time: 16.5
Word: polu, start_time: 16.5, end_time: 17.0
Word: wygody, start_time: 17.0, end_time: 17.7
Transcript:  tyś w niej Zrodzony rzekł stary przeto ci wybaczę Jam był wolny dziś w klatce i dlatego płacze
Confidence: 0.8923069834709167
Word: tyś, start_time: 19.2, end_time: 19.8
Word: w, start_time: 19.8, end_time: 20.0
Word: niej, start_time: 20.0, end_time: 20.3
Word: Zrodzony, start_time: 20.3, end_time: 21.1
Word: rzekł, start_time: 21.1, end_time: 22.1
Word: stary, start_time: 22.1, end_time: 22.7
Word: przeto, start_time: 22.7, end_time: 24.1
Word: ci, start_time: 24.1, end_time: 24.3
Word: wybaczę, start_time: 24.3, end_time: 25.7
Word: Jam, start_time: 25.7, end_time: 27.4
Word: był, start_time: 27.4, end_time: 27.6
Word: wolny, start_time: 27.6, end_time: 28.4
Word: dziś, start_time: 28.4, end_time: 29.7
Word: w, start_time: 29.7, end_time: 29.9
Word: klatce, start_time: 29.9, end_time: 30.3
Word: i, start_time: 30.3, end_time: 30.6
Word: dlatego, start_time: 30.6, end_time: 32.0
Word: płacze, start_time: 32.0, end_time: 32.9
