Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.0, end_time: 0.9
Word: Krasicki, start_time: 0.9, end_time: 1.3
Word: bajki, start_time: 1.3, end_time: 1.6
Word: i, start_time: 1.6, end_time: 3.2
Word: przypowieści, start_time: 3.2, end_time: 3.3
Transcript:  rolnik
Confidence: 0.9785358309745789
Word: rolnik, start_time: 6.0, end_time: 6.9
Transcript:  gospodarz w dwójnasób chcący schować z roli dobry grunt raz i drugi uprawiał do woli a chcąc nadto zeskanować sam sobie zaszkodził zamiast zboża zszedł Konkol i chwast się urodził
Confidence: 0.8977066874504089
Word: gospodarz, start_time: 9.7, end_time: 10.6
Word: w, start_time: 10.6, end_time: 10.8
Word: dwójnasób, start_time: 10.8, end_time: 11.8
Word: chcący, start_time: 11.8, end_time: 12.9
Word: schować, start_time: 12.9, end_time: 13.5
Word: z, start_time: 13.5, end_time: 13.6
Word: roli, start_time: 13.6, end_time: 14.0
Word: dobry, start_time: 14.0, end_time: 15.0
Word: grunt, start_time: 15.0, end_time: 15.2
Word: raz, start_time: 15.2, end_time: 15.7
Word: i, start_time: 15.7, end_time: 16.0
Word: drugi, start_time: 16.0, end_time: 16.3
Word: uprawiał, start_time: 16.3, end_time: 17.3
Word: do, start_time: 17.3, end_time: 17.5
Word: woli, start_time: 17.5, end_time: 17.9
Word: a, start_time: 17.9, end_time: 18.1
Word: chcąc, start_time: 18.1, end_time: 19.5
Word: nadto, start_time: 19.5, end_time: 20.5
Word: zeskanować, start_time: 20.5, end_time: 21.2
Word: sam, start_time: 21.2, end_time: 21.9
Word: sobie, start_time: 21.9, end_time: 22.3
Word: zaszkodził, start_time: 22.3, end_time: 22.9
Word: zamiast, start_time: 22.9, end_time: 24.3
Word: zboża, start_time: 24.3, end_time: 24.9
Word: zszedł, start_time: 24.9, end_time: 25.8
Word: Konkol, start_time: 25.8, end_time: 26.8
Word: i, start_time: 26.8, end_time: 27.0
Word: chwast, start_time: 27.0, end_time: 28.1
Word: się, start_time: 28.1, end_time: 28.3
Word: urodził, start_time: 28.3, end_time: 28.9
