Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.1, end_time: 1.0
Word: Krasicki, start_time: 1.0, end_time: 1.4
Word: bajki, start_time: 1.4, end_time: 1.8
Word: i, start_time: 1.8, end_time: 2.9
Word: przypowieści, start_time: 2.9, end_time: 3.1
Transcript:  słoń i pszczoła niechaj się nigdy słaby na mocnych nie dąsa zaufana tym pszczoła że dotkliwie komsa Widząc ich słoń ogromny na łące się pasie a na nią nie uważa choć przybliżyła się chciała go za to starać gdy.com zaczęła coś się stało słoń nie czuł a pszczoła zginęła
Confidence: 0.924060583114624
Word: słoń, start_time: 5.1, end_time: 5.7
Word: i, start_time: 5.7, end_time: 5.8
Word: pszczoła, start_time: 5.8, end_time: 6.2
Word: niechaj, start_time: 6.2, end_time: 9.1
Word: się, start_time: 9.1, end_time: 9.2
Word: nigdy, start_time: 9.2, end_time: 9.6
Word: słaby, start_time: 9.6, end_time: 10.0
Word: na, start_time: 10.0, end_time: 10.2
Word: mocnych, start_time: 10.2, end_time: 10.7
Word: nie, start_time: 10.7, end_time: 10.8
Word: dąsa, start_time: 10.8, end_time: 11.3
Word: zaufana, start_time: 11.3, end_time: 13.3
Word: tym, start_time: 13.3, end_time: 13.9
Word: pszczoła, start_time: 13.9, end_time: 14.6
Word: że, start_time: 14.6, end_time: 14.7
Word: dotkliwie, start_time: 14.7, end_time: 15.3
Word: komsa, start_time: 15.3, end_time: 15.9
Word: Widząc, start_time: 15.9, end_time: 17.1
Word: ich, start_time: 17.1, end_time: 17.1
Word: słoń, start_time: 17.1, end_time: 17.8
Word: ogromny, start_time: 17.8, end_time: 18.5
Word: na, start_time: 18.5, end_time: 19.5
Word: łące, start_time: 19.5, end_time: 20.0
Word: się, start_time: 20.0, end_time: 20.1
Word: pasie, start_time: 20.1, end_time: 20.5
Word: a, start_time: 20.5, end_time: 20.7
Word: na, start_time: 20.7, end_time: 21.8
Word: nią, start_time: 21.8, end_time: 21.9
Word: nie, start_time: 21.9, end_time: 22.2
Word: uważa, start_time: 22.2, end_time: 22.9
Word: choć, start_time: 22.9, end_time: 23.5
Word: przybliżyła, start_time: 23.5, end_time: 24.4
Word: się, start_time: 24.4, end_time: 24.7
Word: chciała, start_time: 24.7, end_time: 26.3
Word: go, start_time: 26.3, end_time: 26.5
Word: za, start_time: 26.5, end_time: 26.6
Word: to, start_time: 26.6, end_time: 26.7
Word: starać, start_time: 26.7, end_time: 27.2
Word: gdy.com, start_time: 27.2, end_time: 28.6
Word: zaczęła, start_time: 28.6, end_time: 29.5
Word: coś, start_time: 29.5, end_time: 30.3
Word: się, start_time: 30.3, end_time: 30.4
Word: stało, start_time: 30.4, end_time: 30.8
Word: słoń, start_time: 30.8, end_time: 32.0
Word: nie, start_time: 32.0, end_time: 32.2
Word: czuł, start_time: 32.2, end_time: 32.5
Word: a, start_time: 32.5, end_time: 32.6
Word: pszczoła, start_time: 32.6, end_time: 34.1
Word: zginęła, start_time: 34.1, end_time: 34.6
