Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści syn i ojciec każdy wiek ma goryczy ma swoje Przywary syn się męczył nad książką stękał ojciec stary ten nie miał odpoczynku a tamten swobody płakał ojciec że stary płakał syn że młody
Confidence: 0.9775710701942444
Word: Ignacy, start_time: 0.0, end_time: 0.9
Word: Krasicki, start_time: 0.9, end_time: 1.2
Word: bajki, start_time: 1.2, end_time: 1.6
Word: i, start_time: 1.6, end_time: 2.8
Word: przypowieści, start_time: 2.8, end_time: 3.0
Word: syn, start_time: 3.0, end_time: 5.2
Word: i, start_time: 5.2, end_time: 5.4
Word: ojciec, start_time: 5.4, end_time: 6.1
Word: każdy, start_time: 6.1, end_time: 9.2
Word: wiek, start_time: 9.2, end_time: 9.6
Word: ma, start_time: 9.6, end_time: 9.7
Word: goryczy, start_time: 9.7, end_time: 10.9
Word: ma, start_time: 10.9, end_time: 11.8
Word: swoje, start_time: 11.8, end_time: 12.3
Word: Przywary, start_time: 12.3, end_time: 12.9
Word: syn, start_time: 12.9, end_time: 14.5
Word: się, start_time: 14.5, end_time: 14.7
Word: męczył, start_time: 14.7, end_time: 15.2
Word: nad, start_time: 15.2, end_time: 15.5
Word: książką, start_time: 15.5, end_time: 16.1
Word: stękał, start_time: 16.1, end_time: 17.6
Word: ojciec, start_time: 17.6, end_time: 18.0
Word: stary, start_time: 18.0, end_time: 18.5
Word: ten, start_time: 18.5, end_time: 19.8
Word: nie, start_time: 19.8, end_time: 20.5
Word: miał, start_time: 20.5, end_time: 20.7
Word: odpoczynku, start_time: 20.7, end_time: 21.5
Word: a, start_time: 21.5, end_time: 21.7
Word: tamten, start_time: 21.7, end_time: 22.7
Word: swobody, start_time: 22.7, end_time: 23.4
Word: płakał, start_time: 23.4, end_time: 24.8
Word: ojciec, start_time: 24.8, end_time: 25.0
Word: że, start_time: 25.0, end_time: 25.9
Word: stary, start_time: 25.9, end_time: 26.4
Word: płakał, start_time: 26.4, end_time: 27.4
Word: syn, start_time: 27.4, end_time: 27.7
Word: że, start_time: 27.7, end_time: 28.6
Word: młody, start_time: 28.6, end_time: 29.0
