Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści Szkapa i rumak
Confidence: 0.9211536049842834
Word: Ignacy, start_time: 0.0, end_time: 0.7000000000000001
Word: Krasicki, start_time: 0.7000000000000001, end_time: 1.3
Word: bajki, start_time: 1.3, end_time: 1.6
Word: i, start_time: 1.6, end_time: 3.0
Word: przypowieści, start_time: 3.0, end_time: 3.1
Word: Szkapa, start_time: 3.1, end_time: 5.7
Word: i, start_time: 5.7, end_time: 5.8
Word: rumak, start_time: 5.8, end_time: 6.3
Transcript:  pogardzam Rumak z klapą która co dzień rano woziła mu do stajni i Obroki siano rzekła mówiąc gdyby mną obrok nie wożono skromniejszy byłbyś pewnie nie brykał byś Pono
Confidence: 0.8620050549507141
Word: pogardzam, start_time: 8.6, end_time: 9.6
Word: Rumak, start_time: 9.6, end_time: 10.2
Word: z, start_time: 10.2, end_time: 10.3
Word: klapą, start_time: 10.3, end_time: 10.6
Word: która, start_time: 10.6, end_time: 11.5
Word: co, start_time: 11.5, end_time: 11.6
Word: dzień, start_time: 11.6, end_time: 11.9
Word: rano, start_time: 11.9, end_time: 12.1
Word: woziła, start_time: 12.1, end_time: 12.9
Word: mu, start_time: 12.9, end_time: 13.0
Word: do, start_time: 13.0, end_time: 13.2
Word: stajni, start_time: 13.2, end_time: 13.6
Word: i, start_time: 13.6, end_time: 13.8
Word: Obroki, start_time: 13.8, end_time: 14.4
Word: siano, start_time: 14.4, end_time: 15.4
Word: rzekła, start_time: 15.4, end_time: 17.0
Word: mówiąc, start_time: 17.0, end_time: 17.6
Word: gdyby, start_time: 17.6, end_time: 18.8
Word: mną, start_time: 18.8, end_time: 19.3
Word: obrok, start_time: 19.3, end_time: 20.0
Word: nie, start_time: 20.0, end_time: 20.3
Word: wożono, start_time: 20.3, end_time: 20.9
Word: skromniejszy, start_time: 20.9, end_time: 22.5
Word: byłbyś, start_time: 22.5, end_time: 22.9
Word: pewnie, start_time: 22.9, end_time: 23.5
Word: nie, start_time: 23.5, end_time: 24.5
Word: brykał, start_time: 24.5, end_time: 25.0
Word: byś, start_time: 25.0, end_time: 25.2
Word: Pono, start_time: 25.2, end_time: 25.7
