Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści
Confidence: 0.9785358309745789
Word: Ignacy, start_time: 0.0, end_time: 1.8
Word: Krasicki, start_time: 1.8, end_time: 2.3
Word: bajki, start_time: 2.3, end_time: 2.7
Word: i, start_time: 2.7, end_time: 4.1
Word: przypowieści, start_time: 4.1, end_time: 4.2
Transcript:  wino i woda
Confidence: 0.9785358309745789
Word: wino, start_time: 6.4, end_time: 7.1
Word: i, start_time: 7.1, end_time: 7.2
Word: woda, start_time: 7.2, end_time: 7.6
Transcript:  przemawiało jednego czasu wino w wodzie Ja panom a ty chłopom jesteś ku Wygodzie nie piwo być państwo że woda skromnie gdyby nie chłop downa cię co chodzi pić do mnie
Confidence: 0.9179444313049316
Word: przemawiało, start_time: 10.4, end_time: 11.3
Word: jednego, start_time: 11.3, end_time: 11.9
Word: czasu, start_time: 11.9, end_time: 12.4
Word: wino, start_time: 12.4, end_time: 13.3
Word: w, start_time: 13.3, end_time: 13.5
Word: wodzie, start_time: 13.5, end_time: 13.8
Word: Ja, start_time: 13.8, end_time: 15.1
Word: panom, start_time: 15.1, end_time: 16.5
Word: a, start_time: 16.5, end_time: 16.8
Word: ty, start_time: 16.8, end_time: 17.4
Word: chłopom, start_time: 17.4, end_time: 18.0
Word: jesteś, start_time: 18.0, end_time: 18.9
Word: ku, start_time: 18.9, end_time: 19.1
Word: Wygodzie, start_time: 19.1, end_time: 19.3
Word: nie, start_time: 19.3, end_time: 21.3
Word: piwo, start_time: 21.3, end_time: 21.8
Word: być, start_time: 21.8, end_time: 22.1
Word: państwo, start_time: 22.1, end_time: 23.1
Word: że, start_time: 23.1, end_time: 23.8
Word: woda, start_time: 23.8, end_time: 24.0
Word: skromnie, start_time: 24.0, end_time: 24.8
Word: gdyby, start_time: 24.8, end_time: 25.6
Word: nie, start_time: 25.6, end_time: 25.7
Word: chłop, start_time: 25.7, end_time: 26.2
Word: downa, start_time: 26.2, end_time: 26.7
Word: cię, start_time: 26.7, end_time: 27.0
Word: co, start_time: 27.0, end_time: 27.6
Word: chodzi, start_time: 27.6, end_time: 28.1
Word: pić, start_time: 28.1, end_time: 28.7
Word: do, start_time: 28.7, end_time: 28.9
Word: mnie, start_time: 28.9, end_time: 29.2
