Waiting for operation to complete...
Transcript: Ignacy Krasicki bajki i przypowieści zwierzęta i niedźwiedź
Confidence: 0.9783617258071899
Word: Ignacy, start_time: 0.0, end_time: 0.9
Word: Krasicki, start_time: 0.9, end_time: 1.3
Word: bajki, start_time: 1.3, end_time: 1.7000000000000002
Word: i, start_time: 1.7000000000000002, end_time: 3.2
Word: przypowieści, start_time: 3.2, end_time: 3.4
Word: zwierzęta, start_time: 3.4, end_time: 6.6
Word: i, start_time: 6.6, end_time: 6.9
Word: niedźwiedź, start_time: 6.9, end_time: 8.0
Transcript:  Pod Lwem starym ustawą prowadziły wojnę młodej że panowanie obiecał spokojne cieszyły się zwierzęta niedźwiedź cicho siedział z pytany czego milczy wręcz odpowiedział zatrzymajmy się jeszcze tą wieścią radosną aż młodemu Lewkowicz pazury urosną
Confidence: 0.9144493937492371
Word: Pod, start_time: 10.2, end_time: 10.7
Word: Lwem, start_time: 10.7, end_time: 11.0
Word: starym, start_time: 11.0, end_time: 11.9
Word: ustawą, start_time: 11.9, end_time: 13.5
Word: prowadziły, start_time: 13.5, end_time: 14.6
Word: wojnę, start_time: 14.6, end_time: 15.0
Word: młodej, start_time: 15.0, end_time: 16.8
Word: że, start_time: 16.8, end_time: 16.9
Word: panowanie, start_time: 16.9, end_time: 17.6
Word: obiecał, start_time: 17.6, end_time: 18.1
Word: spokojne, start_time: 18.1, end_time: 18.7
Word: cieszyły, start_time: 18.7, end_time: 19.9
Word: się, start_time: 19.9, end_time: 19.9
Word: zwierzęta, start_time: 19.9, end_time: 20.8
Word: niedźwiedź, start_time: 20.8, end_time: 22.5
Word: cicho, start_time: 22.5, end_time: 22.7
Word: siedział, start_time: 22.7, end_time: 23.6
Word: z, start_time: 23.6, end_time: 23.8
Word: pytany, start_time: 23.8, end_time: 24.7
Word: czego, start_time: 24.7, end_time: 25.0
Word: milczy, start_time: 25.0, end_time: 25.4
Word: wręcz, start_time: 25.4, end_time: 26.4
Word: odpowiedział, start_time: 26.4, end_time: 27.4
Word: zatrzymajmy, start_time: 27.4, end_time: 29.2
Word: się, start_time: 29.2, end_time: 29.4
Word: jeszcze, start_time: 29.4, end_time: 30.0
Word: tą, start_time: 30.0, end_time: 30.2
Word: wieścią, start_time: 30.2, end_time: 30.5
Word: radosną, start_time: 30.5, end_time: 31.4
Word: aż, start_time: 31.4, end_time: 32.5
Word: młodemu, start_time: 32.5, end_time: 33.2
Word: Lewkowicz, start_time: 33.2, end_time: 34.3
Word: pazury, start_time: 34.3, end_time: 35.4
Word: urosną, start_time: 35.4, end_time: 36.1
