Waiting for operation to complete...
Transcript: Jakub i Wilhelm Grimm mali czarodzieje tłumaczenie Bolesław londyński więc szewc nie z własnej winy także uważam że nic mu już nie zostało jak tylko trochę skóry na jedną parę trzewików Razu pewnego wieczorem przegrają skórę i chciał Nazajutrz z rana wziąć się do roboty a że miał czyste sumienie położył się przeto spokojnie do łóżka Bogusię polecił i zasnął z rana z mówi przy pacierz chciał zacząć robotę patrzy a tu na stole oba trzewiki stoją zupełnie wykończony Zdziwił się i nie wiedział co ma o tym sądzić wziął trzewiki do rąk Żeby jest bliska obejrzeć były wykonane tak porządnie i żaden z cieknie był błędny było to po prostu arcydzieło kunsztu Szewskiego wkrótce potem znalazł się amator a ponieważ trzewiki bardzo mu się spodobały zapłacił przeto więcej niż zwykle a szewc mógł za te pieniądze kup
Confidence: 0.9763725399971008
Word: Jakub, start_time: 0.0, end_time: 1.2
Word: i, start_time: 1.2, end_time: 1.4
Word: Wilhelm, start_time: 1.4, end_time: 1.7000000000000002
Word: Grimm, start_time: 1.7000000000000002, end_time: 2.2
Word: mali, start_time: 2.2, end_time: 3.9
Word: czarodzieje, start_time: 3.9, end_time: 4.1
Word: tłumaczenie, start_time: 4.1, end_time: 5.9
Word: Bolesław, start_time: 5.9, end_time: 6.4
Word: londyński, start_time: 6.4, end_time: 6.5
Word: więc, start_time: 6.5, end_time: 8.5
Word: szewc, start_time: 8.5, end_time: 8.9
Word: nie, start_time: 8.9, end_time: 9.5
Word: z, start_time: 9.5, end_time: 9.6
Word: własnej, start_time: 9.6, end_time: 9.8
Word: winy, start_time: 9.8, end_time: 10.2
Word: także, start_time: 10.2, end_time: 10.8
Word: uważam, start_time: 10.8, end_time: 11.3
Word: że, start_time: 11.3, end_time: 11.9
Word: nic, start_time: 11.9, end_time: 12.1
Word: mu, start_time: 12.1, end_time: 12.3
Word: już, start_time: 12.3, end_time: 12.4
Word: nie, start_time: 12.4, end_time: 12.5
Word: zostało, start_time: 12.5, end_time: 12.9
Word: jak, start_time: 12.9, end_time: 13.5
Word: tylko, start_time: 13.5, end_time: 13.7
Word: trochę, start_time: 13.7, end_time: 13.9
Word: skóry, start_time: 13.9, end_time: 14.5
Word: na, start_time: 14.5, end_time: 14.7
Word: jedną, start_time: 14.7, end_time: 15.0
Word: parę, start_time: 15.0, end_time: 15.3
Word: trzewików, start_time: 15.3, end_time: 15.8
Word: Razu, start_time: 15.8, end_time: 16.9
Word: pewnego, start_time: 16.9, end_time: 17.1
Word: wieczorem, start_time: 17.1, end_time: 18.1
Word: przegrają, start_time: 18.1, end_time: 18.9
Word: skórę, start_time: 18.9, end_time: 19.4
Word: i, start_time: 19.4, end_time: 19.5
Word: chciał, start_time: 19.5, end_time: 20.2
Word: Nazajutrz, start_time: 20.2, end_time: 20.6
Word: z, start_time: 20.6, end_time: 21.0
Word: rana, start_time: 21.0, end_time: 21.5
Word: wziąć, start_time: 21.5, end_time: 21.9
Word: się, start_time: 21.9, end_time: 22.0
Word: do, start_time: 22.0, end_time: 22.2
Word: roboty, start_time: 22.2, end_time: 22.2
Word: a, start_time: 22.2, end_time: 22.7
Word: że, start_time: 22.7, end_time: 23.0
Word: miał, start_time: 23.0, end_time: 23.2
Word: czyste, start_time: 23.2, end_time: 23.4
Word: sumienie, start_time: 23.4, end_time: 23.7
Word: położył, start_time: 23.7, end_time: 24.6
Word: się, start_time: 24.6, end_time: 24.7
Word: przeto, start_time: 24.7, end_time: 24.9
Word: spokojnie, start_time: 24.9, end_time: 25.5
Word: do, start_time: 25.5, end_time: 25.6
Word: łóżka, start_time: 25.6, end_time: 25.9
Word: Bogusię, start_time: 25.9, end_time: 26.6
Word: polecił, start_time: 26.6, end_time: 27.1
Word: i, start_time: 27.1, end_time: 27.2
Word: zasnął, start_time: 27.2, end_time: 28.0
Word: z, start_time: 28.0, end_time: 28.0
Word: rana, start_time: 28.0, end_time: 29.0
Word: z, start_time: 29.0, end_time: 29.1
Word: mówi, start_time: 29.1, end_time: 29.6
Word: przy, start_time: 29.6, end_time: 29.8
Word: pacierz, start_time: 29.8, end_time: 30.2
Word: chciał, start_time: 30.2, end_time: 30.8
Word: zacząć, start_time: 30.8, end_time: 31.0
Word: robotę, start_time: 31.0, end_time: 31.4
Word: patrzy, start_time: 31.4, end_time: 32.5
Word: a, start_time: 32.5, end_time: 32.7
Word: tu, start_time: 32.7, end_time: 33.1
Word: na, start_time: 33.1, end_time: 33.2
Word: stole, start_time: 33.2, end_time: 33.5
Word: oba, start_time: 33.5, end_time: 34.1
Word: trzewiki, start_time: 34.1, end_time: 34.6
Word: stoją, start_time: 34.6, end_time: 35.0
Word: zupełnie, start_time: 35.0, end_time: 35.6
Word: wykończony, start_time: 35.6, end_time: 36.2
Word: Zdziwił, start_time: 36.2, end_time: 37.5
Word: się, start_time: 37.5, end_time: 37.5
Word: i, start_time: 37.5, end_time: 37.7
Word: nie, start_time: 37.7, end_time: 38.1
Word: wiedział, start_time: 38.1, end_time: 38.4
Word: co, start_time: 38.4, end_time: 38.7
Word: ma, start_time: 38.7, end_time: 38.9
Word: o, start_time: 38.9, end_time: 39.0
Word: tym, start_time: 39.0, end_time: 39.2
Word: sądzić, start_time: 39.2, end_time: 39.7
Word: wziął, start_time: 39.7, end_time: 40.5
Word: trzewiki, start_time: 40.5, end_time: 40.9
Word: do, start_time: 40.9, end_time: 41.0
Word: rąk, start_time: 41.0, end_time: 41.3
Word: Żeby, start_time: 41.3, end_time: 41.7
Word: jest, start_time: 41.7, end_time: 41.9
Word: bliska, start_time: 41.9, end_time: 42.2
Word: obejrzeć, start_time: 42.2, end_time: 42.4
Word: były, start_time: 42.4, end_time: 43.4
Word: wykonane, start_time: 43.4, end_time: 43.8
Word: tak, start_time: 43.8, end_time: 44.1
Word: porządnie, start_time: 44.1, end_time: 44.6
Word: i, start_time: 44.6, end_time: 44.8
Word: żaden, start_time: 44.8, end_time: 45.6
Word: z, start_time: 45.6, end_time: 45.8
Word: cieknie, start_time: 45.8, end_time: 46.4
Word: był, start_time: 46.4, end_time: 46.5
Word: błędny, start_time: 46.5, end_time: 46.8
Word: było, start_time: 46.8, end_time: 47.8
Word: to, start_time: 47.8, end_time: 48.0
Word: po, start_time: 48.0, end_time: 48.0
Word: prostu, start_time: 48.0, end_time: 48.3
Word: arcydzieło, start_time: 48.3, end_time: 48.8
Word: kunsztu, start_time: 48.8, end_time: 49.7
Word: Szewskiego, start_time: 49.7, end_time: 50.3
Word: wkrótce, start_time: 50.3, end_time: 51.1
Word: potem, start_time: 51.1, end_time: 51.6
Word: znalazł, start_time: 51.6, end_time: 52.2
Word: się, start_time: 52.2, end_time: 52.4
Word: amator, start_time: 52.4, end_time: 52.9
Word: a, start_time: 52.9, end_time: 53.0
Word: ponieważ, start_time: 53.0, end_time: 53.7
Word: trzewiki, start_time: 53.7, end_time: 54.3
Word: bardzo, start_time: 54.3, end_time: 54.6
Word: mu, start_time: 54.6, end_time: 54.8
