Waiting for operation to complete...
Transcript: Jakub i Wilhelm Grimm ukradziony Grosik tłumaczenie Bolesław londyński Pewnego razu siedział przy stole Pewien pan z żoną i z dziećmi a z nimi jadł tak że jeden z Przyjaciół który przyjechał w odwiedziny nigdy tak siedział przy stole wybiła północ jakość spostrzegł że Drzwi się otwierają i że do pokoju wchodzi cały w bieli bladzich na dziecko nie rozglądał się ono wcale dokoła i nic nie mówił o lecz udało się wprost do sąsiedniej Izdebki wkrótce potem wróciło i również cicho wyszło przez drzwi
Confidence: 0.9757238030433655
Word: Jakub, start_time: 0.30000000000000004, end_time: 0.9
Word: i, start_time: 0.9, end_time: 1.1
Word: Wilhelm, start_time: 1.1, end_time: 1.5
Word: Grimm, start_time: 1.5, end_time: 2.0
Word: ukradziony, start_time: 2.0, end_time: 4.2
Word: Grosik, start_time: 4.2, end_time: 4.7
Word: tłumaczenie, start_time: 4.7, end_time: 6.4
Word: Bolesław, start_time: 6.4, end_time: 6.9
Word: londyński, start_time: 6.9, end_time: 7.0
Word: Pewnego, start_time: 7.0, end_time: 9.5
Word: razu, start_time: 9.5, end_time: 9.7
Word: siedział, start_time: 9.7, end_time: 9.9
Word: przy, start_time: 9.9, end_time: 10.9
Word: stole, start_time: 10.9, end_time: 11.3
Word: Pewien, start_time: 11.3, end_time: 11.7
Word: pan, start_time: 11.7, end_time: 12.0
Word: z, start_time: 12.0, end_time: 12.1
Word: żoną, start_time: 12.1, end_time: 12.5
Word: i, start_time: 12.5, end_time: 12.7
Word: z, start_time: 12.7, end_time: 13.0
Word: dziećmi, start_time: 13.0, end_time: 13.3
Word: a, start_time: 13.3, end_time: 13.5
Word: z, start_time: 13.5, end_time: 14.1
Word: nimi, start_time: 14.1, end_time: 14.4
Word: jadł, start_time: 14.4, end_time: 14.7
Word: tak, start_time: 14.7, end_time: 15.0
Word: że, start_time: 15.0, end_time: 15.2
Word: jeden, start_time: 15.2, end_time: 15.4
Word: z, start_time: 15.4, end_time: 15.4
Word: Przyjaciół, start_time: 15.4, end_time: 16.1
Word: który, start_time: 16.1, end_time: 16.6
Word: przyjechał, start_time: 16.6, end_time: 17.0
Word: w, start_time: 17.0, end_time: 17.2
Word: odwiedziny, start_time: 17.2, end_time: 17.2
Word: nigdy, start_time: 17.2, end_time: 18.8
Word: tak, start_time: 18.8, end_time: 18.9
Word: siedział, start_time: 18.9, end_time: 19.2
Word: przy, start_time: 19.2, end_time: 19.4
Word: stole, start_time: 19.4, end_time: 19.8
Word: wybiła, start_time: 19.8, end_time: 20.4
Word: północ, start_time: 20.4, end_time: 20.5
Word: jakość, start_time: 20.5, end_time: 21.9
Word: spostrzegł, start_time: 21.9, end_time: 22.7
Word: że, start_time: 22.7, end_time: 22.8
Word: Drzwi, start_time: 22.8, end_time: 23.6
Word: się, start_time: 23.6, end_time: 23.8
Word: otwierają, start_time: 23.8, end_time: 24.3
Word: i, start_time: 24.3, end_time: 24.5
Word: że, start_time: 24.5, end_time: 24.9
Word: do, start_time: 24.9, end_time: 25.0
Word: pokoju, start_time: 25.0, end_time: 25.4
Word: wchodzi, start_time: 25.4, end_time: 25.5
Word: cały, start_time: 25.5, end_time: 26.2
Word: w, start_time: 26.2, end_time: 26.5
Word: bieli, start_time: 26.5, end_time: 26.7
Word: bladzich, start_time: 26.7, end_time: 27.7
Word: na, start_time: 27.7, end_time: 27.9
Word: dziecko, start_time: 27.9, end_time: 28.3
Word: nie, start_time: 28.3, end_time: 29.3
Word: rozglądał, start_time: 29.3, end_time: 29.8
Word: się, start_time: 29.8, end_time: 29.8
Word: ono, start_time: 29.8, end_time: 30.3
Word: wcale, start_time: 30.3, end_time: 30.4
Word: dokoła, start_time: 30.4, end_time: 31.0
Word: i, start_time: 31.0, end_time: 31.1
Word: nic, start_time: 31.1, end_time: 31.8
Word: nie, start_time: 31.8, end_time: 31.9
Word: mówił, start_time: 31.9, end_time: 32.3
Word: o, start_time: 32.3, end_time: 32.3
Word: lecz, start_time: 32.3, end_time: 33.0
Word: udało, start_time: 33.0, end_time: 33.4
Word: się, start_time: 33.4, end_time: 33.5
Word: wprost, start_time: 33.5, end_time: 34.0
Word: do, start_time: 34.0, end_time: 34.4
Word: sąsiedniej, start_time: 34.4, end_time: 35.1
Word: Izdebki, start_time: 35.1, end_time: 35.6
Word: wkrótce, start_time: 35.6, end_time: 36.3
Word: potem, start_time: 36.3, end_time: 36.7
Word: wróciło, start_time: 36.7, end_time: 37.2
Word: i, start_time: 37.2, end_time: 37.3
Word: również, start_time: 37.3, end_time: 38.2
Word: cicho, start_time: 38.2, end_time: 38.5
Word: wyszło, start_time: 38.5, end_time: 39.0
Word: przez, start_time: 39.0, end_time: 39.3
Word: drzwi, start_time: 39.3, end_time: 39.6
Transcript: nadruki na trzeci dzień zdarzyło się zupełnie to samo gość zdziwiony pyta nareszcie pana domu czyje to takie ładne dziecko które podczas wieczerzy codziennie chodzi do sąsiedniej Izdebki Ależ ja nie widziałem żadnego dziecka od paru zagadnień Ty to też nie domyślam się nawet do kogo mogłoby należeć Nazajutrz gdy się zdarzyło tożsamość pokazał dziecko przyjacielowi ten jednak odrzekł że dziecka nie widzi ani matka ani dzieci również nic nie widziały wstaje ten gość idzie do drzwi Izdebki Uchyla się trochę i zagląda co się tam dzieje Przekonał się tedy że dziecko siedzi na ziemi i palcami szuka i grzebię w szparach podłogi Gdy jednak spostrzegł ciekawe oczy gościa znikło natychmiast powiedział przyjaciołom co widział i opisał dziecko jak najdokładniej Wtedy matka poznawszy je rzekła ach to moje drogie dzieciątko którymi umarło 4 tygodnie temu oderwali deski w podłodze
Confidence: 0.8813225030899048
Word: nadruki, start_time: 40.5, end_time: 41.2
Word: na, start_time: 41.2, end_time: 41.4
Word: trzeci, start_time: 41.4, end_time: 41.8
Word: dzień, start_time: 41.8, end_time: 41.8
Word: zdarzyło, start_time: 41.8, end_time: 42.9
Word: się, start_time: 42.9, end_time: 43.0
Word: zupełnie, start_time: 43.0, end_time: 43.5
Word: to, start_time: 43.5, end_time: 43.7
Word: samo, start_time: 43.7, end_time: 43.8
Word: gość, start_time: 43.8, end_time: 45.0
Word: zdziwiony, start_time: 45.0, end_time: 45.7
Word: pyta, start_time: 45.7, end_time: 45.8
Word: nareszcie, start_time: 45.8, end_time: 46.2
Word: pana, start_time: 46.2, end_time: 46.6
Word: domu, start_time: 46.6, end_time: 46.8
Word: czyje, start_time: 46.8, end_time: 47.3
Word: to, start_time: 47.3, end_time: 47.4
Word: takie, start_time: 47.4, end_time: 47.6
Word: ładne, start_time: 47.6, end_time: 47.9
Word: dziecko, start_time: 47.9, end_time: 48.1
