Waiting for operation to complete...
Transcript: Jakub i Wilhelm Grimm Wilk i człowiek
Confidence: 0.9785357713699341
Word: Jakub, start_time: 0.0, end_time: 0.9
Word: i, start_time: 0.9, end_time: 1.0
Word: Wilhelm, start_time: 1.0, end_time: 1.5
Word: Grimm, start_time: 1.5, end_time: 2.0
Word: Wilk, start_time: 2.0, end_time: 3.4
Word: i, start_time: 3.4, end_time: 3.5
Word: człowiek, start_time: 3.5, end_time: 4.0
Transcript:  tłumaczenie Bolesław londyński Lis Pewnego razu opowiadał wilkowi o sile człowieka żadne zwierzę nie mogło mu się oprzeć i zwierzęta musiały używać podstępu a żeby się obronić na to odpowiedział wilk gdybym się kiedykolwiek natknął na człowieka to chciałbym się z nim zmierzyć mogę ci to ułatwić że kulis Przyjdź do mnie jutro z rana to ci pokażę człowieka wilk stawił się o świcie Alice wyprowadził go na drogę po której codziennie chodził myśliwy z początku szedł drogą inwalida wojskowy czy to człowiek Zapytał wilk Nie odparł Lis Był nim dawniej Potem szedł mały chłopiec do szkoły a ten czy to człowiek nie ten dopiero ma być człowiekiem na koniec ukazał się myśliwy z dubeltówka na plecach i z nożem myśliwskim zapasem i życzę list do wilka widzisz to idzie człowiek z którym możesz się zmierzyć ale ja
Confidence: 0.8898212313652039
Word: tłumaczenie, start_time: 5.4, end_time: 6.2
Word: Bolesław, start_time: 6.2, end_time: 6.6
Word: londyński, start_time: 6.6, end_time: 6.7
Word: Lis, start_time: 6.7, end_time: 8.9
Word: Pewnego, start_time: 8.9, end_time: 9.5
Word: razu, start_time: 9.5, end_time: 9.7
Word: opowiadał, start_time: 9.7, end_time: 10.4
Word: wilkowi, start_time: 10.4, end_time: 10.9
Word: o, start_time: 10.9, end_time: 11.0
Word: sile, start_time: 11.0, end_time: 11.4
Word: człowieka, start_time: 11.4, end_time: 11.9
Word: żadne, start_time: 11.9, end_time: 12.8
Word: zwierzę, start_time: 12.8, end_time: 13.1
Word: nie, start_time: 13.1, end_time: 13.4
Word: mogło, start_time: 13.4, end_time: 13.6
Word: mu, start_time: 13.6, end_time: 13.7
Word: się, start_time: 13.7, end_time: 13.9
Word: oprzeć, start_time: 13.9, end_time: 14.1
Word: i, start_time: 14.1, end_time: 14.4
Word: zwierzęta, start_time: 14.4, end_time: 15.2
Word: musiały, start_time: 15.2, end_time: 15.5
Word: używać, start_time: 15.5, end_time: 15.9
Word: podstępu, start_time: 15.9, end_time: 16.5
Word: a, start_time: 16.5, end_time: 16.7
Word: żeby, start_time: 16.7, end_time: 17.2
Word: się, start_time: 17.2, end_time: 17.2
Word: obronić, start_time: 17.2, end_time: 18.2
Word: na, start_time: 18.2, end_time: 18.9
Word: to, start_time: 18.9, end_time: 19.0
Word: odpowiedział, start_time: 19.0, end_time: 19.6
Word: wilk, start_time: 19.6, end_time: 19.8
Word: gdybym, start_time: 19.8, end_time: 20.7
Word: się, start_time: 20.7, end_time: 20.7
Word: kiedykolwiek, start_time: 20.7, end_time: 21.1
Word: natknął, start_time: 21.1, end_time: 21.9
Word: na, start_time: 21.9, end_time: 22.0
Word: człowieka, start_time: 22.0, end_time: 22.4
Word: to, start_time: 22.4, end_time: 22.7
Word: chciałbym, start_time: 22.7, end_time: 23.2
Word: się, start_time: 23.2, end_time: 23.4
Word: z, start_time: 23.4, end_time: 23.5
Word: nim, start_time: 23.5, end_time: 23.7
Word: zmierzyć, start_time: 23.7, end_time: 23.8
Word: mogę, start_time: 23.8, end_time: 25.2
Word: ci, start_time: 25.2, end_time: 25.3
Word: to, start_time: 25.3, end_time: 25.4
Word: ułatwić, start_time: 25.4, end_time: 26.0
Word: że, start_time: 26.0, end_time: 26.6
Word: kulis, start_time: 26.6, end_time: 27.0
Word: Przyjdź, start_time: 27.0, end_time: 27.8
Word: do, start_time: 27.8, end_time: 28.0
Word: mnie, start_time: 28.0, end_time: 28.0
Word: jutro, start_time: 28.0, end_time: 28.3
Word: z, start_time: 28.3, end_time: 28.5
Word: rana, start_time: 28.5, end_time: 28.9
Word: to, start_time: 28.9, end_time: 29.2
Word: ci, start_time: 29.2, end_time: 29.4
Word: pokażę, start_time: 29.4, end_time: 29.7
Word: człowieka, start_time: 29.7, end_time: 30.3
Word: wilk, start_time: 30.3, end_time: 31.3
Word: stawił, start_time: 31.3, end_time: 31.7
Word: się, start_time: 31.7, end_time: 31.7
