Waiting for operation to complete...
Transcript: Jakob i Wilhelm Grimm włóczęgi tłumaczenie Bolesław londyński kogutek że teraz do kurki w tym czasie orzechy bywają dojrzałe pójdźmy razem na górę i najebmy się raz do syta zanim ich Wiewiórka nie sprzątnie i poszli razem że to był dzień Biały zostali więc do wieczora na górze ale nie wiem czy się tak obiady czy też opanowała ich taka dziwna wesołość dość że nie chciały pieszo wracać do domu i kogut musiał zbudować mały powozić z łupin orzechów gdy powoził był gotów kurka zasiadła w nim rzekła do kogucika Powinieneś się zamknąć bo jeszcze czego od paru kogucik Wolę już sobie pójść pieszo do domu aniżeli ciągnąć wózek z tobą tak żeśmy się nie umawiali woźnicę chętnie byłbym ale żebym sam miał ciągnąć nigdy A co się kłócicie wtrąciła nagle kaczka jesteście złodziejami Kto wam pozwolił dobierać się
Confidence: 0.9039883613586426
Word: Jakob, start_time: 0.0, end_time: 1.1
Word: i, start_time: 1.1, end_time: 1.3
Word: Wilhelm, start_time: 1.3, end_time: 2.0
Word: Grimm, start_time: 2.0, end_time: 2.2
Word: włóczęgi, start_time: 2.2, end_time: 4.1
Word: tłumaczenie, start_time: 4.1, end_time: 5.6
Word: Bolesław, start_time: 5.6, end_time: 6.0
Word: londyński, start_time: 6.0, end_time: 6.1
Word: kogutek, start_time: 6.1, end_time: 8.1
Word: że, start_time: 8.1, end_time: 8.6
Word: teraz, start_time: 8.6, end_time: 8.9
Word: do, start_time: 8.9, end_time: 9.1
Word: kurki, start_time: 9.1, end_time: 9.5
Word: w, start_time: 9.5, end_time: 9.6
Word: tym, start_time: 9.6, end_time: 10.4
Word: czasie, start_time: 10.4, end_time: 10.6
Word: orzechy, start_time: 10.6, end_time: 11.1
Word: bywają, start_time: 11.1, end_time: 11.4
Word: dojrzałe, start_time: 11.4, end_time: 12.0
Word: pójdźmy, start_time: 12.0, end_time: 12.8
Word: razem, start_time: 12.8, end_time: 12.9
Word: na, start_time: 12.9, end_time: 13.2
Word: górę, start_time: 13.2, end_time: 13.5
Word: i, start_time: 13.5, end_time: 13.6
Word: najebmy, start_time: 13.6, end_time: 14.4
Word: się, start_time: 14.4, end_time: 14.6
Word: raz, start_time: 14.6, end_time: 15.0
Word: do, start_time: 15.0, end_time: 15.1
Word: syta, start_time: 15.1, end_time: 15.2
Word: zanim, start_time: 15.2, end_time: 16.1
Word: ich, start_time: 16.1, end_time: 16.2
Word: Wiewiórka, start_time: 16.2, end_time: 16.7
Word: nie, start_time: 16.7, end_time: 16.7
Word: sprzątnie, start_time: 16.7, end_time: 17.4
Word: i, start_time: 17.4, end_time: 17.5
Word: poszli, start_time: 17.5, end_time: 18.7
Word: razem, start_time: 18.7, end_time: 19.0
Word: że, start_time: 19.0, end_time: 19.7
Word: to, start_time: 19.7, end_time: 19.8
Word: był, start_time: 19.8, end_time: 19.9
Word: dzień, start_time: 19.9, end_time: 20.1
Word: Biały, start_time: 20.1, end_time: 20.6
Word: zostali, start_time: 20.6, end_time: 21.3
Word: więc, start_time: 21.3, end_time: 21.5
Word: do, start_time: 21.5, end_time: 21.7
Word: wieczora, start_time: 21.7, end_time: 22.1
Word: na, start_time: 22.1, end_time: 22.2
Word: górze, start_time: 22.2, end_time: 22.5
Word: ale, start_time: 22.5, end_time: 23.2
Word: nie, start_time: 23.2, end_time: 23.4
Word: wiem, start_time: 23.4, end_time: 23.6
Word: czy, start_time: 23.6, end_time: 23.9
Word: się, start_time: 23.9, end_time: 23.9
Word: tak, start_time: 23.9, end_time: 24.2
Word: obiady, start_time: 24.2, end_time: 24.7
Word: czy, start_time: 24.7, end_time: 25.1
Word: też, start_time: 25.1, end_time: 25.3
Word: opanowała, start_time: 25.3, end_time: 25.9
Word: ich, start_time: 25.9, end_time: 26.1
Word: taka, start_time: 26.1, end_time: 26.4
Word: dziwna, start_time: 26.4, end_time: 26.7
Word: wesołość, start_time: 26.7, end_time: 27.3
Word: dość, start_time: 27.3, end_time: 27.8
Word: że, start_time: 27.8, end_time: 28.1
Word: nie, start_time: 28.1, end_time: 28.1
Word: chciały, start_time: 28.1, end_time: 28.5
Word: pieszo, start_time: 28.5, end_time: 28.8
Word: wracać, start_time: 28.8, end_time: 29.1
