Waiting for operation to complete...
Transcript: Jakub i Wilhelm Grimm wszechwiedzący Doctor tłumaczenie Bolesław londyński oraz ubogich chłop nazwiskiem rak który odstawi przy do miasta furę drzewa na dwóch swoich osłach sprzedał ją za dwa talary pewnemu doktorowi po wypłaceniu pieniędzy do których zasiadł właśnie dostał zobaczył chłop jak on sobie ładnie jadł i pił jak mu się serce ścisnęło na myśl Dlaczego by On także nie mógł być doktorem to też zatrzymał się jeszcze przez chwilę i w końcu z pytał się czy nie mógłby być tak że doktorem a mógłbyś od rzeczy do których dostać się może bardzo prędko rzekł doktor i cóż mam na to robić zapytał chłop naprzód Kup sobie Abecadło takie co to ma kogutka w środku potem w swój i dwa osły Zamień na pieniądze za te pieniądze Sprawdź sobie ubranie i wszystko co dla lekarza jest niezbędny następnie Cash sobie wymalować
Confidence: 0.8301405906677246
Word: Jakub, start_time: 0.0, end_time: 1.0
Word: i, start_time: 1.0, end_time: 1.1
Word: Wilhelm, start_time: 1.1, end_time: 1.5
Word: Grimm, start_time: 1.5, end_time: 2.0
Word: wszechwiedzący, start_time: 2.0, end_time: 4.1
Word: Doctor, start_time: 4.1, end_time: 4.8
Word: tłumaczenie, start_time: 4.8, end_time: 5.7
Word: Bolesław, start_time: 5.7, end_time: 6.5
Word: londyński, start_time: 6.5, end_time: 6.6
Word: oraz, start_time: 6.6, end_time: 8.6
Word: ubogich, start_time: 8.6, end_time: 9.1
Word: chłop, start_time: 9.1, end_time: 9.3
Word: nazwiskiem, start_time: 9.3, end_time: 10.2
Word: rak, start_time: 10.2, end_time: 10.4
Word: który, start_time: 10.4, end_time: 11.4
Word: odstawi, start_time: 11.4, end_time: 12.0
Word: przy, start_time: 12.0, end_time: 12.3
Word: do, start_time: 12.3, end_time: 12.4
Word: miasta, start_time: 12.4, end_time: 12.7
Word: furę, start_time: 12.7, end_time: 13.0
Word: drzewa, start_time: 13.0, end_time: 13.5
Word: na, start_time: 13.5, end_time: 13.7
Word: dwóch, start_time: 13.7, end_time: 14.0
Word: swoich, start_time: 14.0, end_time: 14.3
Word: osłach, start_time: 14.3, end_time: 14.9
Word: sprzedał, start_time: 14.9, end_time: 15.6
Word: ją, start_time: 15.6, end_time: 15.7
Word: za, start_time: 15.7, end_time: 15.9
Word: dwa, start_time: 15.9, end_time: 16.1
Word: talary, start_time: 16.1, end_time: 16.2
Word: pewnemu, start_time: 16.2, end_time: 16.9
Word: doktorowi, start_time: 16.9, end_time: 17.6
Word: po, start_time: 17.6, end_time: 18.5
Word: wypłaceniu, start_time: 18.5, end_time: 18.8
Word: pieniędzy, start_time: 18.8, end_time: 19.1
Word: do, start_time: 19.1, end_time: 20.0
Word: których, start_time: 20.0, end_time: 20.3
Word: zasiadł, start_time: 20.3, end_time: 20.8
Word: właśnie, start_time: 20.8, end_time: 21.2
Word: dostał, start_time: 21.2, end_time: 21.6
Word: zobaczył, start_time: 21.6, end_time: 22.8
Word: chłop, start_time: 22.8, end_time: 23.1
Word: jak, start_time: 23.1, end_time: 23.6
Word: on, start_time: 23.6, end_time: 23.6
Word: sobie, start_time: 23.6, end_time: 23.9
Word: ładnie, start_time: 23.9, end_time: 24.5
Word: jadł, start_time: 24.5, end_time: 24.9
Word: i, start_time: 24.9, end_time: 25.1
Word: pił, start_time: 25.1, end_time: 25.2
Word: jak, start_time: 25.2, end_time: 26.0
Word: mu, start_time: 26.0, end_time: 26.1
Word: się, start_time: 26.1, end_time: 26.1
Word: serce, start_time: 26.1, end_time: 26.7
Word: ścisnęło, start_time: 26.7, end_time: 27.1
Word: na, start_time: 27.1, end_time: 27.4
Word: myśl, start_time: 27.4, end_time: 27.6
Word: Dlaczego, start_time: 27.6, end_time: 28.1
Word: by, start_time: 28.1, end_time: 28.4
Word: On, start_time: 28.4, end_time: 28.6
Word: także, start_time: 28.6, end_time: 28.8
Word: nie, start_time: 28.8, end_time: 29.1
Word: mógł, start_time: 29.1, end_time: 29.4
Word: być, start_time: 29.4, end_time: 29.6
Word: doktorem, start_time: 29.6, end_time: 29.9
Word: to, start_time: 29.9, end_time: 30.8
Word: też, start_time: 30.8, end_time: 30.9
Word: zatrzymał, start_time: 30.9, end_time: 31.3
Word: się, start_time: 31.3, end_time: 31.4
Word: jeszcze, start_time: 31.4, end_time: 31.7
Word: przez, start_time: 31.7, end_time: 31.9
Word: chwilę, start_time: 31.9, end_time: 32.0
Word: i, start_time: 32.0, end_time: 32.3
Word: w, start_time: 32.3, end_time: 32.6
Word: końcu, start_time: 32.6, end_time: 32.9
Word: z, start_time: 32.9, end_time: 33.0
Word: pytał, start_time: 33.0, end_time: 33.3
Word: się, start_time: 33.3, end_time: 33.4
Word: czy, start_time: 33.4, end_time: 33.6
Word: nie, start_time: 33.6, end_time: 34.1
Word: mógłby, start_time: 34.1, end_time: 34.6
Word: być, start_time: 34.6, end_time: 34.7
Word: tak, start_time: 34.7, end_time: 35.1
Word: że, start_time: 35.1, end_time: 35.2
Word: doktorem, start_time: 35.2, end_time: 35.8
Word: a, start_time: 35.8, end_time: 35.9
Word: mógłbyś, start_time: 35.9, end_time: 37.4
Word: od, start_time: 37.4, end_time: 38.0
Word: rzeczy, start_time: 38.0, end_time: 38.2
Word: do, start_time: 38.2, end_time: 38.3
Word: których, start_time: 38.3, end_time: 38.5
Word: dostać, start_time: 38.5, end_time: 39.7
Word: się, start_time: 39.7, end_time: 39.9
Word: może, start_time: 39.9, end_time: 40.1
Word: bardzo, start_time: 40.1, end_time: 40.4
Word: prędko, start_time: 40.4, end_time: 40.7
Word: rzekł, start_time: 40.7, end_time: 41.7
Word: doktor, start_time: 41.7, end_time: 42.2
Word: i, start_time: 42.2, end_time: 42.3
Word: cóż, start_time: 42.3, end_time: 42.9
Word: mam, start_time: 42.9, end_time: 43.1
Word: na, start_time: 43.1, end_time: 43.2
Word: to, start_time: 43.2, end_time: 43.3
Word: robić, start_time: 43.3, end_time: 43.6
Word: zapytał, start_time: 43.6, end_time: 44.6
Word: chłop, start_time: 44.6, end_time: 44.8
Word: naprzód, start_time: 44.8, end_time: 45.8
Word: Kup, start_time: 45.8, end_time: 46.2
Word: sobie, start_time: 46.2, end_time: 46.4
Word: Abecadło, start_time: 46.4, end_time: 47.2
Word: takie, start_time: 47.2, end_time: 47.6
Word: co, start_time: 47.6, end_time: 48.0
Word: to, start_time: 48.0, end_time: 48.1
Word: ma, start_time: 48.1, end_time: 48.2
