Waiting for operation to complete...
Transcript: Jakub i Wilhelm Grimm zając pijesz tłumaczenie Bolesław londyński Powiedz tata wydawać się może trochę nieprawdopodobne a jednak jest prawdziwą A mój dziadek które mówią zawdzięczam zwykł mawiać jeżeli coś opowiadał z przejęciem prawdziwą musi być mój drogi bo inaczej nie mógłbym wam jej powtarzać a rzecz się miała tak w 100 dzień świąteczny poranek jesienią stajesz przed wrotami swojego domku ręce założył jedną na drugiej przyglądał się fillon porannego wiatr i pośpię wyrwał sobie piosenkę ale przyszły mi na myśl że mógłbym przejść się nieco po polu i przyjrzeć się zarazem co też dzieje się z jego żoną i od odwrócił się drzwi domku zamknął i puścił się w drogę na pole odszedł jeszcze niedaleko gdy mu się trafia zając jest powitał go przyjaźnie Dzień dobry ale Zając był bardzo dumnym panem
Confidence: 0.8670915365219116
Word: Jakub, start_time: 0.0, end_time: 1.5
Word: i, start_time: 1.5, end_time: 1.6
Word: Wilhelm, start_time: 1.6, end_time: 1.9
Word: Grimm, start_time: 1.9, end_time: 2.5
Word: zając, start_time: 2.5, end_time: 4.2
Word: pijesz, start_time: 4.2, end_time: 4.8
Word: tłumaczenie, start_time: 4.8, end_time: 6.3
Word: Bolesław, start_time: 6.3, end_time: 6.7
Word: londyński, start_time: 6.7, end_time: 6.8
Word: Powiedz, start_time: 6.8, end_time: 8.7
Word: tata, start_time: 8.7, end_time: 9.0
Word: wydawać, start_time: 9.0, end_time: 9.5
Word: się, start_time: 9.5, end_time: 9.7
Word: może, start_time: 9.7, end_time: 9.9
Word: trochę, start_time: 9.9, end_time: 10.1
Word: nieprawdopodobne, start_time: 10.1, end_time: 11.2
Word: a, start_time: 11.2, end_time: 11.3
Word: jednak, start_time: 11.3, end_time: 11.9
Word: jest, start_time: 11.9, end_time: 12.3
Word: prawdziwą, start_time: 12.3, end_time: 12.8
Word: A, start_time: 12.8, end_time: 13.0
Word: mój, start_time: 13.0, end_time: 13.7
Word: dziadek, start_time: 13.7, end_time: 13.9
Word: które, start_time: 13.9, end_time: 14.6
Word: mówią, start_time: 14.6, end_time: 14.9
Word: zawdzięczam, start_time: 14.9, end_time: 15.5
Word: zwykł, start_time: 15.5, end_time: 16.4
Word: mawiać, start_time: 16.4, end_time: 16.8
Word: jeżeli, start_time: 16.8, end_time: 17.8
Word: coś, start_time: 17.8, end_time: 18.0
Word: opowiadał, start_time: 18.0, end_time: 18.4
Word: z, start_time: 18.4, end_time: 18.5
Word: przejęciem, start_time: 18.5, end_time: 19.0
Word: prawdziwą, start_time: 19.0, end_time: 20.1
Word: musi, start_time: 20.1, end_time: 20.5
Word: być, start_time: 20.5, end_time: 20.6
Word: mój, start_time: 20.6, end_time: 20.8
Word: drogi, start_time: 20.8, end_time: 21.1
Word: bo, start_time: 21.1, end_time: 21.7
Word: inaczej, start_time: 21.7, end_time: 21.9
Word: nie, start_time: 21.9, end_time: 22.2
Word: mógłbym, start_time: 22.2, end_time: 22.7
Word: wam, start_time: 22.7, end_time: 23.0
Word: jej, start_time: 23.0, end_time: 23.1
Word: powtarzać, start_time: 23.1, end_time: 23.7
Word: a, start_time: 23.7, end_time: 23.9
Word: rzecz, start_time: 23.9, end_time: 25.0
Word: się, start_time: 25.0, end_time: 25.2
Word: miała, start_time: 25.2, end_time: 25.4
Word: tak, start_time: 25.4, end_time: 25.8
Word: w, start_time: 25.8, end_time: 25.9
Word: 100, start_time: 25.9, end_time: 26.9
Word: dzień, start_time: 26.9, end_time: 26.9
Word: świąteczny, start_time: 26.9, end_time: 27.4
Word: poranek, start_time: 27.4, end_time: 27.9
Word: jesienią, start_time: 27.9, end_time: 28.7
Word: stajesz, start_time: 28.7, end_time: 30.0
Word: przed, start_time: 30.0, end_time: 30.2
Word: wrotami, start_time: 30.2, end_time: 30.6
Word: swojego, start_time: 30.6, end_time: 31.1
Word: domku, start_time: 31.1, end_time: 31.4
Word: ręce, start_time: 31.4, end_time: 32.4
Word: założył, start_time: 32.4, end_time: 32.8
Word: jedną, start_time: 32.8, end_time: 33.1
Word: na, start_time: 33.1, end_time: 33.3
Word: drugiej, start_time: 33.3, end_time: 33.4
Word: przyglądał, start_time: 33.4, end_time: 34.5
Word: się, start_time: 34.5, end_time: 34.6
Word: fillon, start_time: 34.6, end_time: 35.0
Word: porannego, start_time: 35.0, end_time: 35.5
Word: wiatr, start_time: 35.5, end_time: 35.9
Word: i, start_time: 35.9, end_time: 35.9
Word: pośpię, start_time: 35.9, end_time: 36.9
Word: wyrwał, start_time: 36.9, end_time: 37.2
Word: sobie, start_time: 37.2, end_time: 37.3
Word: piosenkę, start_time: 37.3, end_time: 38.0
Word: ale, start_time: 38.0, end_time: 38.8
Word: przyszły, start_time: 38.8, end_time: 39.2
Word: mi, start_time: 39.2, end_time: 39.3
Word: na, start_time: 39.3, end_time: 39.3
Word: myśl, start_time: 39.3, end_time: 39.5
Word: że, start_time: 39.5, end_time: 39.8
Word: mógłbym, start_time: 39.8, end_time: 40.2
Word: przejść, start_time: 40.2, end_time: 40.8
Word: się, start_time: 40.8, end_time: 41.2
Word: nieco, start_time: 41.2, end_time: 41.4
Word: po, start_time: 41.4, end_time: 41.5
Word: polu, start_time: 41.5, end_time: 41.8
Word: i, start_time: 41.8, end_time: 41.9
Word: przyjrzeć, start_time: 41.9, end_time: 42.7
Word: się, start_time: 42.7, end_time: 42.8
Word: zarazem, start_time: 42.8, end_time: 43.2
Word: co, start_time: 43.2, end_time: 44.0
Word: też, start_time: 44.0, end_time: 44.2
Word: dzieje, start_time: 44.2, end_time: 44.6
Word: się, start_time: 44.6, end_time: 44.7
Word: z, start_time: 44.7, end_time: 44.8
Word: jego, start_time: 44.8, end_time: 45.0
Word: żoną, start_time: 45.0, end_time: 45.2
Word: i, start_time: 45.2, end_time: 45.5
Word: od, start_time: 45.5, end_time: 46.2
Word: odwrócił, start_time: 46.2, end_time: 46.7
Word: się, start_time: 46.7, end_time: 46.8
Word: drzwi, start_time: 46.8, end_time: 47.6
Word: domku, start_time: 47.6, end_time: 47.8
Word: zamknął, start_time: 47.8, end_time: 48.3
Word: i, start_time: 48.3, end_time: 48.4
Word: puścił, start_time: 48.4, end_time: 49.2
Word: się, start_time: 49.2, end_time: 49.4
Word: w, start_time: 49.4, end_time: 49.5
Word: drogę, start_time: 49.5, end_time: 49.8
Word: na, start_time: 49.8, end_time: 50.0
Word: pole, start_time: 50.0, end_time: 50.3
Word: odszedł, start_time: 50.3, end_time: 51.4
Word: jeszcze, start_time: 51.4, end_time: 51.7
Word: niedaleko, start_time: 51.7, end_time: 52.2
Word: gdy, start_time: 52.2, end_time: 52.8
Word: mu, start_time: 52.8, end_time: 52.9
Word: się, start_time: 52.9, end_time: 52.9
Word: trafia, start_time: 52.9, end_time: 53.3
Word: zając, start_time: 53.3, end_time: 53.8
Word: jest, start_time: 53.8, end_time: 54.6
Word: powitał, start_time: 54.6, end_time: 55.1
Word: go, start_time: 55.1, end_time: 55.2
Word: przyjaźnie, start_time: 55.2, end_time: 55.8
Word: Dzień, start_time: 55.8, end_time: 56.7
Word: dobry, start_time: 56.7, end_time: 57.0
Word: ale, start_time: 57.0, end_time: 58.0
Word: Zając, start_time: 58.0, end_time: 58.4
Word: był, start_time: 58.4, end_time: 58.5
Word: bardzo, start_time: 58.5, end_time: 58.8
Word: dumnym, start_time: 58.8, end_time: 59.3
Word: panem, start_time: 59.3, end_time: 59.6
Transcript: na pozdrowienie nie odpowiedział rzeczy tylko poruszył nosem i zapytał q6 tak wcześnie wybrał się w pole idę na przechadzkę od paru jesz na przechadzkę zaśmiał się drwiąco zając sądziłem że mógłbyś z tych krzywych nóg używać do czegoś lepszego Słowa te urodziły jeża niesłychanie dlatego też odrzekł widocznie ci się zdaje że z tymi nogami więcej wykonać zdołasz niż ja swoimi bez wątpienia kupił zając No to się spróbujmy jeszcze na to założę się że jeżeli pójdziemy na wyścigi to ja cię wyprzedza ty z tymi krzywymi łapami rzekł zając Ależ to można wykonać ze śmiechu chcesz się założyć zawołał Wiesz o co pytam zając do Złotego luidora odpowiesz wyciągając rękę do zająca Zgadzam się rzekło zając i przebijam nie mam co się spieszyć zauważył Wiesz ja bo dotąd
Confidence: 0.872901201248169
Word: na, start_time: 59.9, end_time: 60.2
Word: pozdrowienie, start_time: 60.2, end_time: 60.9
Word: nie, start_time: 60.9, end_time: 61.0
Word: odpowiedział, start_time: 61.0, end_time: 61.5
Word: rzeczy, start_time: 61.5, end_time: 62.0
Word: tylko, start_time: 62.0, end_time: 62.2
Word: poruszył, start_time: 62.2, end_time: 62.8
Word: nosem, start_time: 62.8, end_time: 63.3
Word: i, start_time: 63.3, end_time: 63.4
Word: zapytał, start_time: 63.4, end_time: 64.0
Word: q6, start_time: 64.0, end_time: 65.0
Word: tak, start_time: 65.0, end_time: 65.0
Word: wcześnie, start_time: 65.0, end_time: 65.6
Word: wybrał, start_time: 65.6, end_time: 66.0
Word: się, start_time: 66.0, end_time: 66.1
Word: w, start_time: 66.1, end_time: 66.2
Word: pole, start_time: 66.2, end_time: 66.6
Word: idę, start_time: 66.6, end_time: 67.5
Word: na, start_time: 67.5, end_time: 67.6
Word: przechadzkę, start_time: 67.6, end_time: 68.1
Word: od, start_time: 68.1, end_time: 68.7
Word: paru, start_time: 68.7, end_time: 68.9
Word: jesz, start_time: 68.9, end_time: 69.1
Word: na, start_time: 69.1, end_time: 70.2
Word: przechadzkę, start_time: 70.2, end_time: 70.7
Word: zaśmiał, start_time: 70.7, end_time: 71.7
Word: się, start_time: 71.7, end_time: 71.8
Word: drwiąco, start_time: 71.8, end_time: 72.1
Word: zając, start_time: 72.1, end_time: 72.7
Word: sądziłem, start_time: 72.7, end_time: 73.7
Word: że, start_time: 73.7, end_time: 73.8
Word: mógłbyś, start_time: 73.8, end_time: 74.7
Word: z, start_time: 74.7, end_time: 74.8
Word: tych, start_time: 74.8, end_time: 75.0
Word: krzywych, start_time: 75.0, end_time: 75.5
Word: nóg, start_time: 75.5, end_time: 75.6
Word: używać, start_time: 75.6, end_time: 76.2
Word: do, start_time: 76.2, end_time: 76.4
Word: czegoś, start_time: 76.4, end_time: 76.7
Word: lepszego, start_time: 76.7, end_time: 76.9
Word: Słowa, start_time: 76.9, end_time: 78.3
Word: te, start_time: 78.3, end_time: 78.4
Word: urodziły, start_time: 78.4, end_time: 79.1
Word: jeża, start_time: 79.1, end_time: 79.4
Word: niesłychanie, start_time: 79.4, end_time: 80.0
Word: dlatego, start_time: 80.0, end_time: 80.8
Word: też, start_time: 80.8, end_time: 80.9
Word: odrzekł, start_time: 80.9, end_time: 81.5
Word: widocznie, start_time: 81.5, end_time: 82.7
Word: ci, start_time: 82.7, end_time: 82.8
Word: się, start_time: 82.8, end_time: 82.9
Word: zdaje, start_time: 82.9, end_time: 83.2
Word: że, start_time: 83.2, end_time: 83.4
Word: z, start_time: 83.4, end_time: 83.9
Word: tymi, start_time: 83.9, end_time: 84.1
Word: nogami, start_time: 84.1, end_time: 84.2
Word: więcej, start_time: 84.2, end_time: 85.0
Word: wykonać, start_time: 85.0, end_time: 85.4
Word: zdołasz, start_time: 85.4, end_time: 85.8
Word: niż, start_time: 85.8, end_time: 86.1
Word: ja, start_time: 86.1, end_time: 86.3
Word: swoimi, start_time: 86.3, end_time: 86.8
Word: bez, start_time: 86.8, end_time: 87.9
Word: wątpienia, start_time: 87.9, end_time: 88.4
Word: kupił, start_time: 88.4, end_time: 89.2
Word: zając, start_time: 89.2, end_time: 89.6
Word: No, start_time: 89.6, end_time: 90.3
Word: to, start_time: 90.3, end_time: 90.4
Word: się, start_time: 90.4, end_time: 90.5
Word: spróbujmy, start_time: 90.5, end_time: 91.1
Word: jeszcze, start_time: 91.1, end_time: 91.8
Word: na, start_time: 91.8, end_time: 91.9
Word: to, start_time: 91.9, end_time: 92.1
Word: założę, start_time: 92.1, end_time: 93.1
Word: się, start_time: 93.1, end_time: 93.3
Word: że, start_time: 93.3, end_time: 93.4
Word: jeżeli, start_time: 93.4, end_time: 93.9
Word: pójdziemy, start_time: 93.9, end_time: 94.5
Word: na, start_time: 94.5, end_time: 94.6
Word: wyścigi, start_time: 94.6, end_time: 95.1
Word: to, start_time: 95.1, end_time: 95.6
Word: ja, start_time: 95.6, end_time: 95.8
Word: cię, start_time: 95.8, end_time: 96.0
Word: wyprzedza, start_time: 96.0, end_time: 96.4
Word: ty, start_time: 96.4, end_time: 97.2
Word: z, start_time: 97.2, end_time: 97.4
Word: tymi, start_time: 97.4, end_time: 98.0
