Waiting for operation to complete...
Transcript: Jan Andrzej Morsztyn Cuda miłości karmię frasunkiem miłości myśleniem Myślę z pamięcią i pożądliwości żądze nadzieją karmię i gładkości nadzieję bajką i próżnym urządzeniem nowa mam serce by Horse omamienie Tychy zmyślonym weselem z śmiałością śmiałość szaleństwem pas wyniosłości szaleństwo gniewem i złym zakończeniem karmię frasunek płaczem i wzdychanie wzdychanie ogniem ogień wiatrem prawie wiatr za siedzeniem w cieniu szukaniem kto kiedy słyszał o takowej sprawie Zeiss tym o głupcu z się staraniem sam przy tej wszytkie i głód ponoszę w trawie
Confidence: 0.9267997741699219
Word: Jan, start_time: 0.0, end_time: 1.2
Word: Andrzej, start_time: 1.2, end_time: 1.4
Word: Morsztyn, start_time: 1.4, end_time: 1.7000000000000002
Word: Cuda, start_time: 1.7000000000000002, end_time: 2.3
Word: miłości, start_time: 2.3, end_time: 2.8
Word: karmię, start_time: 2.8, end_time: 6.5
Word: frasunkiem, start_time: 6.5, end_time: 6.5
Word: miłości, start_time: 6.5, end_time: 7.6
Word: myśleniem, start_time: 7.6, end_time: 8.2
Word: Myślę, start_time: 8.2, end_time: 9.5
Word: z, start_time: 9.5, end_time: 9.8
Word: pamięcią, start_time: 9.8, end_time: 10.6
Word: i, start_time: 10.6, end_time: 10.8
Word: pożądliwości, start_time: 10.8, end_time: 11.7
Word: żądze, start_time: 11.7, end_time: 13.4
Word: nadzieją, start_time: 13.4, end_time: 13.8
Word: karmię, start_time: 13.8, end_time: 14.3
Word: i, start_time: 14.3, end_time: 14.4
Word: gładkości, start_time: 14.4, end_time: 15.0
Word: nadzieję, start_time: 15.0, end_time: 16.3
Word: bajką, start_time: 16.3, end_time: 16.7
Word: i, start_time: 16.7, end_time: 16.9
Word: próżnym, start_time: 16.9, end_time: 17.6
Word: urządzeniem, start_time: 17.6, end_time: 18.2
Word: nowa, start_time: 18.2, end_time: 20.1
Word: mam, start_time: 20.1, end_time: 20.3
Word: serce, start_time: 20.3, end_time: 20.7
Word: by, start_time: 20.7, end_time: 20.9
Word: Horse, start_time: 20.9, end_time: 21.3
Word: omamienie, start_time: 21.3, end_time: 21.9
Word: Tychy, start_time: 21.9, end_time: 23.3
Word: zmyślonym, start_time: 23.3, end_time: 24.0
Word: weselem, start_time: 24.0, end_time: 24.6
Word: z, start_time: 24.6, end_time: 24.7
Word: śmiałością, start_time: 24.7, end_time: 25.5
Word: śmiałość, start_time: 25.5, end_time: 26.7
Word: szaleństwem, start_time: 26.7, end_time: 27.3
Word: pas, start_time: 27.3, end_time: 27.7
Word: wyniosłości, start_time: 27.7, end_time: 28.6
Word: szaleństwo, start_time: 28.6, end_time: 29.8
Word: gniewem, start_time: 29.8, end_time: 30.4
Word: i, start_time: 30.4, end_time: 30.5
Word: złym, start_time: 30.5, end_time: 31.1
Word: zakończeniem, start_time: 31.1, end_time: 31.3
Word: karmię, start_time: 31.3, end_time: 33.1
Word: frasunek, start_time: 33.1, end_time: 33.6
Word: płaczem, start_time: 33.6, end_time: 34.2
Word: i, start_time: 34.2, end_time: 34.4
Word: wzdychanie, start_time: 34.4, end_time: 35.1
Word: wzdychanie, start_time: 35.1, end_time: 36.5
Word: ogniem, start_time: 36.5, end_time: 37.0
Word: ogień, start_time: 37.0, end_time: 38.0
Word: wiatrem, start_time: 38.0, end_time: 38.6
Word: prawie, start_time: 38.6, end_time: 39.1
Word: wiatr, start_time: 39.1, end_time: 40.1
Word: za, start_time: 40.1, end_time: 40.2
Word: siedzeniem, start_time: 40.2, end_time: 40.9
Word: w, start_time: 40.9, end_time: 41.0
Word: cieniu, start_time: 41.0, end_time: 41.4
Word: szukaniem, start_time: 41.4, end_time: 42.0
Word: kto, start_time: 42.0, end_time: 43.9
Word: kiedy, start_time: 43.9, end_time: 44.2
Word: słyszał, start_time: 44.2, end_time: 44.7
Word: o, start_time: 44.7, end_time: 44.7
Word: takowej, start_time: 44.7, end_time: 45.2
Word: sprawie, start_time: 45.2, end_time: 45.7
Word: Zeiss, start_time: 45.7, end_time: 47.3
Word: tym, start_time: 47.3, end_time: 47.5
Word: o, start_time: 47.5, end_time: 47.6
Word: głupcu, start_time: 47.6, end_time: 48.3
Word: z, start_time: 48.3, end_time: 48.4
Word: się, start_time: 48.4, end_time: 48.6
Word: staraniem, start_time: 48.6, end_time: 49.3
Word: sam, start_time: 49.3, end_time: 50.3
Word: przy, start_time: 50.3, end_time: 50.4
Word: tej, start_time: 50.4, end_time: 50.6
Word: wszytkie, start_time: 50.6, end_time: 51.1
Word: i, start_time: 51.1, end_time: 51.2
Word: głód, start_time: 51.2, end_time: 51.5
Word: ponoszę, start_time: 51.5, end_time: 52.0
Word: w, start_time: 52.0, end_time: 52.1
Word: trawie, start_time: 52.1, end_time: 52.5
