Waiting for operation to complete...
Transcript: Jan Andrzej Morsztyn na zegarek cieknący ten piasek we szkle co jak ona wie że znaczący godziny nie przestając bierze był kiedyś Tears is którego wesoły wzrok Jagny spalił w piaszczyste Popioły świadczy I teraz piasek niestateczny że kto się kocha ma niepokój wieczny
Confidence: 0.886578381061554
Word: Jan, start_time: 0.0, end_time: 0.8
Word: Andrzej, start_time: 0.8, end_time: 1.1
Word: Morsztyn, start_time: 1.1, end_time: 1.4
Word: na, start_time: 1.4, end_time: 3.2
Word: zegarek, start_time: 3.2, end_time: 3.7
Word: cieknący, start_time: 3.7, end_time: 4.4
Word: ten, start_time: 4.4, end_time: 10.1
Word: piasek, start_time: 10.1, end_time: 10.4
Word: we, start_time: 10.4, end_time: 10.7
Word: szkle, start_time: 10.7, end_time: 10.8
Word: co, start_time: 10.8, end_time: 11.4
Word: jak, start_time: 11.4, end_time: 11.5
Word: ona, start_time: 11.5, end_time: 11.6
Word: wie, start_time: 11.6, end_time: 12.0
Word: że, start_time: 12.0, end_time: 12.1
Word: znaczący, start_time: 12.1, end_time: 12.7
Word: godziny, start_time: 12.7, end_time: 13.2
Word: nie, start_time: 13.2, end_time: 13.7
Word: przestając, start_time: 13.7, end_time: 14.3
Word: bierze, start_time: 14.3, end_time: 14.8
Word: był, start_time: 14.8, end_time: 15.6
Word: kiedyś, start_time: 15.6, end_time: 15.9
Word: Tears, start_time: 15.9, end_time: 16.5
Word: is, start_time: 16.5, end_time: 16.8
Word: którego, start_time: 16.8, end_time: 18.0
Word: wesoły, start_time: 18.0, end_time: 18.5
Word: wzrok, start_time: 18.5, end_time: 18.8
Word: Jagny, start_time: 18.8, end_time: 19.3
Word: spalił, start_time: 19.3, end_time: 20.0
Word: w, start_time: 20.0, end_time: 20.0
Word: piaszczyste, start_time: 20.0, end_time: 20.7
Word: Popioły, start_time: 20.7, end_time: 21.2
Word: świadczy, start_time: 21.2, end_time: 23.3
Word: I, start_time: 23.3, end_time: 23.4
Word: teraz, start_time: 23.4, end_time: 23.8
Word: piasek, start_time: 23.8, end_time: 24.3
Word: niestateczny, start_time: 24.3, end_time: 25.1
Word: że, start_time: 25.1, end_time: 26.2
Word: kto, start_time: 26.2, end_time: 26.4
Word: się, start_time: 26.4, end_time: 26.4
Word: kocha, start_time: 26.4, end_time: 26.9
Word: ma, start_time: 26.9, end_time: 27.9
Word: niepokój, start_time: 27.9, end_time: 28.3
Word: wieczny, start_time: 28.3, end_time: 28.8
