Waiting for operation to complete...
Transcript: Jan Andrzej Morsztyn nagrobek perlisi Perła to leży nie Taco szczęśliwe wyspy więc noszą ani brzegi krzywe oriental ski Anita skorupy które bogate w sobie kryją Łupy kosztownej Chateau Perła która siła wraz w sobie skarbów bogatych nosiła no załamany pierdzi bielsze niż wełna większa niż wtryski jedwab niż bawełna
Confidence: 0.9281367659568787
Word: Jan, start_time: 0.0, end_time: 0.9
Word: Andrzej, start_time: 0.9, end_time: 1.1
Word: Morsztyn, start_time: 1.1, end_time: 1.4
Word: nagrobek, start_time: 1.4, end_time: 3.1
Word: perlisi, start_time: 3.1, end_time: 3.6
Word: Perła, start_time: 3.6, end_time: 6.8
Word: to, start_time: 6.8, end_time: 7.0
Word: leży, start_time: 7.0, end_time: 7.3
Word: nie, start_time: 7.3, end_time: 8.7
Word: Taco, start_time: 8.7, end_time: 9.1
Word: szczęśliwe, start_time: 9.1, end_time: 9.8
Word: wyspy, start_time: 9.8, end_time: 10.1
Word: więc, start_time: 10.1, end_time: 10.6
Word: noszą, start_time: 10.6, end_time: 11.0
Word: ani, start_time: 11.0, end_time: 11.3
Word: brzegi, start_time: 11.3, end_time: 11.7
Word: krzywe, start_time: 11.7, end_time: 12.2
Word: oriental, start_time: 12.2, end_time: 12.9
Word: ski, start_time: 12.9, end_time: 13.2
Word: Anita, start_time: 13.2, end_time: 13.5
Word: skorupy, start_time: 13.5, end_time: 14.1
Word: które, start_time: 14.1, end_time: 14.3
Word: bogate, start_time: 14.3, end_time: 14.8
Word: w, start_time: 14.8, end_time: 14.9
Word: sobie, start_time: 14.9, end_time: 15.1
Word: kryją, start_time: 15.1, end_time: 15.4
Word: Łupy, start_time: 15.4, end_time: 15.8
Word: kosztownej, start_time: 15.8, end_time: 17.3
Word: Chateau, start_time: 17.3, end_time: 17.6
Word: Perła, start_time: 17.6, end_time: 18.0
Word: która, start_time: 18.0, end_time: 19.0
Word: siła, start_time: 19.0, end_time: 19.4
Word: wraz, start_time: 19.4, end_time: 19.8
Word: w, start_time: 19.8, end_time: 19.9
Word: sobie, start_time: 19.9, end_time: 20.2
Word: skarbów, start_time: 20.2, end_time: 20.7
Word: bogatych, start_time: 20.7, end_time: 21.2
Word: nosiła, start_time: 21.2, end_time: 21.7
Word: no, start_time: 21.7, end_time: 23.1
Word: załamany, start_time: 23.1, end_time: 24.0
Word: pierdzi, start_time: 24.0, end_time: 25.3
Word: bielsze, start_time: 25.3, end_time: 25.7
Word: niż, start_time: 25.7, end_time: 25.8
Word: wełna, start_time: 25.8, end_time: 26.4
Word: większa, start_time: 26.4, end_time: 27.8
Word: niż, start_time: 27.8, end_time: 27.9
Word: wtryski, start_time: 27.9, end_time: 28.4
Word: jedwab, start_time: 28.4, end_time: 28.9
Word: niż, start_time: 28.9, end_time: 29.5
Word: bawełna, start_time: 29.5, end_time: 30.1
