Waiting for operation to complete...
Transcript: Jan Kochanowski fraszki księgi pierwsze do miłości chyba w serce miłości proszę nie uderzaj ale na każdy członek inszy śmiele zmierzaj
Confidence: 0.9463642835617065
Word: Jan, start_time: 0.0, end_time: 0.8
Word: Kochanowski, start_time: 0.8, end_time: 1.0
Word: fraszki, start_time: 1.0, end_time: 1.9
Word: księgi, start_time: 1.9, end_time: 2.3
Word: pierwsze, start_time: 2.3, end_time: 2.7
Word: do, start_time: 2.7, end_time: 3.2
Word: miłości, start_time: 3.2, end_time: 3.8
Word: chyba, start_time: 3.8, end_time: 5.4
Word: w, start_time: 5.4, end_time: 5.6
Word: serce, start_time: 5.6, end_time: 6.0
Word: miłości, start_time: 6.0, end_time: 6.5
Word: proszę, start_time: 6.5, end_time: 6.9
Word: nie, start_time: 6.9, end_time: 7.1
Word: uderzaj, start_time: 7.1, end_time: 7.6
Word: ale, start_time: 7.6, end_time: 8.5
Word: na, start_time: 8.5, end_time: 8.6
Word: każdy, start_time: 8.6, end_time: 8.9
Word: członek, start_time: 8.9, end_time: 9.1
Word: inszy, start_time: 9.1, end_time: 9.5
Word: śmiele, start_time: 9.5, end_time: 10.2
Word: zmierzaj, start_time: 10.2, end_time: 10.7
