Waiting for operation to complete...
Transcript: Jan Kochanowski fraszki księgi pierwsze za pijanicami Ziemia deszcz piję ziemię drzewa piją z rzek może może frytki gwiazdy żyją na nas nie wiem co Ludzie patrzyli dziwno im żeśmy trochę się napili
Confidence: 0.9253076910972595
Word: Jan, start_time: 0.0, end_time: 1.1
Word: Kochanowski, start_time: 1.1, end_time: 1.3
Word: fraszki, start_time: 1.3, end_time: 2.9
Word: księgi, start_time: 2.9, end_time: 3.9
Word: pierwsze, start_time: 3.9, end_time: 4.4
Word: za, start_time: 4.4, end_time: 5.6
Word: pijanicami, start_time: 5.6, end_time: 6.0
Word: Ziemia, start_time: 6.0, end_time: 8.2
Word: deszcz, start_time: 8.2, end_time: 8.7
Word: piję, start_time: 8.7, end_time: 9.2
Word: ziemię, start_time: 9.2, end_time: 10.5
Word: drzewa, start_time: 10.5, end_time: 11.0
Word: piją, start_time: 11.0, end_time: 11.4
Word: z, start_time: 11.4, end_time: 11.6
Word: rzek, start_time: 11.6, end_time: 12.6
Word: może, start_time: 12.6, end_time: 13.1
Word: może, start_time: 13.1, end_time: 14.0
Word: frytki, start_time: 14.0, end_time: 14.4
Word: gwiazdy, start_time: 14.4, end_time: 14.8
Word: żyją, start_time: 14.8, end_time: 15.1
Word: na, start_time: 15.1, end_time: 16.6
Word: nas, start_time: 16.6, end_time: 16.9
Word: nie, start_time: 16.9, end_time: 17.2
Word: wiem, start_time: 17.2, end_time: 17.9
Word: co, start_time: 17.9, end_time: 18.4
Word: Ludzie, start_time: 18.4, end_time: 18.7
Word: patrzyli, start_time: 18.7, end_time: 19.2
Word: dziwno, start_time: 19.2, end_time: 20.3
Word: im, start_time: 20.3, end_time: 20.6
Word: żeśmy, start_time: 20.6, end_time: 21.6
Word: trochę, start_time: 21.6, end_time: 22.1
Word: się, start_time: 22.1, end_time: 22.3
Word: napili, start_time: 22.3, end_time: 22.8
