Waiting for operation to complete...
Transcript: Jan Kochanowski fraszki księgi trzecie do fraszek fraszki nieprzepłacone wdzięczny fraszki moje które za wszytki kładę tajemnice swoje bądź łaskawie Fortuna ze mną postępuje bądź inaczej Czego Znajdź więcej się znajduje ubrał liczby się kiedy kto tak pracowity żeby z was chciałby czerpać umysłu mojej zakryty Powiedzcie mu niech próżno nie frasuje głowy bo się w dziwny Labirynt i błąd Dakowy skąd żadna Ariadna żadne kłębki tylne wywieźć go móc nie będą tak tam ścieżki mylne na koniec i sam Cieśla który to mi sterował aby to rogatego chłopa byka chował nie zawżdy do wrót
Confidence: 0.79688960313797
Word: Jan, start_time: 0.0, end_time: 0.30000000000000004
Word: Kochanowski, start_time: 0.30000000000000004, end_time: 0.5
Word: fraszki, start_time: 0.5, end_time: 2.1
Word: księgi, start_time: 2.1, end_time: 2.9
Word: trzecie, start_time: 2.9, end_time: 3.5
Word: do, start_time: 3.5, end_time: 4.8
Word: fraszek, start_time: 4.8, end_time: 5.4
Word: fraszki, start_time: 5.4, end_time: 7.7
Word: nieprzepłacone, start_time: 7.7, end_time: 8.8
Word: wdzięczny, start_time: 8.8, end_time: 10.4
Word: fraszki, start_time: 10.4, end_time: 11.1
Word: moje, start_time: 11.1, end_time: 11.3
Word: które, start_time: 11.3, end_time: 12.2
Word: za, start_time: 12.2, end_time: 12.5
Word: wszytki, start_time: 12.5, end_time: 13.1
Word: kładę, start_time: 13.1, end_time: 13.6
Word: tajemnice, start_time: 13.6, end_time: 14.4
Word: swoje, start_time: 14.4, end_time: 15.0
Word: bądź, start_time: 15.0, end_time: 15.9
Word: łaskawie, start_time: 15.9, end_time: 16.7
Word: Fortuna, start_time: 16.7, end_time: 17.3
Word: ze, start_time: 17.3, end_time: 17.4
Word: mną, start_time: 17.4, end_time: 17.6
Word: postępuje, start_time: 17.6, end_time: 18.6
Word: bądź, start_time: 18.6, end_time: 19.6
Word: inaczej, start_time: 19.6, end_time: 20.5
Word: Czego, start_time: 20.5, end_time: 21.0
Word: Znajdź, start_time: 21.0, end_time: 21.6
Word: więcej, start_time: 21.6, end_time: 22.2
Word: się, start_time: 22.2, end_time: 22.7
Word: znajduje, start_time: 22.7, end_time: 23.6
Word: ubrał, start_time: 23.6, end_time: 25.1
Word: liczby, start_time: 25.1, end_time: 25.5
Word: się, start_time: 25.5, end_time: 25.7
Word: kiedy, start_time: 25.7, end_time: 26.2
Word: kto, start_time: 26.2, end_time: 26.4
Word: tak, start_time: 26.4, end_time: 26.7
Word: pracowity, start_time: 26.7, end_time: 27.6
Word: żeby, start_time: 27.6, end_time: 28.3
Word: z, start_time: 28.3, end_time: 28.4
Word: was, start_time: 28.4, end_time: 28.6
Word: chciałby, start_time: 28.6, end_time: 28.7
Word: czerpać, start_time: 28.7, end_time: 29.8
Word: umysłu, start_time: 29.8, end_time: 30.6
Word: mojej, start_time: 30.6, end_time: 31.0
Word: zakryty, start_time: 31.0, end_time: 31.9
Word: Powiedzcie, start_time: 31.9, end_time: 33.1
Word: mu, start_time: 33.1, end_time: 33.4
Word: niech, start_time: 33.4, end_time: 34.1
Word: próżno, start_time: 34.1, end_time: 34.8
Word: nie, start_time: 34.8, end_time: 34.8
Word: frasuje, start_time: 34.8, end_time: 35.6
Word: głowy, start_time: 35.6, end_time: 36.2
Word: bo, start_time: 36.2, end_time: 36.8
Word: się, start_time: 36.8, end_time: 36.9
Word: w, start_time: 36.9, end_time: 37.0
Word: dziwny, start_time: 37.0, end_time: 37.6
Word: Labirynt, start_time: 37.6, end_time: 38.4
Word: i, start_time: 38.4, end_time: 38.6
Word: błąd, start_time: 38.6, end_time: 39.4
Word: Dakowy, start_time: 39.4, end_time: 40.7
Word: skąd, start_time: 40.7, end_time: 41.6
Word: żadna, start_time: 41.6, end_time: 42.3
Word: Ariadna, start_time: 42.3, end_time: 43.2
Word: żadne, start_time: 43.2, end_time: 44.1
Word: kłębki, start_time: 44.1, end_time: 44.7
Word: tylne, start_time: 44.7, end_time: 45.3
Word: wywieźć, start_time: 45.3, end_time: 46.3
Word: go, start_time: 46.3, end_time: 46.5
Word: móc, start_time: 46.5, end_time: 46.7
Word: nie, start_time: 46.7, end_time: 46.9
Word: będą, start_time: 46.9, end_time: 47.7
Word: tak, start_time: 47.7, end_time: 48.6
Word: tam, start_time: 48.6, end_time: 48.9
Word: ścieżki, start_time: 48.9, end_time: 49.7
Word: mylne, start_time: 49.7, end_time: 50.5
Word: na, start_time: 50.5, end_time: 51.5
Word: koniec, start_time: 51.5, end_time: 51.9
Word: i, start_time: 51.9, end_time: 52.2
Word: sam, start_time: 52.2, end_time: 52.7
Word: Cieśla, start_time: 52.7, end_time: 53.4
Word: który, start_time: 53.4, end_time: 54.0
Word: to, start_time: 54.0, end_time: 54.1
Word: mi, start_time: 54.1, end_time: 54.3
Word: sterował, start_time: 54.3, end_time: 55.1
Word: aby, start_time: 55.1, end_time: 55.6
Word: to, start_time: 55.6, end_time: 55.8
Word: rogatego, start_time: 55.8, end_time: 56.3
Word: chłopa, start_time: 56.3, end_time: 57.1
Word: byka, start_time: 57.1, end_time: 57.5
Word: chował, start_time: 57.5, end_time: 58.0
Word: nie, start_time: 58.0, end_time: 58.6
Word: zawżdy, start_time: 58.6, end_time: 59.2
Word: do, start_time: 59.2, end_time: 59.4
Word: wrót, start_time: 59.4, end_time: 59.8
Transcript: trafisz pióra szykuje do ramienia to ledwo wierzchem wylatuje
Confidence: 0.82784503698349
Word: trafisz, start_time: 59.9, end_time: 61.1
Word: pióra, start_time: 61.1, end_time: 61.7
