Waiting for operation to complete...
Transcript: Jan Kochanowski fraszki księgi trzecie Na dom w Czarnolesie Panie to moja praca a zdarzenie twoje raczysz błogosławieństwo dać do końca swoje inżynier pałac marmurowy mają i szczerym złotogłowy w ścianie obijają ja panie Niech a mieszkam w tym gnieździe ojczystym a ty mnie zdrowiem opatrz i sumieniem czystym pożywieniem uczciwym ludzką życzliwością obyczajami znośnie mi nie przykro starością
Confidence: 0.9325366020202637
Word: Jan, start_time: 0.0, end_time: 0.2
Word: Kochanowski, start_time: 0.2, end_time: 0.5
Word: fraszki, start_time: 0.5, end_time: 2.0
Word: księgi, start_time: 2.0, end_time: 2.7
Word: trzecie, start_time: 2.7, end_time: 3.3
Word: Na, start_time: 3.3, end_time: 4.7
Word: dom, start_time: 4.7, end_time: 5.3
Word: w, start_time: 5.3, end_time: 5.6
Word: Czarnolesie, start_time: 5.6, end_time: 6.6
Word: Panie, start_time: 6.6, end_time: 9.1
Word: to, start_time: 9.1, end_time: 9.9
Word: moja, start_time: 9.9, end_time: 10.1
Word: praca, start_time: 10.1, end_time: 10.7
Word: a, start_time: 10.7, end_time: 11.3
Word: zdarzenie, start_time: 11.3, end_time: 11.8
Word: twoje, start_time: 11.8, end_time: 12.5
Word: raczysz, start_time: 12.5, end_time: 14.5
Word: błogosławieństwo, start_time: 14.5, end_time: 15.8
Word: dać, start_time: 15.8, end_time: 16.0
Word: do, start_time: 16.0, end_time: 16.2
Word: końca, start_time: 16.2, end_time: 16.7
Word: swoje, start_time: 16.7, end_time: 17.3
Word: inżynier, start_time: 17.3, end_time: 19.1
Word: pałac, start_time: 19.1, end_time: 19.7
Word: marmurowy, start_time: 19.7, end_time: 20.1
Word: mają, start_time: 20.1, end_time: 21.0
Word: i, start_time: 21.0, end_time: 21.2
Word: szczerym, start_time: 21.2, end_time: 22.2
Word: złotogłowy, start_time: 22.2, end_time: 23.1
Word: w, start_time: 23.1, end_time: 23.3
Word: ścianie, start_time: 23.3, end_time: 24.0
Word: obijają, start_time: 24.0, end_time: 24.8
Word: ja, start_time: 24.8, end_time: 25.7
Word: panie, start_time: 25.7, end_time: 26.1
Word: Niech, start_time: 26.1, end_time: 26.6
Word: a, start_time: 26.6, end_time: 26.6
Word: mieszkam, start_time: 26.6, end_time: 27.3
Word: w, start_time: 27.3, end_time: 27.5
Word: tym, start_time: 27.5, end_time: 27.9
Word: gnieździe, start_time: 27.9, end_time: 28.9
Word: ojczystym, start_time: 28.9, end_time: 29.8
Word: a, start_time: 29.8, end_time: 30.0
Word: ty, start_time: 30.0, end_time: 30.5
Word: mnie, start_time: 30.5, end_time: 30.8
Word: zdrowiem, start_time: 30.8, end_time: 31.4
Word: opatrz, start_time: 31.4, end_time: 31.7
Word: i, start_time: 31.7, end_time: 32.3
Word: sumieniem, start_time: 32.3, end_time: 32.6
Word: czystym, start_time: 32.6, end_time: 34.0
Word: pożywieniem, start_time: 34.0, end_time: 35.0
Word: uczciwym, start_time: 35.0, end_time: 36.0
Word: ludzką, start_time: 36.0, end_time: 36.9
Word: życzliwością, start_time: 36.9, end_time: 38.1
Word: obyczajami, start_time: 38.1, end_time: 39.6
Word: znośnie, start_time: 39.6, end_time: 40.7
Word: mi, start_time: 40.7, end_time: 41.0
Word: nie, start_time: 41.0, end_time: 42.0
Word: przykro, start_time: 42.0, end_time: 42.7
Word: starością, start_time: 42.7, end_time: 44.0
