Waiting for operation to complete...
Transcript: Jan Kochanowski Pieśń II księgi pierwsze pieśń dwudziesta miło szaleć kiedy czas po temu atak bracia Przybij każdy swemu bo głodzie nie chce się tańcować a podpisy ładnie już poznawać niech się to nikt z państwem nie odzywa Ani z nami powalił używa przywileje powiesimy na kołku a ty wedle pana siądź pachołku tam dobra myśl nigdy nie postoi gdzie z rejestru patrzą co przystoi a powiem wam że się tym świat słodzi gdy koleją statek i żart chodzi ale to mój zysk że mnie słuchacie a żadnej mi pełnej nie podacie znał kto kiedy poetę trzeźwego nie uczyni takiej nic dobrego przed się do mnie a ja nie zawiodę wy też drudzy co macie pogodę Każdy swoje Włóż w cholera co nie macie to oglądać się na co
Confidence: 0.872008740901947
Word: Jan, start_time: 0.0, end_time: 0.8
Word: Kochanowski, start_time: 0.8, end_time: 0.9
Word: Pieśń, start_time: 0.9, end_time: 1.6
Word: II, start_time: 1.6, end_time: 3.3
Word: księgi, start_time: 3.3, end_time: 3.9
Word: pierwsze, start_time: 3.9, end_time: 4.6
Word: pieśń, start_time: 4.6, end_time: 5.9
Word: dwudziesta, start_time: 5.9, end_time: 6.4
Word: miło, start_time: 6.4, end_time: 9.1
Word: szaleć, start_time: 9.1, end_time: 9.3
Word: kiedy, start_time: 9.3, end_time: 9.8
Word: czas, start_time: 9.8, end_time: 10.0
Word: po, start_time: 10.0, end_time: 10.3
Word: temu, start_time: 10.3, end_time: 10.5
Word: atak, start_time: 10.5, end_time: 11.5
Word: bracia, start_time: 11.5, end_time: 11.9
Word: Przybij, start_time: 11.9, end_time: 12.4
Word: każdy, start_time: 12.4, end_time: 12.8
Word: swemu, start_time: 12.8, end_time: 13.1
Word: bo, start_time: 13.1, end_time: 13.8
Word: głodzie, start_time: 13.8, end_time: 14.3
Word: nie, start_time: 14.3, end_time: 14.5
Word: chce, start_time: 14.5, end_time: 14.7
Word: się, start_time: 14.7, end_time: 14.9
Word: tańcować, start_time: 14.9, end_time: 15.5
Word: a, start_time: 15.5, end_time: 15.6
Word: podpisy, start_time: 15.6, end_time: 16.6
Word: ładnie, start_time: 16.6, end_time: 17.1
Word: już, start_time: 17.1, end_time: 17.3
Word: poznawać, start_time: 17.3, end_time: 17.9
Word: niech, start_time: 17.9, end_time: 18.9
Word: się, start_time: 18.9, end_time: 19.0
Word: to, start_time: 19.0, end_time: 19.2
Word: nikt, start_time: 19.2, end_time: 19.4
Word: z, start_time: 19.4, end_time: 19.5
Word: państwem, start_time: 19.5, end_time: 19.9
Word: nie, start_time: 19.9, end_time: 20.1
Word: odzywa, start_time: 20.1, end_time: 20.5
Word: Ani, start_time: 20.5, end_time: 21.2
Word: z, start_time: 21.2, end_time: 21.4
Word: nami, start_time: 21.4, end_time: 21.7
Word: powalił, start_time: 21.7, end_time: 22.3
Word: używa, start_time: 22.3, end_time: 22.7
Word: przywileje, start_time: 22.7, end_time: 24.0
Word: powiesimy, start_time: 24.0, end_time: 24.4
Word: na, start_time: 24.4, end_time: 24.6
