Waiting for operation to complete...
Transcript: Jan Kochanowski Pieśń II księgi wtóre Pieśń III Nie wierz Fortunie co siedzisz wysoko miej na pośrednie koła pilne oko bo to nie stała pani z przyrodzenia często więc rada sprawy swe odmienia nie dupa i w złoto i w żadne pokłady każdej godziny obawiaj się zdrady Fortuna co.to.za się wziąć może a u niej żadna dawno ci nie pomoże A ci co z tobą teraz przestawaj Fejsie Fortunie nie tobie kłaniają Skoro ta zniknie tył każdy Podawać jako cień Kiedy słońca mu nie wstawaj lecz jako sama oczy zasłoniła tak swym pochlebstw m ludzi po obraziła że drugi wyzszej nosa gębę nosi A wszystkim co trzyma przenosi przypomnij że twój skarb i szczęścia w moc
Confidence: 0.838895857334137
Word: Jan, start_time: 0.0, end_time: 1.4
Word: Kochanowski, start_time: 1.4, end_time: 1.6
Word: Pieśń, start_time: 1.6, end_time: 2.3
Word: II, start_time: 2.3, end_time: 3.5
Word: księgi, start_time: 3.5, end_time: 4.4
Word: wtóre, start_time: 4.4, end_time: 4.8
Word: Pieśń, start_time: 4.8, end_time: 5.2
Word: III, start_time: 5.2, end_time: 7.1
Word: Nie, start_time: 7.1, end_time: 7.2
Word: wierz, start_time: 7.2, end_time: 9.0
Word: Fortunie, start_time: 9.0, end_time: 9.2
Word: co, start_time: 9.2, end_time: 10.0
Word: siedzisz, start_time: 10.0, end_time: 10.1
Word: wysoko, start_time: 10.1, end_time: 10.7
Word: miej, start_time: 10.7, end_time: 12.1
Word: na, start_time: 12.1, end_time: 12.2
Word: pośrednie, start_time: 12.2, end_time: 12.9
Word: koła, start_time: 12.9, end_time: 13.3
Word: pilne, start_time: 13.3, end_time: 13.7
Word: oko, start_time: 13.7, end_time: 14.0
Word: bo, start_time: 14.0, end_time: 14.8
Word: to, start_time: 14.8, end_time: 15.0
Word: nie, start_time: 15.0, end_time: 15.1
Word: stała, start_time: 15.1, end_time: 15.5
Word: pani, start_time: 15.5, end_time: 15.8
Word: z, start_time: 15.8, end_time: 15.9
Word: przyrodzenia, start_time: 15.9, end_time: 16.5
Word: często, start_time: 16.5, end_time: 17.7
Word: więc, start_time: 17.7, end_time: 17.9
Word: rada, start_time: 17.9, end_time: 18.4
Word: sprawy, start_time: 18.4, end_time: 18.9
Word: swe, start_time: 18.9, end_time: 19.1
Word: odmienia, start_time: 19.1, end_time: 19.7
Word: nie, start_time: 19.7, end_time: 20.8
Word: dupa, start_time: 20.8, end_time: 21.2
Word: i, start_time: 21.2, end_time: 21.2
