Waiting for operation to complete...
Transcript: Jan Kochanowski Pieśń II księgi wtóre pieśń 14 w którzy Pospolitą Rzeczą władacie ludzką sprawiedliwości w ręku trzymacie w mówię którym ludzi paść poruszono i zwierzchności nad stadem Bożym zwierząt miejcie to przed oczyma zawżdy swoimi żeście miejsce zasiedli Boże na ziemi z którego macie nie tak swe własne rzeczy jako wszystek ludzki mieć rodzaj na pieczy a wam więc nad mniejszymi zwierzchność jest dana ale i sami macie nad sobą pana któremu kiedykolwiek Ze spraw swych uczynić poczet macie trudność tam krzywe mówi nic nie bierze ten pan darów ani się pyta jesli kto chłop czyli się grochem poczyta w firmie Jelly go widzi w złotych Lee głowach
Confidence: 0.8299545049667358
Word: Jan, start_time: 0.0, end_time: 0.9
Word: Kochanowski, start_time: 0.9, end_time: 1.1
Word: Pieśń, start_time: 1.1, end_time: 1.9
Word: II, start_time: 1.9, end_time: 3.1
Word: księgi, start_time: 3.1, end_time: 3.5
Word: wtóre, start_time: 3.5, end_time: 3.9
Word: pieśń, start_time: 3.9, end_time: 4.3
Word: 14, start_time: 4.3, end_time: 6.5
Word: w, start_time: 6.5, end_time: 8.3
Word: którzy, start_time: 8.3, end_time: 8.8
Word: Pospolitą, start_time: 8.8, end_time: 9.2
Word: Rzeczą, start_time: 9.2, end_time: 9.7
Word: władacie, start_time: 9.7, end_time: 10.1
Word: ludzką, start_time: 10.1, end_time: 12.4
Word: sprawiedliwości, start_time: 12.4, end_time: 13.4
Word: w, start_time: 13.4, end_time: 13.5
Word: ręku, start_time: 13.5, end_time: 13.8
Word: trzymacie, start_time: 13.8, end_time: 14.5
Word: w, start_time: 14.5, end_time: 14.6
Word: mówię, start_time: 14.6, end_time: 16.2
Word: którym, start_time: 16.2, end_time: 16.7
Word: ludzi, start_time: 16.7, end_time: 17.0
Word: paść, start_time: 17.0, end_time: 17.4
Word: poruszono, start_time: 17.4, end_time: 18.0
Word: i, start_time: 18.0, end_time: 18.3
Word: zwierzchności, start_time: 18.3, end_time: 19.8
Word: nad, start_time: 19.8, end_time: 20.0
Word: stadem, start_time: 20.0, end_time: 20.4
Word: Bożym, start_time: 20.4, end_time: 20.9
Word: zwierząt, start_time: 20.9, end_time: 21.5
Word: miejcie, start_time: 21.5, end_time: 23.7
Word: to, start_time: 23.7, end_time: 24.0
Word: przed, start_time: 24.0, end_time: 24.1
Word: oczyma, start_time: 24.1, end_time: 24.6
Word: zawżdy, start_time: 24.6, end_time: 25.0
Word: swoimi, start_time: 25.0, end_time: 25.7
Word: żeście, start_time: 25.7, end_time: 27.0
Word: miejsce, start_time: 27.0, end_time: 27.2
Word: zasiedli, start_time: 27.2, end_time: 27.5
Word: Boże, start_time: 27.5, end_time: 28.1
Word: na, start_time: 28.1, end_time: 28.6
Word: ziemi, start_time: 28.6, end_time: 28.9
Word: z, start_time: 28.9, end_time: 29.1
Word: którego, start_time: 29.1, end_time: 30.5
Word: macie, start_time: 30.5, end_time: 30.8
Word: nie, start_time: 30.8, end_time: 31.1
Word: tak, start_time: 31.1, end_time: 31.4
Word: swe, start_time: 31.4, end_time: 31.6
Word: własne, start_time: 31.6, end_time: 31.9
Word: rzeczy, start_time: 31.9, end_time: 32.2
Word: jako, start_time: 32.2, end_time: 32.7
Word: wszystek, start_time: 32.7, end_time: 33.4
Word: ludzki, start_time: 33.4, end_time: 34.2
Word: mieć, start_time: 34.2, end_time: 34.5
Word: rodzaj, start_time: 34.5, end_time: 34.8
Word: na, start_time: 34.8, end_time: 35.2
Word: pieczy, start_time: 35.2, end_time: 35.3
Word: a, start_time: 35.3, end_time: 35.8
Word: wam, start_time: 35.8, end_time: 37.8
Word: więc, start_time: 37.8, end_time: 38.2
Word: nad, start_time: 38.2, end_time: 38.4
Word: mniejszymi, start_time: 38.4, end_time: 39.1
Word: zwierzchność, start_time: 39.1, end_time: 39.7
Word: jest, start_time: 39.7, end_time: 39.9
Word: dana, start_time: 39.9, end_time: 40.4
Word: ale, start_time: 40.4, end_time: 41.4
Word: i, start_time: 41.4, end_time: 41.5
Word: sami, start_time: 41.5, end_time: 41.9
Word: macie, start_time: 41.9, end_time: 42.2
Word: nad, start_time: 42.2, end_time: 42.4
Word: sobą, start_time: 42.4, end_time: 42.6
Word: pana, start_time: 42.6, end_time: 43.1
Word: któremu, start_time: 43.1, end_time: 44.3
Word: kiedykolwiek, start_time: 44.3, end_time: 45.1
Word: Ze, start_time: 45.1, end_time: 45.5
Word: spraw, start_time: 45.5, end_time: 45.9
Word: swych, start_time: 45.9, end_time: 46.2
Word: uczynić, start_time: 46.2, end_time: 46.8
Word: poczet, start_time: 46.8, end_time: 47.7
Word: macie, start_time: 47.7, end_time: 48.1
Word: trudność, start_time: 48.1, end_time: 48.8
Word: tam, start_time: 48.8, end_time: 49.1
Word: krzywe, start_time: 49.1, end_time: 49.5
Word: mówi, start_time: 49.5, end_time: 49.8
Word: nic, start_time: 49.8, end_time: 50.1
Word: nie, start_time: 50.1, end_time: 50.2
Word: bierze, start_time: 50.2, end_time: 51.3
Word: ten, start_time: 51.3, end_time: 51.5
Word: pan, start_time: 51.5, end_time: 51.8
Word: darów, start_time: 51.8, end_time: 52.2
Word: ani, start_time: 52.2, end_time: 52.5
Word: się, start_time: 52.5, end_time: 52.7
Word: pyta, start_time: 52.7, end_time: 53.0
Word: jesli, start_time: 53.0, end_time: 54.1
Word: kto, start_time: 54.1, end_time: 54.3
Word: chłop, start_time: 54.3, end_time: 54.8
Word: czyli, start_time: 54.8, end_time: 55.1
Word: się, start_time: 55.1, end_time: 55.2
Word: grochem, start_time: 55.2, end_time: 55.8
Word: poczyta, start_time: 55.8, end_time: 56.4
Word: w, start_time: 56.4, end_time: 56.5
Word: firmie, start_time: 56.5, end_time: 57.5
Word: Jelly, start_time: 57.5, end_time: 58.0
Word: go, start_time: 58.0, end_time: 58.1
Word: widzi, start_time: 58.1, end_time: 58.5
Word: w, start_time: 58.5, end_time: 58.5
Word: złotych, start_time: 58.5, end_time: 59.1
Word: Lee, start_time: 59.1, end_time: 59.2
Word: głowach, start_time: 59.2, end_time: 59.8
Transcript: Jeśli na mniejsze winien być w okowach więc ja podobno z mniejszym niebezpieczeństwem grzeszę bo sam się tracę swym wszeteczeństwo przełożonych występy miasta zgubiły i szerokie do gruntu carstwa zniszczyły
Confidence: 0.9130321741104126
Word: Jeśli, start_time: 59.9, end_time: 60.7
Word: na, start_time: 60.7, end_time: 60.8
Word: mniejsze, start_time: 60.8, end_time: 61.4
Word: winien, start_time: 61.4, end_time: 61.8
Word: być, start_time: 61.8, end_time: 62.2
Word: w, start_time: 62.2, end_time: 62.4
