Waiting for operation to complete...
Transcript: Jan Kochanowski Treny ten pierwszy szybki płacze wszystkich łzy heraklitowe i lamenty i Skargi symonidowe wszystkie troski na świecie wszystkie wzdychania i żale i frasunki Iron kłamania frytki frytki zaraz w domu się mój mąż tam nie płakać mi wdzięczny i dziewki pomóżcie z którą jej nie pomoże na śmierć rozdzieliła i wszystkich moich pociech nagle zbawiła tak więc smok popatrzy przy gniazdku Cleo mysłowicki liche zbiera nazwy łakome gardło pasie tymczasem matka z ciebie czy u Boga a na Dwójce zaraz się między brudna wojna same okrutnik zmierza a tanie Boga ledwo umyka pierza próżno płakać pod
Confidence: 0.7413980960845947
Word: Jan, start_time: 0.2, end_time: 0.9
Word: Kochanowski, start_time: 0.9, end_time: 1.1
Word: Treny, start_time: 1.1, end_time: 2.7
Word: ten, start_time: 2.7, end_time: 4.3
Word: pierwszy, start_time: 4.3, end_time: 5.2
Word: szybki, start_time: 5.2, end_time: 8.0
Word: płacze, start_time: 8.0, end_time: 8.6
Word: wszystkich, start_time: 8.6, end_time: 9.9
Word: łzy, start_time: 9.9, end_time: 10.4
Word: heraklitowe, start_time: 10.4, end_time: 10.6
Word: i, start_time: 10.6, end_time: 11.4
Word: lamenty, start_time: 11.4, end_time: 12.5
Word: i, start_time: 12.5, end_time: 12.6
Word: Skargi, start_time: 12.6, end_time: 13.2
Word: symonidowe, start_time: 13.2, end_time: 13.4
Word: wszystkie, start_time: 13.4, end_time: 14.8
Word: troski, start_time: 14.8, end_time: 15.1
Word: na, start_time: 15.1, end_time: 15.5
Word: świecie, start_time: 15.5, end_time: 16.0
Word: wszystkie, start_time: 16.0, end_time: 16.6
Word: wzdychania, start_time: 16.6, end_time: 17.5
Word: i, start_time: 17.5, end_time: 17.8
Word: żale, start_time: 17.8, end_time: 18.4
Word: i, start_time: 18.4, end_time: 18.5
Word: frasunki, start_time: 18.5, end_time: 19.5
Word: Iron, start_time: 19.5, end_time: 19.9
Word: kłamania, start_time: 19.9, end_time: 20.5
Word: frytki, start_time: 20.5, end_time: 21.6
Word: frytki, start_time: 21.6, end_time: 21.9
Word: zaraz, start_time: 21.9, end_time: 22.6
Word: w, start_time: 22.6, end_time: 22.7
Word: domu, start_time: 22.7, end_time: 23.1
Word: się, start_time: 23.1, end_time: 23.3
Word: mój, start_time: 23.3, end_time: 23.5
Word: mąż, start_time: 23.5, end_time: 23.7
Word: tam, start_time: 23.7, end_time: 24.9
Word: nie, start_time: 24.9, end_time: 25.1
Word: płakać, start_time: 25.1, end_time: 25.7
Word: mi, start_time: 25.7, end_time: 25.9
Word: wdzięczny, start_time: 25.9, end_time: 26.3
Word: i, start_time: 26.3, end_time: 26.6
Word: dziewki, start_time: 26.6, end_time: 27.0
Word: pomóżcie, start_time: 27.0, end_time: 27.7
Word: z, start_time: 27.7, end_time: 27.8
Word: którą, start_time: 27.8, end_time: 29.0
Word: jej, start_time: 29.0, end_time: 29.3
Word: nie, start_time: 29.3, end_time: 29.5
Word: pomoże, start_time: 29.5, end_time: 29.9
Word: na, start_time: 29.9, end_time: 30.0
Word: śmierć, start_time: 30.0, end_time: 30.4
Word: rozdzieliła, start_time: 30.4, end_time: 31.4
Word: i, start_time: 31.4, end_time: 31.5
Word: wszystkich, start_time: 31.5, end_time: 32.8
Word: moich, start_time: 32.8, end_time: 33.1
Word: pociech, start_time: 33.1, end_time: 33.4
Word: nagle, start_time: 33.4, end_time: 34.2
Word: zbawiła, start_time: 34.2, end_time: 34.8
Word: tak, start_time: 34.8, end_time: 36.6
