Waiting for operation to complete...
Transcript: Jan Kochanowski Treny Tren 8 wielkieś mi uczyniła pustki w domu moim moja droga orszulo tym zniknieniem swoim Pełno nas a jakoby nikogo nie było jedną maluczką duszą tak wiele ubyło tyś za wszytki mówiła za wszytki śpiewała wszystkich w domu kolczyki zawżdy pobiegała nie dopuściła się nigdy matce się pracować a nie ojcu myśleniem zbytnim głowy psować to tego nowego wdzięcznie obłapiając i one mi swój Cieszyn śmiechem zabawiając
Confidence: 0.9569937586784363
Word: Jan, start_time: 0.0, end_time: 0.8
Word: Kochanowski, start_time: 0.8, end_time: 0.9
Word: Treny, start_time: 0.9, end_time: 2.6
Word: Tren, start_time: 2.6, end_time: 3.8
Word: 8, start_time: 3.8, end_time: 4.7
Word: wielkieś, start_time: 4.7, end_time: 7.5
Word: mi, start_time: 7.5, end_time: 7.6
Word: uczyniła, start_time: 7.6, end_time: 8.2
Word: pustki, start_time: 8.2, end_time: 8.3
Word: w, start_time: 8.3, end_time: 9.0
Word: domu, start_time: 9.0, end_time: 10.1
Word: moim, start_time: 10.1, end_time: 10.4
Word: moja, start_time: 10.4, end_time: 11.0
Word: droga, start_time: 11.0, end_time: 12.3
Word: orszulo, start_time: 12.3, end_time: 12.7
Word: tym, start_time: 12.7, end_time: 13.3
Word: zniknieniem, start_time: 13.3, end_time: 13.7
Word: swoim, start_time: 13.7, end_time: 15.4
Word: Pełno, start_time: 15.4, end_time: 18.7
Word: nas, start_time: 18.7, end_time: 19.0
Word: a, start_time: 19.0, end_time: 19.2
Word: jakoby, start_time: 19.2, end_time: 20.6
Word: nikogo, start_time: 20.6, end_time: 21.0
Word: nie, start_time: 21.0, end_time: 21.4
Word: było, start_time: 21.4, end_time: 21.5
Word: jedną, start_time: 21.5, end_time: 24.3
Word: maluczką, start_time: 24.3, end_time: 24.6
Word: duszą, start_time: 24.6, end_time: 25.2
Word: tak, start_time: 25.2, end_time: 27.3
Word: wiele, start_time: 27.3, end_time: 27.6
Word: ubyło, start_time: 27.6, end_time: 27.8
Word: tyś, start_time: 27.8, end_time: 30.2
Word: za, start_time: 30.2, end_time: 30.6
