Waiting for operation to complete...
Transcript: Jan Kochanowski Treny Tren 12 żaden ojciec podobno bardziej nie miłował dziecięca żaden bardziej nadmiernie żałował a też ledwo się kiedy dzieci urodziło co była ski rodziców w swych tak godne było ohydne posłuszne karny nie pieszczone śpiewać mówić rymować jako co uczone każdego ukłon trafić wyrazić postawę obyczaje panieński umieć i zabawy roztropny obyczaj ludzkie nieżywy dobrowolne układny skromny i wstydliwe nigdy ona bo rano karmienie wspomniała aż pierwej Bogu swoje modlitwy oddała nie poszła spać Wasz pierwszy matkę pozdrowiła i zdrowie rodziców
Confidence: 0.8089998960494995
Word: Jan, start_time: 0.30000000000000004, end_time: 0.9
Word: Kochanowski, start_time: 0.9, end_time: 1.1
Word: Treny, start_time: 1.1, end_time: 2.7
Word: Tren, start_time: 2.7, end_time: 4.4
Word: 12, start_time: 4.4, end_time: 5.3
Word: żaden, start_time: 5.3, end_time: 8.8
Word: ojciec, start_time: 8.8, end_time: 9.4
Word: podobno, start_time: 9.4, end_time: 10.0
Word: bardziej, start_time: 10.0, end_time: 10.5
Word: nie, start_time: 10.5, end_time: 10.7
Word: miłował, start_time: 10.7, end_time: 11.1
Word: dziecięca, start_time: 11.1, end_time: 11.7
Word: żaden, start_time: 11.7, end_time: 12.9
Word: bardziej, start_time: 12.9, end_time: 13.4
Word: nadmiernie, start_time: 13.4, end_time: 13.9
Word: żałował, start_time: 13.9, end_time: 14.6
Word: a, start_time: 14.6, end_time: 14.7
Word: też, start_time: 14.7, end_time: 16.3
Word: ledwo, start_time: 16.3, end_time: 16.6
Word: się, start_time: 16.6, end_time: 16.9
Word: kiedy, start_time: 16.9, end_time: 17.2
Word: dzieci, start_time: 17.2, end_time: 17.6
Word: urodziło, start_time: 17.6, end_time: 18.1
Word: co, start_time: 18.1, end_time: 18.5
Word: była, start_time: 18.5, end_time: 18.7
Word: ski, start_time: 18.7, end_time: 19.1
Word: rodziców, start_time: 19.1, end_time: 19.6
Word: w, start_time: 19.6, end_time: 19.7
Word: swych, start_time: 19.7, end_time: 20.0
Word: tak, start_time: 20.0, end_time: 20.4
Word: godne, start_time: 20.4, end_time: 20.9
Word: było, start_time: 20.9, end_time: 21.3
Word: ohydne, start_time: 21.3, end_time: 22.6
Word: posłuszne, start_time: 22.6, end_time: 24.8
Word: karny, start_time: 24.8, end_time: 25.8
Word: nie, start_time: 25.8, end_time: 26.4
Word: pieszczone, start_time: 26.4, end_time: 27.0
Word: śpiewać, start_time: 27.0, end_time: 28.3
Word: mówić, start_time: 28.3, end_time: 28.9
Word: rymować, start_time: 28.9, end_time: 29.6
Word: jako, start_time: 29.6, end_time: 30.0
Word: co, start_time: 30.0, end_time: 30.1
Word: uczone, start_time: 30.1, end_time: 30.8
Word: każdego, start_time: 30.8, end_time: 32.0
Word: ukłon, start_time: 32.0, end_time: 32.5
Word: trafić, start_time: 32.5, end_time: 33.0
Word: wyrazić, start_time: 33.0, end_time: 34.0
Word: postawę, start_time: 34.0, end_time: 34.7
Word: obyczaje, start_time: 34.7, end_time: 35.5
Word: panieński, start_time: 35.5, end_time: 36.2
Word: umieć, start_time: 36.2, end_time: 36.6
Word: i, start_time: 36.6, end_time: 36.8
Word: zabawy, start_time: 36.8, end_time: 38.2
Word: roztropny, start_time: 38.2, end_time: 40.0
Word: obyczaj, start_time: 40.0, end_time: 41.3
Word: ludzkie, start_time: 41.3, end_time: 42.6
Word: nieżywy, start_time: 42.6, end_time: 43.7
Word: dobrowolne, start_time: 43.7, end_time: 45.3
Word: układny, start_time: 45.3, end_time: 46.0
