Waiting for operation to complete...
Transcript: Mikołaj Sęp Szarzyński Sonet II motto na one słowa jopowe homo natus de muliere brevi vivens tempore wstydem Poczęty człowiek urodzony z boleścią krótko to na świecie żywie ito odmiennie nic nie bojaźliwie ginie od słońca jak cień opuszczony i od takiego Boże nieskończony w sobie chwalebnie i w sobie szczęśliwie sam przez się żyjąc żądasz Jak masz chciwie być miłowany i chcesz być chwalony dziwne są twego Miłosierdzia sprawy tym sie cherubim przepaść zrozum ności dziwi zdumiał YT i stąd pała prawy Płomień Serafin szczęśliwej miłości
Confidence: 0.9620662331581116
Word: Mikołaj, start_time: 0.0, end_time: 0.7000000000000001
Word: Sęp, start_time: 0.7000000000000001, end_time: 1.2
Word: Szarzyński, start_time: 1.2, end_time: 1.3
Word: Sonet, start_time: 1.3, end_time: 3.3
Word: II, start_time: 3.3, end_time: 4.0
Word: motto, start_time: 4.0, end_time: 5.2
Word: na, start_time: 5.2, end_time: 6.4
Word: one, start_time: 6.4, end_time: 6.8
Word: słowa, start_time: 6.8, end_time: 6.9
Word: jopowe, start_time: 6.9, end_time: 7.5
Word: homo, start_time: 7.5, end_time: 9.3
Word: natus, start_time: 9.3, end_time: 9.9
Word: de, start_time: 9.9, end_time: 10.3
Word: muliere, start_time: 10.3, end_time: 10.4
Word: brevi, start_time: 10.4, end_time: 11.1
Word: vivens, start_time: 11.1, end_time: 12.3
Word: tempore, start_time: 12.3, end_time: 13.0
Word: wstydem, start_time: 13.0, end_time: 15.5
Word: Poczęty, start_time: 15.5, end_time: 16.2
Word: człowiek, start_time: 16.2, end_time: 17.0
Word: urodzony, start_time: 17.0, end_time: 17.5
Word: z, start_time: 17.5, end_time: 18.2
Word: boleścią, start_time: 18.2, end_time: 19.1
Word: krótko, start_time: 19.1, end_time: 20.4
Word: to, start_time: 20.4, end_time: 20.6
Word: na, start_time: 20.6, end_time: 20.7
Word: świecie, start_time: 20.7, end_time: 21.2
Word: żywie, start_time: 21.2, end_time: 21.8
Word: ito, start_time: 21.8, end_time: 22.9
Word: odmiennie, start_time: 22.9, end_time: 23.8
Word: nic, start_time: 23.8, end_time: 24.5
Word: nie, start_time: 24.5, end_time: 24.8
Word: bojaźliwie, start_time: 24.8, end_time: 25.9
Word: ginie, start_time: 25.9, end_time: 27.0
Word: od, start_time: 27.0, end_time: 27.3
Word: słońca, start_time: 27.3, end_time: 27.8
Word: jak, start_time: 27.8, end_time: 28.5
Word: cień, start_time: 28.5, end_time: 28.9
Word: opuszczony, start_time: 28.9, end_time: 30.0
Word: i, start_time: 30.0, end_time: 30.1
Word: od, start_time: 30.1, end_time: 31.5
Word: takiego, start_time: 31.5, end_time: 32.0
Word: Boże, start_time: 32.0, end_time: 32.5
Word: nieskończony, start_time: 32.5, end_time: 32.9
Word: w, start_time: 32.9, end_time: 33.6
Word: sobie, start_time: 33.6, end_time: 34.4
Word: chwalebnie, start_time: 34.4, end_time: 35.0
Word: i, start_time: 35.0, end_time: 35.2
Word: w, start_time: 35.2, end_time: 35.3
Word: sobie, start_time: 35.3, end_time: 35.6
Word: szczęśliwie, start_time: 35.6, end_time: 36.6
Word: sam, start_time: 36.6, end_time: 37.4
Word: przez, start_time: 37.4, end_time: 37.8
Word: się, start_time: 37.8, end_time: 38.1
Word: żyjąc, start_time: 38.1, end_time: 38.8
Word: żądasz, start_time: 38.8, end_time: 39.9
Word: Jak, start_time: 39.9, end_time: 40.2
Word: masz, start_time: 40.2, end_time: 40.5
Word: chciwie, start_time: 40.5, end_time: 41.3
Word: być, start_time: 41.3, end_time: 41.6
Word: miłowany, start_time: 41.6, end_time: 42.5
Word: i, start_time: 42.5, end_time: 42.8
Word: chcesz, start_time: 42.8, end_time: 43.4
Word: być, start_time: 43.4, end_time: 43.4
Word: chwalony, start_time: 43.4, end_time: 44.4
Word: dziwne, start_time: 44.4, end_time: 46.1
Word: są, start_time: 46.1, end_time: 46.3
Word: twego, start_time: 46.3, end_time: 46.7
Word: Miłosierdzia, start_time: 46.7, end_time: 47.0
Word: sprawy, start_time: 47.0, end_time: 48.3
Word: tym, start_time: 48.3, end_time: 49.4
Word: sie, start_time: 49.4, end_time: 49.6
Word: cherubim, start_time: 49.6, end_time: 50.4
Word: przepaść, start_time: 50.4, end_time: 51.3
Word: zrozum, start_time: 51.3, end_time: 51.8
Word: ności, start_time: 51.8, end_time: 52.4
Word: dziwi, start_time: 52.4, end_time: 53.2
Word: zdumiał, start_time: 53.2, end_time: 53.9
Word: YT, start_time: 53.9, end_time: 54.2
Word: i, start_time: 54.2, end_time: 54.4
Word: stąd, start_time: 54.4, end_time: 54.7
Word: pała, start_time: 54.7, end_time: 55.4
Word: prawy, start_time: 55.4, end_time: 55.9
Word: Płomień, start_time: 55.9, end_time: 57.2
Word: Serafin, start_time: 57.2, end_time: 57.9
Word: szczęśliwej, start_time: 57.9, end_time: 58.8
Word: miłości, start_time: 58.8, end_time: 58.9
Transcript: ośw Panie daj niech i my mamy to co mieć każesz i tobie oddam
Confidence: 0.9462059736251831
Word: ośw, start_time: 60.1, end_time: 60.7
Word: Panie, start_time: 60.7, end_time: 61.6
Word: daj, start_time: 61.6, end_time: 62.4
Word: niech, start_time: 62.4, end_time: 63.1
Word: i, start_time: 63.1, end_time: 63.3
Word: my, start_time: 63.3, end_time: 63.6
Word: mamy, start_time: 63.6, end_time: 64.3
Word: to, start_time: 64.3, end_time: 64.9
Word: co, start_time: 64.9, end_time: 65.2
Word: mieć, start_time: 65.2, end_time: 65.6
Word: każesz, start_time: 65.6, end_time: 66.3
Word: i, start_time: 66.3, end_time: 66.6
Word: tobie, start_time: 66.6, end_time: 67.9
Word: oddam, start_time: 67.9, end_time: 68.6
