Waiting for operation to complete...
Transcript: ernestyn k powieść obyczajowa skaje tutaj że pensjonarki druga znów była dziewczynka nazywała się ernestynka 1 miała smutek wielki bo ojciec robił serdelki a przeciwnie za to ona była bardzo wykształcona wciąż czytała co się zmieści śliczne francuskie powieści mówili o niej Bóg widzę że jest tylko pół dziewicą nie każda jest taka święta żeby zaraz mieć bliźnięta raz ją ojciec przez to złapał bo Jej narzeczony chrapał straszny krzyk się zrobił w domu że tak czynią po kryjomu każdy wrzeszczał o czym innym jak zwykle w domu rodzinnym ojciec najgorsze wyrazy powtarzał po kilka razy ona płakała cichutko boją przy tym kopnął Wódko a potem jeszcze jej ostro zakazał bawić się z siostrą
Confidence: 0.8972553014755249
Word: ernestyn, start_time: 0.0, end_time: 0.9
Word: k, start_time: 0.9, end_time: 1.1
Word: powieść, start_time: 1.1, end_time: 2.0
Word: obyczajowa, start_time: 2.0, end_time: 2.8
Word: skaje, start_time: 2.8, end_time: 3.3
Word: tutaj, start_time: 3.3, end_time: 3.8
Word: że, start_time: 3.8, end_time: 4.0
Word: pensjonarki, start_time: 4.0, end_time: 4.9
Word: druga, start_time: 4.9, end_time: 6.6
Word: znów, start_time: 6.6, end_time: 7.0
Word: była, start_time: 7.0, end_time: 7.4
Word: dziewczynka, start_time: 7.4, end_time: 8.0
Word: nazywała, start_time: 8.0, end_time: 8.6
Word: się, start_time: 8.6, end_time: 9.0
Word: ernestynka, start_time: 9.0, end_time: 10.3
Word: 1, start_time: 10.3, end_time: 11.4
Word: miała, start_time: 11.4, end_time: 11.6
Word: smutek, start_time: 11.6, end_time: 12.2
Word: wielki, start_time: 12.2, end_time: 12.6
Word: bo, start_time: 12.6, end_time: 13.3
Word: ojciec, start_time: 13.3, end_time: 13.6
Word: robił, start_time: 13.6, end_time: 14.5
Word: serdelki, start_time: 14.5, end_time: 15.2
Word: a, start_time: 15.2, end_time: 15.4
Word: przeciwnie, start_time: 15.4, end_time: 16.7
Word: za, start_time: 16.7, end_time: 16.9
Word: to, start_time: 16.9, end_time: 17.0
Word: ona, start_time: 17.0, end_time: 17.4
Word: była, start_time: 17.4, end_time: 18.0
Word: bardzo, start_time: 18.0, end_time: 18.3
Word: wykształcona, start_time: 18.3, end_time: 19.6
Word: wciąż, start_time: 19.6, end_time: 20.5
Word: czytała, start_time: 20.5, end_time: 21.1
Word: co, start_time: 21.1, end_time: 21.4
Word: się, start_time: 21.4, end_time: 21.5
Word: zmieści, start_time: 21.5, end_time: 21.8
Word: śliczne, start_time: 21.8, end_time: 23.1
Word: francuskie, start_time: 23.1, end_time: 24.0
Word: powieści, start_time: 24.0, end_time: 24.6
Word: mówili, start_time: 24.6, end_time: 25.4
Word: o, start_time: 25.4, end_time: 25.5
Word: niej, start_time: 25.5, end_time: 25.7
Word: Bóg, start_time: 25.7, end_time: 26.1
Word: widzę, start_time: 26.1, end_time: 26.5
Word: że, start_time: 26.5, end_time: 27.0
Word: jest, start_time: 27.0, end_time: 27.2
Word: tylko, start_time: 27.2, end_time: 27.5
Word: pół, start_time: 27.5, end_time: 28.1
Word: dziewicą, start_time: 28.1, end_time: 28.8
Word: nie, start_time: 28.8, end_time: 29.0
Word: każda, start_time: 29.0, end_time: 29.8
Word: jest, start_time: 29.8, end_time: 30.0
Word: taka, start_time: 30.0, end_time: 30.3
Word: święta, start_time: 30.3, end_time: 30.5
Word: żeby, start_time: 30.5, end_time: 31.3
Word: zaraz, start_time: 31.3, end_time: 31.5
Word: mieć, start_time: 31.5, end_time: 31.7
Word: bliźnięta, start_time: 31.7, end_time: 32.4
Word: raz, start_time: 32.4, end_time: 33.1
Word: ją, start_time: 33.1, end_time: 33.3
Word: ojciec, start_time: 33.3, end_time: 33.7
Word: przez, start_time: 33.7, end_time: 34.3
Word: to, start_time: 34.3, end_time: 34.5
Word: złapał, start_time: 34.5, end_time: 35.0
Word: bo, start_time: 35.0, end_time: 35.5
