Waiting for operation to complete...
Transcript: list otwarty kobiety polskiej pod adresem zielonego balonika do swych licznych wieńców chwały mój czcigodny kabarecie pozwól dzisiaj jestem mały dorzucić polskiej kobiecie usłysz Od niej prawdy słowo moja Kliczko pięknych duchów żeś edycją luksusową typowych polskich eunuchów gdy opalasz dawne style nowe wieści z ciepłym głosem Krzyś pomyślał choć przez chwilę nad nieszczęsnym moim losem aby w tajnie mego serca zajrzeć coś uczynił Powiedz nieodrodny spadkobierca starego gbura z Nagłowic 100 lat w lirycznej niewoli jęczy my Ulub koturny czołgów świętej aureoli na głowie popiołów urny spojrzenie czysty ATP Live na piersiach cnoty pukle że 100 lat Czekamy cierpliwie
Confidence: 0.8592689037322998
Word: list, start_time: 0.0, end_time: 0.6000000000000001
Word: otwarty, start_time: 0.6000000000000001, end_time: 0.9
Word: kobiety, start_time: 0.9, end_time: 1.7000000000000002
Word: polskiej, start_time: 1.7000000000000002, end_time: 2.3
Word: pod, start_time: 2.3, end_time: 3.2
Word: adresem, start_time: 3.2, end_time: 3.7
Word: zielonego, start_time: 3.7, end_time: 4.7
Word: balonika, start_time: 4.7, end_time: 4.9
Word: do, start_time: 4.9, end_time: 6.2
Word: swych, start_time: 6.2, end_time: 6.3
Word: licznych, start_time: 6.3, end_time: 6.6
Word: wieńców, start_time: 6.6, end_time: 7.5
Word: chwały, start_time: 7.5, end_time: 8.0
Word: mój, start_time: 8.0, end_time: 8.7
Word: czcigodny, start_time: 8.7, end_time: 9.0
Word: kabarecie, start_time: 9.0, end_time: 9.9
Word: pozwól, start_time: 9.9, end_time: 10.8
Word: dzisiaj, start_time: 10.8, end_time: 11.3
Word: jestem, start_time: 11.3, end_time: 11.9
Word: mały, start_time: 11.9, end_time: 11.9
Word: dorzucić, start_time: 11.9, end_time: 13.2
Word: polskiej, start_time: 13.2, end_time: 13.8
Word: kobiecie, start_time: 13.8, end_time: 14.3
Word: usłysz, start_time: 14.3, end_time: 15.5
Word: Od, start_time: 15.5, end_time: 15.6
Word: niej, start_time: 15.6, end_time: 16.0
Word: prawdy, start_time: 16.0, end_time: 16.4
Word: słowo, start_time: 16.4, end_time: 16.9
Word: moja, start_time: 16.9, end_time: 17.6
Word: Kliczko, start_time: 17.6, end_time: 18.1
Word: pięknych, start_time: 18.1, end_time: 18.8
Word: duchów, start_time: 18.8, end_time: 19.2
Word: żeś, start_time: 19.2, end_time: 19.9
Word: edycją, start_time: 19.9, end_time: 21.0
Word: luksusową, start_time: 21.0, end_time: 21.7
Word: typowych, start_time: 21.7, end_time: 22.8
Word: polskich, start_time: 22.8, end_time: 23.6
Word: eunuchów, start_time: 23.6, end_time: 24.4
Word: gdy, start_time: 24.4, end_time: 25.5
Word: opalasz, start_time: 25.5, end_time: 25.9
Word: dawne, start_time: 25.9, end_time: 26.2
Word: style, start_time: 26.2, end_time: 26.4
Word: nowe, start_time: 26.4, end_time: 27.4
Word: wieści, start_time: 27.4, end_time: 27.7
Word: z, start_time: 27.7, end_time: 28.0
Word: ciepłym, start_time: 28.0, end_time: 28.8
Word: głosem, start_time: 28.8, end_time: 29.0
Word: Krzyś, start_time: 29.0, end_time: 30.1
Word: pomyślał, start_time: 30.1, end_time: 30.5
Word: choć, start_time: 30.5, end_time: 30.9
Word: przez, start_time: 30.9, end_time: 31.2
Word: chwilę, start_time: 31.2, end_time: 31.3
Word: nad, start_time: 31.3, end_time: 32.2
Word: nieszczęsnym, start_time: 32.2, end_time: 33.2
Word: moim, start_time: 33.2, end_time: 33.5
Word: losem, start_time: 33.5, end_time: 33.8
Word: aby, start_time: 33.8, end_time: 34.8
Word: w, start_time: 34.8, end_time: 34.8
Word: tajnie, start_time: 34.8, end_time: 35.3
Word: mego, start_time: 35.3, end_time: 35.5
Word: serca, start_time: 35.5, end_time: 35.9
Word: zajrzeć, start_time: 35.9, end_time: 36.7
Word: coś, start_time: 36.7, end_time: 37.2
