Waiting for operation to complete...
Transcript: naszym hymnem grafoman literacki nasz ogródek pachnie wśród księgarskich półek wonią Mirków nie zabudu przy różnych innych Ziółek inspekta czyste ładne co odrosty lśnią porannej to królestwo samowładnie legendarnej polskiej Panny dla niej dla tej jasne i wróżki nasi geniusza się trudzą aby mogła do poduszki ubrać się w Polsce cudzą przez nią za nią dla niej od niej wszystko bierze swój początek odchyleniu jej pochodni natchnień się rozpala wątek w prochu wielbi Nasza miłość dziewiczość i arcy statut panieńskiego wdzięczny całość to najwyższy Stwórcy Atut póki tej ozdoby swojej nie uroni dumna Polka w tym małym czółko
Confidence: 0.8101139664649963
Word: naszym, start_time: 0.0, end_time: 0.6000000000000001
Word: hymnem, start_time: 0.6000000000000001, end_time: 1.1
Word: grafoman, start_time: 1.1, end_time: 1.9
Word: literacki, start_time: 1.9, end_time: 3.1
Word: nasz, start_time: 3.1, end_time: 3.3
Word: ogródek, start_time: 3.3, end_time: 3.7
Word: pachnie, start_time: 3.7, end_time: 4.7
Word: wśród, start_time: 4.7, end_time: 5.2
Word: księgarskich, start_time: 5.2, end_time: 6.0
Word: półek, start_time: 6.0, end_time: 6.5
Word: wonią, start_time: 6.5, end_time: 7.5
Word: Mirków, start_time: 7.5, end_time: 8.4
Word: nie, start_time: 8.4, end_time: 8.7
Word: zabudu, start_time: 8.7, end_time: 9.2
Word: przy, start_time: 9.2, end_time: 10.0
Word: różnych, start_time: 10.0, end_time: 10.5
Word: innych, start_time: 10.5, end_time: 11.0
Word: Ziółek, start_time: 11.0, end_time: 11.9
Word: inspekta, start_time: 11.9, end_time: 13.6
Word: czyste, start_time: 13.6, end_time: 14.1
Word: ładne, start_time: 14.1, end_time: 15.0
Word: co, start_time: 15.0, end_time: 15.6
Word: odrosty, start_time: 15.6, end_time: 16.3
Word: lśnią, start_time: 16.3, end_time: 16.7
Word: porannej, start_time: 16.7, end_time: 17.4
Word: to, start_time: 17.4, end_time: 17.9
Word: królestwo, start_time: 17.9, end_time: 18.2
Word: samowładnie, start_time: 18.2, end_time: 19.2
Word: legendarnej, start_time: 19.2, end_time: 20.4
Word: polskiej, start_time: 20.4, end_time: 20.7
Word: Panny, start_time: 20.7, end_time: 21.6
Word: dla, start_time: 21.6, end_time: 22.4
Word: niej, start_time: 22.4, end_time: 22.7
Word: dla, start_time: 22.7, end_time: 23.2
Word: tej, start_time: 23.2, end_time: 23.4
Word: jasne, start_time: 23.4, end_time: 23.9
Word: i, start_time: 23.9, end_time: 24.0
Word: wróżki, start_time: 24.0, end_time: 24.5
Word: nasi, start_time: 24.5, end_time: 25.3
Word: geniusza, start_time: 25.3, end_time: 25.9
Word: się, start_time: 25.9, end_time: 26.0
Word: trudzą, start_time: 26.0, end_time: 26.4
Word: aby, start_time: 26.4, end_time: 27.3
Word: mogła, start_time: 27.3, end_time: 27.6
Word: do, start_time: 27.6, end_time: 27.8
Word: poduszki, start_time: 27.8, end_time: 28.2
Word: ubrać, start_time: 28.2, end_time: 29.0
Word: się, start_time: 29.0, end_time: 29.2
Word: w, start_time: 29.2, end_time: 29.4
Word: Polsce, start_time: 29.4, end_time: 30.0
Word: cudzą, start_time: 30.0, end_time: 30.7
Word: przez, start_time: 30.7, end_time: 31.7
Word: nią, start_time: 31.7, end_time: 31.9
Word: za, start_time: 31.9, end_time: 32.5
Word: nią, start_time: 32.5, end_time: 32.6
Word: dla, start_time: 32.6, end_time: 33.2
Word: niej, start_time: 33.2, end_time: 33.6
Word: od, start_time: 33.6, end_time: 34.1
Word: niej, start_time: 34.1, end_time: 34.4
Word: wszystko, start_time: 34.4, end_time: 35.3
Word: bierze, start_time: 35.3, end_time: 35.8
Word: swój, start_time: 35.8, end_time: 36.1
Word: początek, start_time: 36.1, end_time: 36.2
Word: odchyleniu, start_time: 36.2, end_time: 38.1
Word: jej, start_time: 38.1, end_time: 38.4
Word: pochodni, start_time: 38.4, end_time: 39.3
Word: natchnień, start_time: 39.3, end_time: 40.4
Word: się, start_time: 40.4, end_time: 40.6
Word: rozpala, start_time: 40.6, end_time: 41.2
Word: wątek, start_time: 41.2, end_time: 41.7
Word: w, start_time: 41.7, end_time: 41.9
Word: prochu, start_time: 41.9, end_time: 43.0
Word: wielbi, start_time: 43.0, end_time: 43.6
Word: Nasza, start_time: 43.6, end_time: 43.8
Word: miłość, start_time: 43.8, end_time: 44.3
Word: dziewiczość, start_time: 44.3, end_time: 45.3
Word: i, start_time: 45.3, end_time: 45.7
Word: arcy, start_time: 45.7, end_time: 46.4
Word: statut, start_time: 46.4, end_time: 47.0
Word: panieńskiego, start_time: 47.0, end_time: 48.4
Word: wdzięczny, start_time: 48.4, end_time: 49.5
Word: całość, start_time: 49.5, end_time: 50.2
Word: to, start_time: 50.2, end_time: 50.8
Word: najwyższy, start_time: 50.8, end_time: 51.6
Word: Stwórcy, start_time: 51.6, end_time: 52.4
Word: Atut, start_time: 52.4, end_time: 52.9
Word: póki, start_time: 52.9, end_time: 54.4
Word: tej, start_time: 54.4, end_time: 54.6
Word: ozdoby, start_time: 54.6, end_time: 54.8
Word: swojej, start_time: 54.8, end_time: 55.7
Word: nie, start_time: 55.7, end_time: 56.2
Word: uroni, start_time: 56.2, end_time: 56.8
Word: dumna, start_time: 56.8, end_time: 57.3
Word: Polka, start_time: 57.3, end_time: 57.7
Word: w, start_time: 57.7, end_time: 57.9
Word: tym, start_time: 57.9, end_time: 58.6
Word: małym, start_time: 58.6, end_time: 58.9
Word: czółko, start_time: 58.9, end_time: 59.5
Transcript: przech potęgi Aurelka tłumów to jest żebrzą łaski brzmi w powiatach naszych Lament tak czarowne rzuca Blaski Anatomy cenny Diament gdzie otworzyć tam się miele jedną życia w ciąży zawiłość Jak i kiedy polskie ciele swojskiej gęsi zyska miłość musisz poznać naszej czystej papę mamę cały dom jej w końcu służyć do asysty przy niewinnej tej sodomi Lecz gdy klejnot swój postrada pożegnajmy się z nią smutni ach po trzykroć takiej biada zmarła już dla polskiej lutni wszystko Pierzchno wszystko znikło jakby trumnę już zabito idzie życia ścieżką zwykłą już w kompletnym Incognito co wyrośnie z małej Gąski Która z tak krzykliwa Buffon
Confidence: 0.8435596227645874
Word: przech, start_time: 59.9, end_time: 60.7
Word: potęgi, start_time: 60.7, end_time: 61.4
Word: Aurelka, start_time: 61.4, end_time: 62.5
Word: tłumów, start_time: 62.5, end_time: 63.9
Word: to, start_time: 63.9, end_time: 64.4
Word: jest, start_time: 64.4, end_time: 64.5
Word: żebrzą, start_time: 64.5, end_time: 65.0
Word: łaski, start_time: 65.0, end_time: 65.5
Word: brzmi, start_time: 65.5, end_time: 66.2
Word: w, start_time: 66.2, end_time: 66.4
Word: powiatach, start_time: 66.4, end_time: 66.9
Word: naszych, start_time: 66.9, end_time: 67.4
Word: Lament, start_time: 67.4, end_time: 68.0
Word: tak, start_time: 68.0, end_time: 68.6
Word: czarowne, start_time: 68.6, end_time: 69.3
Word: rzuca, start_time: 69.3, end_time: 69.6
Word: Blaski, start_time: 69.6, end_time: 70.2
Word: Anatomy, start_time: 70.2, end_time: 71.1
Word: cenny, start_time: 71.1, end_time: 71.8
Word: Diament, start_time: 71.8, end_time: 72.5
Word: gdzie, start_time: 72.5, end_time: 73.5
Word: otworzyć, start_time: 73.5, end_time: 74.0
Word: tam, start_time: 74.0, end_time: 74.5
Word: się, start_time: 74.5, end_time: 74.6
Word: miele, start_time: 74.6, end_time: 75.0
Word: jedną, start_time: 75.0, end_time: 75.8
Word: życia, start_time: 75.8, end_time: 76.3
Word: w, start_time: 76.3, end_time: 76.4
Word: ciąży, start_time: 76.4, end_time: 76.7
Word: zawiłość, start_time: 76.7, end_time: 77.4
Word: Jak, start_time: 77.4, end_time: 78.2
Word: i, start_time: 78.2, end_time: 78.3
Word: kiedy, start_time: 78.3, end_time: 78.9
Word: polskie, start_time: 78.9, end_time: 79.7
Word: ciele, start_time: 79.7, end_time: 80.1
Word: swojskiej, start_time: 80.1, end_time: 81.3
Word: gęsi, start_time: 81.3, end_time: 81.8
Word: zyska, start_time: 81.8, end_time: 82.4
Word: miłość, start_time: 82.4, end_time: 83.0
Word: musisz, start_time: 83.0, end_time: 83.9
Word: poznać, start_time: 83.9, end_time: 84.5
Word: naszej, start_time: 84.5, end_time: 85.0
Word: czystej, start_time: 85.0, end_time: 85.7
Word: papę, start_time: 85.7, end_time: 86.5
Word: mamę, start_time: 86.5, end_time: 87.1
Word: cały, start_time: 87.1, end_time: 87.7
Word: dom, start_time: 87.7, end_time: 87.9
Word: jej, start_time: 87.9, end_time: 88.3
Word: w, start_time: 88.3, end_time: 88.4
Word: końcu, start_time: 88.4, end_time: 89.4
Word: służyć, start_time: 89.4, end_time: 90.1
Word: do, start_time: 90.1, end_time: 90.3
Word: asysty, start_time: 90.3, end_time: 90.9
Word: przy, start_time: 90.9, end_time: 91.5
Word: niewinnej, start_time: 91.5, end_time: 92.3
Word: tej, start_time: 92.3, end_time: 92.7
Word: sodomi, start_time: 92.7, end_time: 93.5
Word: Lecz, start_time: 93.5, end_time: 94.7
Word: gdy, start_time: 94.7, end_time: 95.0
Word: klejnot, start_time: 95.0, end_time: 95.5
Word: swój, start_time: 95.5, end_time: 95.8
Word: postrada, start_time: 95.8, end_time: 96.4
Word: pożegnajmy, start_time: 96.4, end_time: 97.6
Word: się, start_time: 97.6, end_time: 97.7
Word: z, start_time: 97.7, end_time: 98.0
Word: nią, start_time: 98.0, end_time: 98.2
Word: smutni, start_time: 98.2, end_time: 98.9
Word: ach, start_time: 98.9, end_time: 99.7
Word: po, start_time: 99.7, end_time: 100.3
Word: trzykroć, start_time: 100.3, end_time: 100.9
Word: takiej, start_time: 100.9, end_time: 101.4
Word: biada, start_time: 101.4, end_time: 101.9
Word: zmarła, start_time: 101.9, end_time: 103.0
Word: już, start_time: 103.0, end_time: 103.3
Word: dla, start_time: 103.3, end_time: 103.8
Word: polskiej, start_time: 103.8, end_time: 104.4
Word: lutni, start_time: 104.4, end_time: 104.9
Word: wszystko, start_time: 104.9, end_time: 106.1
Word: Pierzchno, start_time: 106.1, end_time: 106.7
Word: wszystko, start_time: 106.7, end_time: 107.4
Word: znikło, start_time: 107.4, end_time: 107.8
Word: jakby, start_time: 107.8, end_time: 108.6
Word: trumnę, start_time: 108.6, end_time: 109.2
Word: już, start_time: 109.2, end_time: 109.4
Word: zabito, start_time: 109.4, end_time: 109.9
Word: idzie, start_time: 109.9, end_time: 110.9
Word: życia, start_time: 110.9, end_time: 111.3
Word: ścieżką, start_time: 111.3, end_time: 111.9
Word: zwykłą, start_time: 111.9, end_time: 112.5
Word: już, start_time: 112.5, end_time: 113.1
Word: w, start_time: 113.1, end_time: 113.3
Word: kompletnym, start_time: 113.3, end_time: 114.1
Word: Incognito, start_time: 114.1, end_time: 115.1
Word: co, start_time: 115.1, end_time: 115.7
Word: wyrośnie, start_time: 115.7, end_time: 115.9
Word: z, start_time: 115.9, end_time: 116.2
Word: małej, start_time: 116.2, end_time: 116.5
Word: Gąski, start_time: 116.5, end_time: 117.0
Word: Która, start_time: 117.0, end_time: 117.6
Word: z, start_time: 117.6, end_time: 117.7
Word: tak, start_time: 117.7, end_time: 118.0
Word: krzykliwa, start_time: 118.0, end_time: 118.7
Word: Buffon, start_time: 118.7, end_time: 119.2
Transcript: pływa w życia strumyk wąski o tym w naszych księgach cicho nasi piewcy Idealni ignorują światek ciasny co się kręci wśród sypialni czasem cudzej czasem własnej gdy już huknął wielkim głosem zdrowie zacnej młodej pary któż by się tam troszczył losem Krajowej Madame Bovary rzucona z takim hałasem jak tam plącze się zagadka jakieś Aha tylko czasem nas dochodzą żona matka aż po lat przy długiej serii znów ją sadowiu na tron gdzie ozdobą jest galerii legendarnych polskich matron wpisany w roku 1908
Confidence: 0.8560028076171875
Word: pływa, start_time: 119.9, end_time: 120.3
Word: w, start_time: 120.3, end_time: 120.4
Word: życia, start_time: 120.4, end_time: 120.8
Word: strumyk, start_time: 120.8, end_time: 121.3
Word: wąski, start_time: 121.3, end_time: 121.9
Word: o, start_time: 121.9, end_time: 122.0
Word: tym, start_time: 122.0, end_time: 122.7
Word: w, start_time: 122.7, end_time: 122.9
Word: naszych, start_time: 122.9, end_time: 123.3
Word: księgach, start_time: 123.3, end_time: 124.1
Word: cicho, start_time: 124.1, end_time: 124.6
Word: nasi, start_time: 124.6, end_time: 125.6
Word: piewcy, start_time: 125.6, end_time: 126.0
Word: Idealni, start_time: 126.0, end_time: 126.7
Word: ignorują, start_time: 126.7, end_time: 127.6
Word: światek, start_time: 127.6, end_time: 128.2
Word: ciasny, start_time: 128.2, end_time: 128.7
Word: co, start_time: 128.7, end_time: 129.2
Word: się, start_time: 129.2, end_time: 129.3
Word: kręci, start_time: 129.3, end_time: 129.8
Word: wśród, start_time: 129.8, end_time: 130.4
Word: sypialni, start_time: 130.4, end_time: 131.2
Word: czasem, start_time: 131.2, end_time: 131.7
Word: cudzej, start_time: 131.7, end_time: 132.2
Word: czasem, start_time: 132.2, end_time: 132.9
Word: własnej, start_time: 132.9, end_time: 133.5
Word: gdy, start_time: 133.5, end_time: 134.4
Word: już, start_time: 134.4, end_time: 134.5
Word: huknął, start_time: 134.5, end_time: 134.9
Word: wielkim, start_time: 134.9, end_time: 135.4
Word: głosem, start_time: 135.4, end_time: 135.7
Word: zdrowie, start_time: 135.7, end_time: 136.8
Word: zacnej, start_time: 136.8, end_time: 137.4
Word: młodej, start_time: 137.4, end_time: 137.8
Word: pary, start_time: 137.8, end_time: 138.1
Word: któż, start_time: 138.1, end_time: 138.9
Word: by, start_time: 138.9, end_time: 139.1
Word: się, start_time: 139.1, end_time: 139.2
Word: tam, start_time: 139.2, end_time: 139.5
Word: troszczył, start_time: 139.5, end_time: 140.2
Word: losem, start_time: 140.2, end_time: 140.8
Word: Krajowej, start_time: 140.8, end_time: 142.0
Word: Madame, start_time: 142.0, end_time: 142.5
Word: Bovary, start_time: 142.5, end_time: 142.7
Word: rzucona, start_time: 142.7, end_time: 144.4
Word: z, start_time: 144.4, end_time: 144.5
Word: takim, start_time: 144.5, end_time: 144.8
Word: hałasem, start_time: 144.8, end_time: 145.4
Word: jak, start_time: 145.4, end_time: 146.0
Word: tam, start_time: 146.0, end_time: 146.3
Word: plącze, start_time: 146.3, end_time: 146.9
Word: się, start_time: 146.9, end_time: 146.9
Word: zagadka, start_time: 146.9, end_time: 147.5
Word: jakieś, start_time: 147.5, end_time: 148.3
Word: Aha, start_time: 148.3, end_time: 148.9
Word: tylko, start_time: 148.9, end_time: 149.3
Word: czasem, start_time: 149.3, end_time: 149.8
Word: nas, start_time: 149.8, end_time: 150.4
Word: dochodzą, start_time: 150.4, end_time: 150.9
Word: żona, start_time: 150.9, end_time: 151.9
Word: matka, start_time: 151.9, end_time: 152.9
Word: aż, start_time: 152.9, end_time: 153.6
Word: po, start_time: 153.6, end_time: 153.8
Word: lat, start_time: 153.8, end_time: 154.0
Word: przy, start_time: 154.0, end_time: 154.3
Word: długiej, start_time: 154.3, end_time: 154.6
Word: serii, start_time: 154.6, end_time: 155.1
Word: znów, start_time: 155.1, end_time: 156.1
Word: ją, start_time: 156.1, end_time: 156.3
Word: sadowiu, start_time: 156.3, end_time: 157.0
Word: na, start_time: 157.0, end_time: 157.2
Word: tron, start_time: 157.2, end_time: 157.6
Word: gdzie, start_time: 157.6, end_time: 158.3
Word: ozdobą, start_time: 158.3, end_time: 159.0
Word: jest, start_time: 159.0, end_time: 159.4
Word: galerii, start_time: 159.4, end_time: 160.0
Word: legendarnych, start_time: 160.0, end_time: 161.5
Word: polskich, start_time: 161.5, end_time: 162.4
