Waiting for operation to complete...
Transcript: Pieśń o mowie naszej aż nazbyt oczywista że jest piękną polska mowa jędrna pachnąca soczysta melodyjna kolorowa bohaterska gromowładna czysta niby błękit nieba kontra zacna miła ładna ale czasem przyznać trzeba że ten język najobfitszy w poetyczne różne kwiatki w uczuć sferze pospolitej zdradza dziwne niedostatki że w podniebnej wysokości nazwy gór nie toczy skrzydła a nas ludzi z krwi i kości poniewiera gorzej bydła to co ziemię fry nam zmienia życia cały wdzięk stanowi na to nie ma wyrażenia o tym w Polsce się nie mówi pytam to obecne panie by od grubszych zacząć braków jak mam nazwać obcowanie
Confidence: 0.8864942193031311
Word: Pieśń, start_time: 0.0, end_time: 0.7000000000000001
Word: o, start_time: 0.7000000000000001, end_time: 0.9
Word: mowie, start_time: 0.9, end_time: 1.3
Word: naszej, start_time: 1.3, end_time: 1.6
Word: aż, start_time: 1.6, end_time: 3.9
Word: nazbyt, start_time: 3.9, end_time: 4.2
Word: oczywista, start_time: 4.2, end_time: 5.1
Word: że, start_time: 5.1, end_time: 5.7
Word: jest, start_time: 5.7, end_time: 5.9
Word: piękną, start_time: 5.9, end_time: 6.5
Word: polska, start_time: 6.5, end_time: 7.2
Word: mowa, start_time: 7.2, end_time: 7.6
Word: jędrna, start_time: 7.6, end_time: 8.7
Word: pachnąca, start_time: 8.7, end_time: 9.6
Word: soczysta, start_time: 9.6, end_time: 10.7
Word: melodyjna, start_time: 10.7, end_time: 11.9
Word: kolorowa, start_time: 11.9, end_time: 13.0
Word: bohaterska, start_time: 13.0, end_time: 14.3
Word: gromowładna, start_time: 14.3, end_time: 15.4
Word: czysta, start_time: 15.4, end_time: 16.3
Word: niby, start_time: 16.3, end_time: 16.7
Word: błękit, start_time: 16.7, end_time: 17.4
Word: nieba, start_time: 17.4, end_time: 17.8
Word: kontra, start_time: 17.8, end_time: 18.8
Word: zacna, start_time: 18.8, end_time: 19.9
Word: miła, start_time: 19.9, end_time: 20.6
Word: ładna, start_time: 20.6, end_time: 21.5
Word: ale, start_time: 21.5, end_time: 22.6
Word: czasem, start_time: 22.6, end_time: 23.1
Word: przyznać, start_time: 23.1, end_time: 23.9
Word: trzeba, start_time: 23.9, end_time: 24.4
Word: że, start_time: 24.4, end_time: 25.2
Word: ten, start_time: 25.2, end_time: 25.4
Word: język, start_time: 25.4, end_time: 25.7
Word: najobfitszy, start_time: 25.7, end_time: 26.6
Word: w, start_time: 26.6, end_time: 26.7
Word: poetyczne, start_time: 26.7, end_time: 27.5
Word: różne, start_time: 27.5, end_time: 27.9
Word: kwiatki, start_time: 27.9, end_time: 28.4
Word: w, start_time: 28.4, end_time: 29.0
Word: uczuć, start_time: 29.0, end_time: 29.6
Word: sferze, start_time: 29.6, end_time: 30.1
Word: pospolitej, start_time: 30.1, end_time: 31.0
Word: zdradza, start_time: 31.0, end_time: 31.8
Word: dziwne, start_time: 31.8, end_time: 32.5
Word: niedostatki, start_time: 32.5, end_time: 33.4
Word: że, start_time: 33.4, end_time: 34.2
Word: w, start_time: 34.2, end_time: 34.2
Word: podniebnej, start_time: 34.2, end_time: 34.8
Word: wysokości, start_time: 34.8, end_time: 35.5
Word: nazwy, start_time: 35.5, end_time: 36.3
Word: gór, start_time: 36.3, end_time: 36.6
Word: nie, start_time: 36.6, end_time: 36.8
Word: toczy, start_time: 36.8, end_time: 37.1
Word: skrzydła, start_time: 37.1, end_time: 37.6
Word: a, start_time: 37.6, end_time: 37.8
Word: nas, start_time: 37.8, end_time: 38.5
Word: ludzi, start_time: 38.5, end_time: 39.3
Word: z, start_time: 39.3, end_time: 39.4
Word: krwi, start_time: 39.4, end_time: 39.8
Word: i, start_time: 39.8, end_time: 39.9
Word: kości, start_time: 39.9, end_time: 40.1
Word: poniewiera, start_time: 40.1, end_time: 41.5
Word: gorzej, start_time: 41.5, end_time: 42.3
Word: bydła, start_time: 42.3, end_time: 42.8
Word: to, start_time: 42.8, end_time: 44.1
Word: co, start_time: 44.1, end_time: 44.4
Word: ziemię, start_time: 44.4, end_time: 44.8
Word: fry, start_time: 44.8, end_time: 45.2
Word: nam, start_time: 45.2, end_time: 45.4
Word: zmienia, start_time: 45.4, end_time: 45.8
Word: życia, start_time: 45.8, end_time: 46.7
Word: cały, start_time: 46.7, end_time: 47.0
Word: wdzięk, start_time: 47.0, end_time: 47.2
Word: stanowi, start_time: 47.2, end_time: 48.0
Word: na, start_time: 48.0, end_time: 48.7
Word: to, start_time: 48.7, end_time: 48.8
Word: nie, start_time: 48.8, end_time: 49.6
Word: ma, start_time: 49.6, end_time: 49.8
Word: wyrażenia, start_time: 49.8, end_time: 50.3
Word: o, start_time: 50.3, end_time: 50.5
Word: tym, start_time: 50.5, end_time: 51.1
Word: w, start_time: 51.1, end_time: 51.2
Word: Polsce, start_time: 51.2, end_time: 51.9
Word: się, start_time: 51.9, end_time: 52.1
Word: nie, start_time: 52.1, end_time: 52.1
Word: mówi, start_time: 52.1, end_time: 52.5
Word: pytam, start_time: 52.5, end_time: 53.2
Word: to, start_time: 53.2, end_time: 53.3
Word: obecne, start_time: 53.3, end_time: 53.9
Word: panie, start_time: 53.9, end_time: 54.3
Word: by, start_time: 54.3, end_time: 54.9
Word: od, start_time: 54.9, end_time: 55.3
Word: grubszych, start_time: 55.3, end_time: 55.8
Word: zacząć, start_time: 55.8, end_time: 56.2
Word: braków, start_time: 56.2, end_time: 56.8
Word: jak, start_time: 56.8, end_time: 57.4
Word: mam, start_time: 57.4, end_time: 57.7
Word: nazwać, start_time: 57.7, end_time: 58.0
Word: obcowanie, start_time: 58.0, end_time: 59.7
Transcript: dwojga różnej płci Polaków czy dusz bratnich pokrewieństwem czy tarzają się w rozpuście serc komunią czytelnictwem lub czymś innym w takim guście cudzołożyć jawnogrzesznica lej już położę kreski resztą może was ucieszyć Józef Albin herbaczewski choć poezji święci wiosnę Wieszczów naszych Dzielna Trójka Polskie słownictwo miłosne przypomina księdza wujka dowody na oczywiście znajdziesz choćby w takim głupstw je że polskiego Słowa mistrza śnią orły i poróbstwo w archaicznym tym zamęcie jak ma kwitnąć szczęścia Era Gdzie zakręca się pojęcie tam i sama rzecz umiera ludziom trzeba tak niewiele by na ziemi niebo stworzyć lecz wykrztusić jak aniele
Confidence: 0.8469367027282715
Word: dwojga, start_time: 59.9, end_time: 60.8
Word: różnej, start_time: 60.8, end_time: 61.7
Word: płci, start_time: 61.7, end_time: 62.0
Word: Polaków, start_time: 62.0, end_time: 63.0
Word: czy, start_time: 63.0, end_time: 63.7
Word: dusz, start_time: 63.7, end_time: 64.1
Word: bratnich, start_time: 64.1, end_time: 64.6
Word: pokrewieństwem, start_time: 64.6, end_time: 65.3
Word: czy, start_time: 65.3, end_time: 65.9
Word: tarzają, start_time: 65.9, end_time: 66.6
Word: się, start_time: 66.6, end_time: 66.7
Word: w, start_time: 66.7, end_time: 66.8
Word: rozpuście, start_time: 66.8, end_time: 67.2
Word: serc, start_time: 67.2, end_time: 68.8
Word: komunią, start_time: 68.8, end_time: 69.2
Word: czytelnictwem, start_time: 69.2, end_time: 70.6
Word: lub, start_time: 70.6, end_time: 71.6
Word: czymś, start_time: 71.6, end_time: 72.0
Word: innym, start_time: 72.0, end_time: 72.3
Word: w, start_time: 72.3, end_time: 72.6
Word: takim, start_time: 72.6, end_time: 72.9
Word: guście, start_time: 72.9, end_time: 73.3
Word: cudzołożyć, start_time: 73.3, end_time: 74.9
Word: jawnogrzesznica, start_time: 74.9, end_time: 77.0
Word: lej, start_time: 77.0, end_time: 77.1
Word: już, start_time: 77.1, end_time: 77.4
Word: położę, start_time: 77.4, end_time: 77.7
Word: kreski, start_time: 77.7, end_time: 78.2
Word: resztą, start_time: 78.2, end_time: 79.0
Word: może, start_time: 79.0, end_time: 79.4
Word: was, start_time: 79.4, end_time: 79.7
Word: ucieszyć, start_time: 79.7, end_time: 80.4
Word: Józef, start_time: 80.4, end_time: 80.9
Word: Albin, start_time: 80.9, end_time: 81.5
Word: herbaczewski, start_time: 81.5, end_time: 82.3
