Waiting for operation to complete...
Transcript: pożegnanie skąd to temat wziąć do nowej piosenki z kłopotami wzrok wodze tu i tam w tym zapakują mi brzuch rozbite bańki gdzieś z ogródka hen I już temat mam Niech dziś refren mój wiosna sama ludzi Niech rozproszy zbędnych Jesiennych lat niech młodości mi tętno mi przywróci niech mi od niej w krąg się rozstępy świat dość już piosence miałowych konceptów wspólnych naszych głupstw zbrzydło mi pusty gwar niech dziś nuta jej drży od cichych szeptów w rytmach jej niech gra pocałunków Żar cóż mi wreszcie są wasze wielkie sprawy od nie rozumi na szczyt własnych słówek z pedałem może wam parę chwil zabawy w nawzajem mnie
Confidence: 0.8204498291015625
Word: pożegnanie, start_time: 0.0, end_time: 1.3
Word: skąd, start_time: 1.3, end_time: 2.3
Word: to, start_time: 2.3, end_time: 2.5
Word: temat, start_time: 2.5, end_time: 2.9
Word: wziąć, start_time: 2.9, end_time: 3.4
Word: do, start_time: 3.4, end_time: 3.8
Word: nowej, start_time: 3.8, end_time: 4.1
Word: piosenki, start_time: 4.1, end_time: 4.6
Word: z, start_time: 4.6, end_time: 4.9
Word: kłopotami, start_time: 4.9, end_time: 6.0
Word: wzrok, start_time: 6.0, end_time: 6.6
Word: wodze, start_time: 6.6, end_time: 7.2
Word: tu, start_time: 7.2, end_time: 7.5
Word: i, start_time: 7.5, end_time: 7.7
Word: tam, start_time: 7.7, end_time: 8.1
Word: w, start_time: 8.1, end_time: 8.3
Word: tym, start_time: 8.3, end_time: 8.9
Word: zapakują, start_time: 8.9, end_time: 10.2
Word: mi, start_time: 10.2, end_time: 10.4
Word: brzuch, start_time: 10.4, end_time: 10.8
Word: rozbite, start_time: 10.8, end_time: 11.9
Word: bańki, start_time: 11.9, end_time: 12.4
Word: gdzieś, start_time: 12.4, end_time: 13.1
Word: z, start_time: 13.1, end_time: 13.4
Word: ogródka, start_time: 13.4, end_time: 14.1
Word: hen, start_time: 14.1, end_time: 14.4
Word: I, start_time: 14.4, end_time: 14.5
Word: już, start_time: 14.5, end_time: 15.5
Word: temat, start_time: 15.5, end_time: 16.0
Word: mam, start_time: 16.0, end_time: 16.5
Word: Niech, start_time: 16.5, end_time: 17.3
Word: dziś, start_time: 17.3, end_time: 17.6
Word: refren, start_time: 17.6, end_time: 18.3
Word: mój, start_time: 18.3, end_time: 18.5
Word: wiosna, start_time: 18.5, end_time: 19.1
Word: sama, start_time: 19.1, end_time: 19.5
Word: ludzi, start_time: 19.5, end_time: 20.0
Word: Niech, start_time: 20.0, end_time: 20.7
Word: rozproszy, start_time: 20.7, end_time: 21.4
Word: zbędnych, start_time: 21.4, end_time: 22.2
Word: Jesiennych, start_time: 22.2, end_time: 23.1
Word: lat, start_time: 23.1, end_time: 23.4
Word: niech, start_time: 23.4, end_time: 24.2
Word: młodości, start_time: 24.2, end_time: 24.9
Word: mi, start_time: 24.9, end_time: 25.1
Word: tętno, start_time: 25.1, end_time: 25.5
