Waiting for operation to complete...
Transcript: replika kobiety polskiej autorki listu otwartego na odpowiedź młodzieńca polskiego nie tobie mój sowizdrzał złotowłosy piękny paziu nie tobie mój słodki Asiu taka przestała odpowiedź na tęsknoty żale na mojego serca spowiedź ty niewdzięczny to niepomny ty pieszczony jak członek Mentor panieneczki skromnej pół dziewicy pół kochanek ty bawidełko mężatek steblik matek w dół w Gagatek spowiednik arystokratek ty co kupiłeś do przesytu zmysłów najskrytsze dreszcze coś dziś cały ciepły jeszcze od puchu mojej pościeli ty mi mówisz o kądzieli więc ty mimo twego sprytu nie poznałeś mnie na tyle że dla ciebie dokumentem są Marynie i Marylę że dla ciebie pismem Świętym są Aniele i Anielki i tęsknimy produkt wszelki
Confidence: 0.8552223443984985
Word: replika, start_time: 0.0, end_time: 0.8
Word: kobiety, start_time: 0.8, end_time: 1.3
Word: polskiej, start_time: 1.3, end_time: 1.9
Word: autorki, start_time: 1.9, end_time: 2.7
Word: listu, start_time: 2.7, end_time: 3.2
Word: otwartego, start_time: 3.2, end_time: 3.4
Word: na, start_time: 3.4, end_time: 4.2
Word: odpowiedź, start_time: 4.2, end_time: 4.7
Word: młodzieńca, start_time: 4.7, end_time: 5.4
Word: polskiego, start_time: 5.4, end_time: 5.9
Word: nie, start_time: 5.9, end_time: 6.7
Word: tobie, start_time: 6.7, end_time: 7.0
Word: mój, start_time: 7.0, end_time: 7.2
Word: sowizdrzał, start_time: 7.2, end_time: 8.1
Word: złotowłosy, start_time: 8.1, end_time: 9.3
Word: piękny, start_time: 9.3, end_time: 9.8
Word: paziu, start_time: 9.8, end_time: 10.2
Word: nie, start_time: 10.2, end_time: 10.8
Word: tobie, start_time: 10.8, end_time: 11.3
Word: mój, start_time: 11.3, end_time: 11.6
Word: słodki, start_time: 11.6, end_time: 12.0
Word: Asiu, start_time: 12.0, end_time: 12.7
Word: taka, start_time: 12.7, end_time: 13.5
Word: przestała, start_time: 13.5, end_time: 13.9
Word: odpowiedź, start_time: 13.9, end_time: 14.6
Word: na, start_time: 14.6, end_time: 15.1
Word: tęsknoty, start_time: 15.1, end_time: 15.8
Word: żale, start_time: 15.8, end_time: 16.6
Word: na, start_time: 16.6, end_time: 17.1
Word: mojego, start_time: 17.1, end_time: 17.5
Word: serca, start_time: 17.5, end_time: 17.9
Word: spowiedź, start_time: 17.9, end_time: 18.6
Word: ty, start_time: 18.6, end_time: 19.2
Word: niewdzięczny, start_time: 19.2, end_time: 19.9
Word: to, start_time: 19.9, end_time: 20.2
Word: niepomny, start_time: 20.2, end_time: 20.8
Word: ty, start_time: 20.8, end_time: 21.5
Word: pieszczony, start_time: 21.5, end_time: 22.4
Word: jak, start_time: 22.4, end_time: 22.6
Word: członek, start_time: 22.6, end_time: 23.4
Word: Mentor, start_time: 23.4, end_time: 24.4
Word: panieneczki, start_time: 24.4, end_time: 25.1
Word: skromnej, start_time: 25.1, end_time: 25.7
Word: pół, start_time: 25.7, end_time: 26.3
Word: dziewicy, start_time: 26.3, end_time: 26.8
Word: pół, start_time: 26.8, end_time: 27.1
Word: kochanek, start_time: 27.1, end_time: 27.8
Word: ty, start_time: 27.8, end_time: 28.5
Word: bawidełko, start_time: 28.5, end_time: 29.1
Word: mężatek, start_time: 29.1, end_time: 29.8
Word: steblik, start_time: 29.8, end_time: 30.7
Word: matek, start_time: 30.7, end_time: 31.1
Word: w, start_time: 31.1, end_time: 31.2
Word: dół, start_time: 31.2, end_time: 31.5
Word: w, start_time: 31.5, end_time: 31.6
Word: Gagatek, start_time: 31.6, end_time: 32.2
