Waiting for operation to complete...
Transcript: Tadeusz Boy żeleński słówka zbiór słówka gdy coś mnie nadto wzruszy lub sercem i podrażnień Chowam się aż po uszy do swojej wyobraźni tam Pokaż dzióbki boże schronienie mam zaciszne gdzie myśl wyprawiać może przeróżne rzeczy śmieszne miast czerpać próżno uchwałę w tym że jak z książki gada w głupiutkie słówka małe autka się rozpada ze słówkami uciechy sprawiają nieraz mnóstwo lubię ich w puste śmiechy i ducha ich ubóstwo jak w łazienkowe mali słówko się ze słówkiem cacka to jęzor mu wywali to Szczytnie je znienacka 1/2 hasa wydając kwit wesoły niby dzieciaków masa gdy wyrwie się ze szkoły jednemu w tej Pogoni wąsem na biegną Lis gdy żywszy
Confidence: 0.8244917392730713
Word: Tadeusz, start_time: 0.0, end_time: 0.9
Word: Boy, start_time: 0.9, end_time: 1.5
Word: żeleński, start_time: 1.5, end_time: 1.6
Word: słówka, start_time: 1.6, end_time: 2.6
Word: zbiór, start_time: 2.6, end_time: 4.3
Word: słówka, start_time: 4.3, end_time: 5.3
Word: gdy, start_time: 5.3, end_time: 6.1
Word: coś, start_time: 6.1, end_time: 6.3
Word: mnie, start_time: 6.3, end_time: 6.6
Word: nadto, start_time: 6.6, end_time: 7.1
Word: wzruszy, start_time: 7.1, end_time: 7.7
Word: lub, start_time: 7.7, end_time: 8.3
Word: sercem, start_time: 8.3, end_time: 8.9
Word: i, start_time: 8.9, end_time: 8.9
Word: podrażnień, start_time: 8.9, end_time: 9.6
Word: Chowam, start_time: 9.6, end_time: 10.3
Word: się, start_time: 10.3, end_time: 10.5
Word: aż, start_time: 10.5, end_time: 10.8
Word: po, start_time: 10.8, end_time: 11.0
Word: uszy, start_time: 11.0, end_time: 11.2
Word: do, start_time: 11.2, end_time: 11.6
Word: swojej, start_time: 11.6, end_time: 12.2
Word: wyobraźni, start_time: 12.2, end_time: 12.4
Word: tam, start_time: 12.4, end_time: 13.7
Word: Pokaż, start_time: 13.7, end_time: 14.2
Word: dzióbki, start_time: 14.2, end_time: 14.7
Word: boże, start_time: 14.7, end_time: 15.2
Word: schronienie, start_time: 15.2, end_time: 15.9
Word: mam, start_time: 15.9, end_time: 16.5
Word: zaciszne, start_time: 16.5, end_time: 17.2
Word: gdzie, start_time: 17.2, end_time: 17.9
Word: myśl, start_time: 17.9, end_time: 18.4
Word: wyprawiać, start_time: 18.4, end_time: 19.2
Word: może, start_time: 19.2, end_time: 19.7
Word: przeróżne, start_time: 19.7, end_time: 20.7
Word: rzeczy, start_time: 20.7, end_time: 20.8
Word: śmieszne, start_time: 20.8, end_time: 21.7
Word: miast, start_time: 21.7, end_time: 22.6
Word: czerpać, start_time: 22.6, end_time: 23.2
Word: próżno, start_time: 23.2, end_time: 23.7
Word: uchwałę, start_time: 23.7, end_time: 24.2
Word: w, start_time: 24.2, end_time: 24.4
Word: tym, start_time: 24.4, end_time: 25.1
Word: że, start_time: 25.1, end_time: 25.6
Word: jak, start_time: 25.6, end_time: 25.8
Word: z, start_time: 25.8, end_time: 25.8
Word: książki, start_time: 25.8, end_time: 26.0
Word: gada, start_time: 26.0, end_time: 26.8
Word: w, start_time: 26.8, end_time: 27.0
Word: głupiutkie, start_time: 27.0, end_time: 27.8
Word: słówka, start_time: 27.8, end_time: 28.3
Word: małe, start_time: 28.3, end_time: 28.7
Word: autka, start_time: 28.7, end_time: 29.5
