Waiting for operation to complete...
Transcript: splin smutek w sercu moim Mieszka I tak gryzie mnie jak ważka gryzie duszę moją biedną o co to już wszystko jedno przyczyn jest ogromnie wiele na duszy jak i na ciele coraz rzadziej mi się zdarzy bym uśmiechnął się na twarzy ciągle myślę aż do skutku o moim dotkliwym smutku No jak mnie to czasem nudzi patrzeć na cierpienia ludzi czasem się nieszczęście stało że dzieciątko robi białą ja się na to Krzywiec rożki i daje skuteczne proszki po których mówię że ono będzie robiło zielono Jeszcze bardziej beznadziei pędzę życie przy kolei z tą koleją bywa różnie czasem komuś członki różnie to znów dadzą znać o zmierzchu że ktoś flaki ma na wierzchu wielka bywa rozmaitość rzeczy które budzą litość Jaś
Confidence: 0.9096543788909912
Word: splin, start_time: 0.0, end_time: 1.0
Word: smutek, start_time: 1.0, end_time: 2.3
Word: w, start_time: 2.3, end_time: 2.5
Word: sercu, start_time: 2.5, end_time: 2.7
Word: moim, start_time: 2.7, end_time: 3.3
Word: Mieszka, start_time: 3.3, end_time: 3.9
Word: I, start_time: 3.9, end_time: 4.1
Word: tak, start_time: 4.1, end_time: 4.9
Word: gryzie, start_time: 4.9, end_time: 5.5
Word: mnie, start_time: 5.5, end_time: 5.6
Word: jak, start_time: 5.6, end_time: 6.4
Word: ważka, start_time: 6.4, end_time: 6.9
Word: gryzie, start_time: 6.9, end_time: 7.7
Word: duszę, start_time: 7.7, end_time: 8.6
Word: moją, start_time: 8.6, end_time: 8.9
Word: biedną, start_time: 8.9, end_time: 9.2
Word: o, start_time: 9.2, end_time: 9.5
Word: co, start_time: 9.5, end_time: 10.1
Word: to, start_time: 10.1, end_time: 10.9
Word: już, start_time: 10.9, end_time: 11.0
Word: wszystko, start_time: 11.0, end_time: 11.7
Word: jedno, start_time: 11.7, end_time: 11.9
Word: przyczyn, start_time: 11.9, end_time: 13.2
Word: jest, start_time: 13.2, end_time: 13.5
Word: ogromnie, start_time: 13.5, end_time: 14.0
Word: wiele, start_time: 14.0, end_time: 14.4
Word: na, start_time: 14.4, end_time: 14.9
Word: duszy, start_time: 14.9, end_time: 15.3
Word: jak, start_time: 15.3, end_time: 15.7
Word: i, start_time: 15.7, end_time: 15.8
Word: na, start_time: 15.8, end_time: 16.1
Word: ciele, start_time: 16.1, end_time: 16.4
Word: coraz, start_time: 16.4, end_time: 17.5
Word: rzadziej, start_time: 17.5, end_time: 17.8
Word: mi, start_time: 17.8, end_time: 18.1
Word: się, start_time: 18.1, end_time: 18.2
Word: zdarzy, start_time: 18.2, end_time: 18.6
Word: bym, start_time: 18.6, end_time: 19.1
Word: uśmiechnął, start_time: 19.1, end_time: 19.8
Word: się, start_time: 19.8, end_time: 19.8
Word: na, start_time: 19.8, end_time: 20.0
Word: twarzy, start_time: 20.0, end_time: 20.3
Word: ciągle, start_time: 20.3, end_time: 21.2
Word: myślę, start_time: 21.2, end_time: 21.7
Word: aż, start_time: 21.7, end_time: 22.0
Word: do, start_time: 22.0, end_time: 22.1
Word: skutku, start_time: 22.1, end_time: 22.4
Word: o, start_time: 22.4, end_time: 22.8
Word: moim, start_time: 22.8, end_time: 23.3
Word: dotkliwym, start_time: 23.3, end_time: 24.3
Word: smutku, start_time: 24.3, end_time: 24.9
Word: No, start_time: 24.9, end_time: 25.8
Word: jak, start_time: 25.8, end_time: 26.0
Word: mnie, start_time: 26.0, end_time: 26.2
Word: to, start_time: 26.2, end_time: 26.5
Word: czasem, start_time: 26.5, end_time: 26.9
Word: nudzi, start_time: 26.9, end_time: 27.5
Word: patrzeć, start_time: 27.5, end_time: 28.4
Word: na, start_time: 28.4, end_time: 28.6
Word: cierpienia, start_time: 28.6, end_time: 29.3
Word: ludzi, start_time: 29.3, end_time: 29.4
Word: czasem, start_time: 29.4, end_time: 30.5
Word: się, start_time: 30.5, end_time: 30.6
Word: nieszczęście, start_time: 30.6, end_time: 31.2
