a-aby	aˈa.bɨ
ba-ankructwa	ba.anˈkrut͡s.tfa
bra-ałem	braˈa.wɛm
bra-at	ˈbra.at
chwi-ileczkę	xfʲi.iˈlɛt͡ʂ.kɛ
co-oś	ˈt͡sɔ.ɔɕ
có-óż	ˈt͡su.uʂ
cza-asami	t͡ʂa.aˈsa.mʲi
cza-asu	t͡ʂaˈa.su
dzie-eje	d͡ʑɛˈɛ.jɛ
gło-owa	ɡwɔˈɔ.va
gło-ową	ɡwɔˈɔ.vɔ̃
gra-andet	ɡraˈan.dɛt
i-interesy	i.in.tɛˈrɛ.sɨ
ja-a	ˈja.a
ja-ak	ˈja.ak
ja-akichś	jaˈa.kʲixɕ
ka-atastrofa	ka.a.taˈstrɔ.fa
każdej-ej	kaʐˈdɛ.jɛj
ko-ocha	kɔˈɔ.xa
ko-ocham	kɔˈɔ.xam
ko-osztuje	kɔ.ɔʂˈtu.jɛ
kre-ewny	krɛˈɛv.nɨ
któ-órych	ktuˈu.rɨx
li-ikwidatorów	lʲi.ik.fʲi.daˈtɔ.ruf
likwida-acja	lʲik.fʲi.daˈat͡s.ja
ło-ąki	wɔˈɔŋ.kʲi
me-ego	mɛˈɛ.ɡɔ
mo-ogę	mɔˈɔ.ɡɛ
mó-ój	ˈmu.uj
mó-ówi	muˈu.vʲi
mo-ożna	mɔˈɔʐ.na
mu-usi	muˈu.ɕi
mu-uszę	muˈu.ʂɛ
na-aznaczcie	na.azˈnat͡ʂ.t͡ɕɛ
na-azywa	na.aˈzɨ.va
natra-ajlował	na.tra.ajˈlɔ.vaw
nie-e	ˈɲɛ.ɛ
ni-ic	ˈɲi.it͡s
ni-igdy	ɲiˈiɡ.dɨ
ni-iż	ˈɲi.iʂ
opu-uścić	ɔ.puˈuɕ.t͡ɕit͡ɕ
pa-an	ˈpa.an
pa-anowie	pa.aˈnɔ.vʲɛ
pe-ęka	pɛˈɛŋ.ka
pe-ewne	pɛˈɛv.nɛ
pie-eniędzy	pʲɛ.ɛˈɲɛn.d͡zɨ
pie-erwszy	pʲɛˈɛ.rfʂɨ
pi-ilne	pʲiˈil.nɛ
pi-ilnować	pʲi.ilˈnɔ.vat͡ɕ
po-ostanowi	pɔ.ɔ.staˈnɔ.vʲi
po-owiadał	pɔ.ɔˈvʲa.daw
powia-ada	pɔ.vʲaˈa.da
powstrzyma-ać	pɔf.stʂɨˈma.at͡ɕ
prze-edewszy-ystkim	pʂɛ.ɛ.dɛf.ʂɨˈɨ.stkʲim
prze-ez	ˈpʂɛ.ɛs
przy-yjąwszy	pʂɨ.ɨˈjɔ̃f.ʂɨ
ra-azie	raˈa.ʑɛ
rik-tik-tik-cz	rʲikˈtik.tikt͡ʂ
ro-odzaju	rɔ.ɔˈd͡za.ju
ro-o-ozumiem	rɔ.ɔ.ɔˈzu.mʲɛm
ró-óżnica	ru.uʐˈɲi.t͡sa
ro-ozważyć	rɔ.ɔzˈva.ʐɨt͡ɕ
rozu-umiem	rɔ.zuˈu.mʲɛm
rozu-u-umiem	rɔ.zu.uˈu.mʲɛm
są-ą	ˈsɔ̃.ɔ̃
sie-edzieć	ɕɛˈɛ.d͡ʑɛt͡ɕ
słu-ucham	swuˈu.xam
sły-yszałem	swɨ.ɨˈʂa.wɛm
so-ądy	sɔˈɔn.dɨ
spra-awy	spraˈa.vɨ
sprze-edał	spʂɛˈɛ.daw
sta-ary	staˈa.rɨ
swe-ego	sfɛˈɛ.ɡɔ
swó-ój	ˈsfu.uj
ta-ak	ˈta.ak
to-o	ˈtɔ.ɔ
tru-udne	truˈud.nɛ
trze-eba	tʂɛˈɛ.ba
trzy-ymają	tʂɨ.ɨˈma.jɔ̃
wa-ażne	vaˈaʐ.nɛ
we-eksli	vɛˈɛk.slʲi
wiado-ome	vʲa.dɔˈɔ.mɛ
widzi-icie	vʲi.d͡ʑiˈi.t͡ɕɛ
wię-ęc	ˈvʲɛ̃.ɛnt͡s
wie-ele	vʲɛˈɛ.lɛ
wie-elka	vʲɛˈɛl.ka
wi-iniarz	vʲiˈi.ɲaʂ
wi-ino	vʲiˈi.nɔ
wszy-ystkiego	fʂɨ.ɨˈstkʲɛ.ɡɔ
wszy-ystko	fʂɨˈɨ.stkɔ
za-amiary	za.aˈmʲa.rɨ
za-anim	zaˈa.ɲim
zbo-oże	zbɔˈɔ.ʐɛ
zbo-ożem	zbɔˈɔ.ʐɛm
zo-obaczy	zɔ.ɔˈba.t͡ʂɨ
zo-obaczymy	zɔ.ɔ.baˈt͡ʂɨ.mɨ
nie-e-ste-tycz-ni	ɲɛ.ɛ.stɛˈtɨt͡ʂ.ɲi
gilanda	ɡʲiˈlan.da
